Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Alosa,fallax,65.75,-23.25,7602:353:3,0.09
Alosa,fallax,65.75,-22.75,7602:352:4,0.03
Alosa,fallax,65.25,-22.25,7602:352:1,0.10
Alosa,fallax,65.25,-21.75,7602:351:2,0.18
Alosa,fallax,65.25,-21.25,7602:351:1,0.08
Alosa,fallax,65.75,-19.25,7601:459:3,0.10
Alosa,fallax,65.75,-11.25,7601:351:3,0.07
Alosa,fallax,65.25,-11.25,7601:351:1,0.17
Alosa,fallax,64.75,-11.25,7601:141:3,0.14
Alosa,fallax,64.75,-10.75,7601:140:4,0.02
Alosa,fallax,64.25,-10.75,7601:140:2,0.17
Alosa,fallax,63.75,-13.25,7601:133:3,0.07
Alosa,fallax,63.75,-12.25,7601:132:3,0.07
Alosa,fallax,63.25,-11.75,7601:131:2,0.11
Alosa,fallax,63.25,-10.75,7601:130:2,0.19
Alosa,fallax,60.75,-12.75,7601:102:4,0.19
Alosa,fallax,60.75,-11.75,7601:101:4,0.08
Alosa,fallax,62.75,-9.25,7600:229:3,0.01
Alosa,fallax,62.75,-4.75,7600:124:4,0.09
Alosa,fallax,62.25,-3.75,7600:123:2,0.12
Alosa,fallax,62.25,-0.25,7600:120:1,0.01
Alosa,fallax,60.75,-3.75,7600:103:4,0.09
Alosa,fallax,56.75,-15.75,7501:465:4,0.17
Alosa,fallax,59.25,-10.25,7501:390:1,0.15
Alosa,fallax,56.75,-13.25,7501:363:3,0.17
Alosa,fallax,53.25,-14.75,7501:134:2,0.06
Alosa,fallax,52.75,-14.75,7501:124:4,0.11
Alosa,fallax,52.25,-14.75,7501:124:2,0.18
Alosa,fallax,52.75,-12.75,7501:122:4,0.13
Alosa,fallax,51.75,-14.75,7501:114:4,0.12
Alosa,fallax,51.75,-13.75,7501:113:4,0.16
Alosa,fallax,59.25,-9.75,7500:499:2,0.09
Alosa,fallax,58.75,-8.75,7500:488:4,0.10
Alosa,fallax,55.75,-2.75,7500:352:4,0.09
Alosa,fallax,48.75,-3.25,7400:383:3,0.16
Alosa,fallax,47.25,-2.25,7400:372:1,0.16
