"SP","Format","Param","Method","Estimate","Sd_2.5","Sd_97.5","Migr"
"Aboye","Mu_Fa","N1","Neural network",153585.026421597,144183.993945815,163285.368231631,"Beta"
"Aboye","Mu_Fa","N1","Random forest",143678.63375,129990,157536.400862069,"Beta"
"Aboye","Mu_Fa","N2","Neural network",255741.713211175,243080.295287419,268785.341091388,"Beta"
"Aboye","Mu_Fa","N2","Random forest",244120.139333333,222048.833333333,261307.4,"Beta"
"Aboye","Mu_Fa","Na","Neural network",973446.41228744,901250.651681254,1048461.34135884,"Beta"
"Aboye","Mu_Fa","Na","Random forest",863971.1045,664512.220843673,1070333,"Beta"
"Aboye","Mu_Fa","Tsplit","Neural network",1702019.68644955,1616448.29155149,1779382.17421603,"Beta"
"Aboye","Mu_Fa","Tsplit","Random forest",1389359.168,1059855,1696764.53333333,"Beta"
"Aboye","Mu_Fa","Tsc","Neural network",3955.82720489237,3255.85168990588,4684.09815199473,"Beta"
"Aboye","Mu_Fa","Tsc","Random forest",4051.372,3160,4900,"Beta"
"Aboye","Mu_Fa","M12","Neural network",3.461896181197,2.82816652658522,4.09515474168293,"Beta"
"Aboye","Mu_Fa","M12","Random forest",3.46394836433333,2.71575737864078,4.46447,"Beta"
"Aboye","Mu_Fa","M21","Neural network",1.04076209087299,0.840131228723415,1.23642881380007,"Beta"
"Aboye","Mu_Fa","M21","Random forest",1.05918856083333,0.8012575,1.29736724324324,"Beta"
"Aboye","Li_Ga","N1","Neural network",328345.122398763,300998.81039664,360910.095796197,"Beta"
"Aboye","Li_Ga","N1","Random forest",396167.151333333,343306,451925.802919708,"Beta"
"Aboye","Li_Ga","N2","Neural network",194482.858854146,174789.299917089,214588.730140969,"Beta"
"Aboye","Li_Ga","N2","Random forest",182863.87975,164737.222222222,202298.707627119,"Beta"
"Aboye","Li_Ga","Na","Neural network",1022316.60442375,940779.338384447,1106471.67603138,"Beta"
"Aboye","Li_Ga","Na","Random forest",875503.86925,731245.481012658,1067261.79054054,"Beta"
"Aboye","Li_Ga","shape_N_a","Neural network",4.16337310511026,3.30019852150409,5.02899807592685,"Beta"
"Aboye","Li_Ga","shape_N_a","Random forest",4.179771562,3.15851601449275,5.25894,"Beta"
"Aboye","Li_Ga","shape_N_b","Neural network",0.181203139472916,0.15612710950776,0.207002997844819,"Beta"
"Aboye","Li_Ga","shape_N_b","Random forest",0.176954080666667,0.131219,0.227357590361446,"Beta"
"Aboye","Li_Ga","Tsplit","Neural network",1748497.32672904,1644338.526205,1824877.38603871,"Beta"
"Aboye","Li_Ga","Tsplit","Random forest",1569727.62633333,1322760,1757731.05882353,"Beta"
"Aboye","Li_Ga","Tsc","Neural network",83769.2115067209,74071.0019750221,96136.1714152427,"Beta"
"Aboye","Li_Ga","Tsc","Random forest",89910.407,69631.320754717,113400,"Beta"
"Aboye","Li_Ga","M12","Neural network",14.012294502181,12.7594894164638,15.3674442908584,"Beta"
"Aboye","Li_Ga","M12","Random forest",13.7737212365,10.7527769230769,16.8722102570694,"Beta"
"Aboye","Li_Ga","M21","Neural network",0.409511468103236,0.334453380825826,0.488499334913865,"Beta"
"Aboye","Li_Ga","M21","Random forest",0.423821285,0.322248367346939,0.532901333333333,"Beta"
"Aboye","Mer_Lagoon","N1","Neural network",267883.648240719,251957.746175586,283194.696952741,"Beta"
"Aboye","Mer_Lagoon","N1","Random forest",255625.47725,231290.8,277314.595284872,"Beta"
"Aboye","Mer_Lagoon","N2","Neural network",246710.92311434,232665.526552428,261336.428932283,"Beta"
"Aboye","Mer_Lagoon","N2","Random forest",239783.028083333,220100,261082.10653753,"Beta"
"Aboye","Mer_Lagoon","Na","Neural network",972690.371835721,903939.25869114,1043465.3728089,"Beta"
"Aboye","Mer_Lagoon","Na","Random forest",881806.004833333,693876.818181818,1106571.66666667,"Beta"
"Aboye","Mer_Lagoon","Tsplit","Neural network",1740768.43016562,1669493.70302263,1806695.81801586,"Beta"
"Aboye","Mer_Lagoon","Tsplit","Random forest",1460019.68,1251420.66666667,1672064,"Beta"
"Afall","Li_Fa","N1","Neural network",114740.266805925,103063.219145294,126654.825747298,"Beta"
"Afall","Li_Fa","N1","Random forest",111911.845583333,94040,130670.915492958,"Beta"
"Afall","Li_Fa","N2","Neural network",51003.8676219742,45842.9551210217,55877.9208752244,"Beta"
"Afall","Li_Fa","N2","Random forest",47521.3096666667,40595,54160.9294871795,"Beta"
"Afall","Li_Fa","Na","Neural network",95327.0640379558,83662.3982080662,106741.920470906,"Beta"
"Afall","Li_Fa","Na","Random forest",92586.2104166667,75925.987460815,110135,"Beta"
"Afall","Li_Fa","shape_N_a","Neural network",2.5293125416382,2.17004924699535,2.8670052378743,"Beta"
"Afall","Li_Fa","shape_N_a","Random forest",2.43170465733333,1.8513645,2.95127296875,"Beta"
"Afall","Li_Fa","shape_N_b","Neural network",3.18942739523901,2.58506083054314,3.82664652628077,"Beta"
"Afall","Li_Fa","shape_N_b","Random forest",3.22720768733333,2.48404540106952,4.08757533333333,"Beta"
"Afall","Li_Fa","Tsplit","Neural network",222607.286359392,198380.660068456,245439.395962132,"Beta"
"Afall","Li_Fa","Tsplit","Random forest",206311.661,168799.666666667,240240,"Beta"
"Afall","Li_Fa","Tsc","Neural network",29844.1655599309,24871.0071016508,34179.3549538888,"Beta"
"Afall","Li_Fa","Tsc","Random forest",28776.079,23118.75,34700,"Beta"
