Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Dicentrarchus,labrax,71.25,-8.75,7700:218:2,0.14
Dicentrarchus,labrax,71.25,-8.25,7700:218:1,0.15
Dicentrarchus,labrax,71.25,-7.75,7700:217:2,0.17
Dicentrarchus,labrax,70.75,-7.75,7700:207:4,0.03
Dicentrarchus,labrax,66.75,-15.25,7601:465:3,0.09
Dicentrarchus,labrax,66.75,-14.75,7601:364:4,0.01
Dicentrarchus,labrax,66.25,-13.25,7601:363:1,0.09
Dicentrarchus,labrax,65.75,-13.25,7601:353:3,0.18
Dicentrarchus,labrax,63.25,-16.25,7601:236:1,0.14
Dicentrarchus,labrax,64.25,-13.75,7601:143:2,0.02
Dicentrarchus,labrax,62.75,-6.75,7600:226:4,0.13
Dicentrarchus,labrax,60.25,-3.25,7600:103:1,0.09
Dicentrarchus,labrax,56.75,-14.25,7501:364:3,0.16
Dicentrarchus,labrax,53.75,-10.75,7501:130:4,0.11
Dicentrarchus,labrax,52.75,-10.75,7501:120:4,0.16
Dicentrarchus,labrax,59.75,-5.25,7500:495:3,0.16
Dicentrarchus,labrax,58.75,-1.25,7500:381:3,0.04
Dicentrarchus,labrax,58.25,-0.75,7500:380:2,0.07
Dicentrarchus,labrax,51.25,-7.75,7500:217:2,0.16
Dicentrarchus,labrax,49.75,-9.75,7400:499:4,0.16
Dicentrarchus,labrax,49.25,-9.25,7400:499:1,0.02
Dicentrarchus,labrax,49.25,-7.75,7400:497:2,0.02
Dicentrarchus,labrax,49.25,-5.25,7400:495:1,0.16
Dicentrarchus,labrax,47.75,-6.25,7400:476:3,0.18
Dicentrarchus,labrax,47.25,-4.25,7400:374:1,0.07
Dicentrarchus,labrax,31.75,-10.25,7301:110:3,0.04
Dicentrarchus,labrax,39.75,-9.75,7300:499:4,0.13
Dicentrarchus,labrax,37.75,-0.25,7300:370:3,0.18
Dicentrarchus,labrax,35.75,-3.25,7300:353:3,0.13
Dicentrarchus,labrax,33.25,-9.25,7300:239:1,0.16
Dicentrarchus,labrax,23.25,-17.25,7201:237:1,0.19
Dicentrarchus,labrax,21.75,-17.25,7201:217:3,0.05
Dicentrarchus,labrax,21.25,-17.75,7201:217:2,0.07
Dicentrarchus,labrax,21.25,-16.75,7201:216:2,0.03
Dicentrarchus,labrax,20.75,-17.25,7201:207:3,0.06
Dicentrarchus,labrax,19.75,-17.25,7101:497:3,0.15
Dicentrarchus,labrax,14.25,-16.75,7101:246:2,0.08
