Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Diplodus,puntazzo,41.25,-9.25,7400:219:1,0.03
Diplodus,puntazzo,40.75,-9.25,7400:209:3,0.13
Diplodus,puntazzo,40.25,-9.25,7400:209:1,0.19
Diplodus,puntazzo,40.25,-8.75,7400:208:2,0.11
Diplodus,puntazzo,36.75,-11.25,7301:361:3,0.18
Diplodus,puntazzo,31.25,-13.75,7301:113:2,0.12
Diplodus,puntazzo,35.75,-3.75,7300:353:4,0.09
Diplodus,puntazzo,21.75,-17.25,7201:217:3,0.16
Diplodus,puntazzo,21.25,-17.25,7201:217:1,0.13
Diplodus,puntazzo,21.25,-16.75,7201:216:2,0.16
Diplodus,puntazzo,20.75,-17.25,7201:207:3,0.18
Diplodus,puntazzo,20.25,-16.75,7201:206:2,0.05
Diplodus,puntazzo,18.75,-16.25,7101:486:3,0.13
Diplodus,puntazzo,12.25,-15.75,7101:225:2,0.17
Diplodus,puntazzo,12.25,-15.25,7101:225:1,0.17
Diplodus,puntazzo,11.75,-16.25,7101:216:3,0.09
Diplodus,puntazzo,11.25,-16.25,7101:216:1,0.11
Diplodus,puntazzo,11.75,-15.75,7101:215:4,0.07
Diplodus,puntazzo,11.75,-15.25,7101:215:3,0.11
Diplodus,puntazzo,11.25,-15.75,7101:215:2,0.06
Diplodus,puntazzo,11.25,-15.25,7101:215:1,0.08
Diplodus,puntazzo,10.75,-17.25,7101:207:3,0.03
Diplodus,puntazzo,10.75,-15.75,7101:205:4,0.13
Diplodus,puntazzo,10.75,-15.25,7101:205:3,0.05
Diplodus,puntazzo,10.25,-15.75,7101:205:2,0.17
Diplodus,puntazzo,10.25,-15.25,7101:205:1,0.10
Diplodus,puntazzo,12.25,-14.75,7101:124:2,0.19
Diplodus,puntazzo,11.25,-14.75,7101:114:2,0.09
Diplodus,puntazzo,10.75,-14.75,7101:104:4,0.04
Diplodus,puntazzo,10.25,-14.75,7101:104:2,0.05
Diplodus,puntazzo,10.25,-14.25,7101:104:1,0.02
Diplodus,puntazzo,10.25,-13.75,7101:103:2,0.05
Diplodus,puntazzo,9.75,-16.75,7001:496:4,0.18
Diplodus,puntazzo,9.75,-16.25,7001:496:3,0.18
Diplodus,puntazzo,9.75,-15.75,7001:495:4,0.16
Diplodus,puntazzo,9.75,-15.25,7001:495:3,0.11
Diplodus,puntazzo,9.25,-15.75,7001:495:2,0.09
Diplodus,puntazzo,9.25,-15.25,7001:495:1,0.07
Diplodus,puntazzo,9.75,-14.75,7001:394:4,0.07
Diplodus,puntazzo,9.75,-14.25,7001:394:3,0.02
Diplodus,puntazzo,9.25,-14.75,7001:394:2,0.06
Diplodus,puntazzo,9.25,-14.25,7001:394:1,0.02
Diplodus,puntazzo,9.75,-13.25,7001:393:3,0.05
Diplodus,puntazzo,9.25,-13.25,7001:393:1,0.01
Diplodus,puntazzo,8.75,-14.75,7001:384:4,0.03
Diplodus,puntazzo,8.75,-14.25,7001:384:3,0.02
Diplodus,puntazzo,8.25,-14.25,7001:384:1,0.01
Diplodus,puntazzo,8.75,-13.25,7001:383:3,0.01
Diplodus,puntazzo,8.25,-13.75,7001:383:2,0.01
Diplodus,puntazzo,8.25,-13.25,7001:383:1,0.01
Diplodus,puntazzo,8.75,-12.75,7001:382:4,0.01
Diplodus,puntazzo,8.25,-12.75,7001:382:2,0.01
Diplodus,puntazzo,7.75,-13.75,7001:373:4,0.02
Diplodus,puntazzo,7.75,-13.25,7001:373:3,0.02
Diplodus,puntazzo,7.75,-12.75,7001:372:4,0.02
Diplodus,puntazzo,7.75,-12.25,7001:372:3,0.01
Diplodus,puntazzo,7.25,-12.75,7001:372:2,0.02
Diplodus,puntazzo,7.25,-12.25,7001:372:1,0.02
Diplodus,puntazzo,7.25,-11.75,7001:371:2,0.01
Diplodus,puntazzo,6.75,-11.75,7001:361:4,0.01
Diplodus,puntazzo,6.75,-11.25,7001:361:3,0.01
Diplodus,puntazzo,6.75,-10.75,7001:360:4,0.02
Diplodus,puntazzo,6.25,-10.75,7001:360:2,0.01
