Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Merluccius,merluccius,37.25,4.25,1300:374:1,0.01
Merluccius,merluccius,39.75,1.75,1300:391:4,0.05
Merluccius,merluccius,38.25,8.25,1300:488:1,0.05
Merluccius,merluccius,32.75,12.75,1301:122:4,0.08
Merluccius,merluccius,32.75,13.25,1301:123:3,0.04
Merluccius,merluccius,32.75,14.25,1301:124:3,0.18
Merluccius,merluccius,32.75,14.75,1301:124:4,0.15
Merluccius,merluccius,33.25,11.25,1301:131:1,0.02
Merluccius,merluccius,33.25,11.75,1301:131:2,0.08
Merluccius,merluccius,33.75,11.25,1301:131:3,0.06
Merluccius,merluccius,33.75,11.75,1301:131:4,0.12
Merluccius,merluccius,33.25,12.25,1301:132:1,0.10
Merluccius,merluccius,33.75,12.25,1301:132:3,0.19
Merluccius,merluccius,33.75,12.75,1301:132:4,0.17
Merluccius,merluccius,33.25,13.75,1301:133:2,0.19
Merluccius,merluccius,33.75,13.25,1301:133:3,0.16
Merluccius,merluccius,33.75,13.75,1301:133:4,0.14
Merluccius,merluccius,33.25,14.25,1301:134:1,0.14
Merluccius,merluccius,33.25,14.75,1301:134:2,0.11
Merluccius,merluccius,33.75,14.25,1301:134:3,0.13
Merluccius,merluccius,33.75,14.75,1301:134:4,0.12
Merluccius,merluccius,34.75,10.75,1301:140:4,0.16
Merluccius,merluccius,34.25,11.25,1301:141:1,0.16
Merluccius,merluccius,34.75,11.75,1301:141:4,0.18
Merluccius,merluccius,34.25,12.75,1301:142:2,0.19
Merluccius,merluccius,34.25,13.25,1301:143:1,0.17
Merluccius,merluccius,34.25,13.75,1301:143:2,0.15
Merluccius,merluccius,34.75,13.75,1301:143:4,0.17
Merluccius,merluccius,34.25,14.25,1301:144:1,0.14
Merluccius,merluccius,34.25,14.75,1301:144:2,0.14
Merluccius,merluccius,34.75,14.25,1301:144:3,0.15
Merluccius,merluccius,34.75,14.75,1301:144:4,0.15
Merluccius,merluccius,30.75,17.75,1301:207:4,0.01
Merluccius,merluccius,30.25,19.75,1301:209:2,0.15
Merluccius,merluccius,31.25,15.75,1301:215:2,0.08
Merluccius,merluccius,31.75,15.75,1301:215:4,0.19
Merluccius,merluccius,31.25,16.75,1301:216:2,0.15
Merluccius,merluccius,31.75,16.25,1301:216:3,0.14
Merluccius,merluccius,31.75,16.75,1301:216:4,0.11
Merluccius,merluccius,31.25,17.25,1301:217:1,0.14
Merluccius,merluccius,31.25,17.75,1301:217:2,0.15
Merluccius,merluccius,31.75,17.25,1301:217:3,0.11
Merluccius,merluccius,31.75,17.75,1301:217:4,0.10
Merluccius,merluccius,31.25,18.25,1301:218:1,0.13
Merluccius,merluccius,31.25,18.75,1301:218:2,0.11
Merluccius,merluccius,31.75,18.25,1301:218:3,0.04
Merluccius,merluccius,31.25,19.25,1301:219:1,0.11
Merluccius,merluccius,31.75,19.25,1301:219:3,0.11
Merluccius,merluccius,31.75,19.75,1301:219:4,0.15
Merluccius,merluccius,32.25,15.25,1301:225:1,0.14
Merluccius,merluccius,32.25,15.75,1301:225:2,0.12
Merluccius,merluccius,32.75,15.25,1301:225:3,0.13
Merluccius,merluccius,32.75,15.75,1301:225:4,0.11
Merluccius,merluccius,32.25,16.25,1301:226:1,0.11
Merluccius,merluccius,32.25,16.75,1301:226:2,0.05
Merluccius,merluccius,32.75,16.25,1301:226:3,0.03
Merluccius,merluccius,32.25,19.25,1301:229:1,0.11
Merluccius,merluccius,32.25,19.75,1301:229:2,0.14
Merluccius,merluccius,32.75,19.75,1301:229:4,0.10
Merluccius,merluccius,33.25,15.25,1301:235:1,0.07
Merluccius,merluccius,33.25,15.75,1301:235:2,0.05
Merluccius,merluccius,33.75,15.25,1301:235:3,0.11
Merluccius,merluccius,33.75,15.75,1301:235:4,0.11
Merluccius,merluccius,33.75,19.75,1301:239:4,0.01
Merluccius,merluccius,34.25,15.25,1301:245:1,0.14
Merluccius,merluccius,34.25,15.75,1301:245:2,0.15
Merluccius,merluccius,34.75,15.25,1301:245:3,0.16
Merluccius,merluccius,34.75,15.75,1301:245:4,0.18
Merluccius,merluccius,34.25,16.25,1301:246:1,0.12
Merluccius,merluccius,34.25,16.75,1301:246:2,0.14
Merluccius,merluccius,34.75,16.25,1301:246:3,0.18
Merluccius,merluccius,35.25,11.75,1301:351:2,0.19
Merluccius,merluccius,35.25,14.25,1301:354:1,0.19
Merluccius,merluccius,38.75,10.25,1301:380:3,0.12
Merluccius,merluccius,38.75,11.25,1301:381:3,0.14
Merluccius,merluccius,38.75,11.75,1301:381:4,0.19
Merluccius,merluccius,38.75,12.25,1301:382:3,0.10
Merluccius,merluccius,38.75,12.75,1301:382:4,0.17
Merluccius,merluccius,39.25,14.25,1301:394:1,0.01
Merluccius,merluccius,36.75,15.75,1301:465:4,0.16
Merluccius,merluccius,39.25,15.25,1301:495:1,0.15
Merluccius,merluccius,39.75,15.75,1301:495:4,0.19
Merluccius,merluccius,39.25,17.75,1301:497:2,0.07
Merluccius,merluccius,39.75,17.75,1301:497:4,0.18
Merluccius,merluccius,39.25,18.25,1301:498:1,0.05
Merluccius,merluccius,39.25,18.75,1301:498:2,0.07
Merluccius,merluccius,39.75,18.25,1301:498:3,0.18
Merluccius,merluccius,39.25,19.25,1301:499:1,0.07
Merluccius,merluccius,30.75,20.25,1302:100:3,0.07
Merluccius,merluccius,31.25,20.25,1302:110:1,0.10
Merluccius,merluccius,32.25,20.25,1302:120:1,0.14
Merluccius,merluccius,32.75,20.25,1302:120:3,0.11
Merluccius,merluccius,32.75,20.75,1302:120:4,0.11
Merluccius,merluccius,32.75,21.25,1302:121:3,0.11
Merluccius,merluccius,32.75,21.75,1302:121:4,0.10
Merluccius,merluccius,32.75,22.25,1302:122:3,0.09
Merluccius,merluccius,32.75,22.75,1302:122:4,0.08
Merluccius,merluccius,32.25,23.25,1302:123:1,0.08
Merluccius,merluccius,32.25,23.75,1302:123:2,0.07
Merluccius,merluccius,32.75,23.25,1302:123:3,0.08
Merluccius,merluccius,32.75,23.75,1302:123:4,0.07
Merluccius,merluccius,32.25,24.25,1302:124:1,0.06
Merluccius,merluccius,32.25,24.75,1302:124:2,0.05
Merluccius,merluccius,32.75,24.25,1302:124:3,0.01
Merluccius,merluccius,33.25,21.75,1302:131:2,0.07
Merluccius,merluccius,33.25,22.25,1302:132:1,0.09
Merluccius,merluccius,33.25,22.75,1302:132:2,0.08
Merluccius,merluccius,33.25,23.25,1302:133:1,0.07
Merluccius,merluccius,34.75,23.75,1302:143:4,0.07
Merluccius,merluccius,34.75,24.25,1302:144:3,0.05
Merluccius,merluccius,34.75,24.75,1302:144:4,0.04
Merluccius,merluccius,30.75,28.75,1302:208:4,0.07
Merluccius,merluccius,30.75,29.25,1302:209:3,0.08
Merluccius,merluccius,31.75,25.25,1302:215:3,0.04
Merluccius,merluccius,31.75,25.75,1302:215:4,0.04
Merluccius,merluccius,31.75,26.25,1302:216:3,0.03
Merluccius,merluccius,31.75,26.75,1302:216:4,0.03
Merluccius,merluccius,31.25,27.25,1302:217:1,0.08
Merluccius,merluccius,31.25,27.75,1302:217:2,0.08
Merluccius,merluccius,31.75,27.25,1302:217:3,0.03
Merluccius,merluccius,31.25,28.25,1302:218:1,0.07
Merluccius,merluccius,31.25,28.75,1302:218:2,0.05
Merluccius,merluccius,31.25,29.25,1302:219:1,0.07
Merluccius,merluccius,31.25,29.75,1302:219:2,0.10
Merluccius,merluccius,31.75,29.25,1302:219:3,0.01
Merluccius,merluccius,31.75,29.75,1302:219:4,0.05
Merluccius,merluccius,32.25,25.25,1302:225:1,0.04
Merluccius,merluccius,32.25,25.75,1302:225:2,0.01
Merluccius,merluccius,34.75,25.25,1302:245:3,0.04
Merluccius,merluccius,34.75,25.75,1302:245:4,0.04
Merluccius,merluccius,34.75,26.25,1302:246:3,0.04
Merluccius,merluccius,34.75,27.25,1302:247:3,0.01
Merluccius,merluccius,34.75,27.75,1302:247:4,0.01
Merluccius,merluccius,35.75,22.75,1302:352:4,0.18
Merluccius,merluccius,35.25,23.75,1302:353:2,0.07
Merluccius,merluccius,35.25,24.25,1302:354:1,0.08
Merluccius,merluccius,35.25,24.75,1302:354:2,0.09
Merluccius,merluccius,35.75,24.25,1302:354:3,0.19
Merluccius,merluccius,35.75,24.75,1302:354:4,0.15
Merluccius,merluccius,37.25,20.75,1302:370:2,0.11
Merluccius,merluccius,37.75,20.25,1302:370:3,0.05
Merluccius,merluccius,37.75,20.75,1302:370:4,0.16
Merluccius,merluccius,38.25,20.25,1302:380:1,0.14
Merluccius,merluccius,35.25,25.25,1302:455:1,0.08
Merluccius,merluccius,35.25,25.75,1302:455:2,0.08
Merluccius,merluccius,35.75,25.25,1302:455:3,0.13
Merluccius,merluccius,35.75,25.75,1302:455:4,0.11
Merluccius,merluccius,35.25,26.25,1302:456:1,0.07
Merluccius,merluccius,35.25,26.75,1302:456:2,0.04
Merluccius,merluccius,35.75,26.25,1302:456:3,0.08
Merluccius,merluccius,35.75,26.75,1302:456:4,0.04
Merluccius,merluccius,35.25,27.25,1302:457:1,0.03
Merluccius,merluccius,35.25,27.75,1302:457:2,0.01
Merluccius,merluccius,35.75,27.25,1302:457:3,0.02
Merluccius,merluccius,35.75,27.75,1302:457:4,0.01
Merluccius,merluccius,36.25,25.25,1302:465:1,0.15
Merluccius,merluccius,36.25,25.75,1302:465:2,0.10
Merluccius,merluccius,36.75,25.75,1302:465:4,0.11
Merluccius,merluccius,36.25,26.25,1302:466:1,0.07
Merluccius,merluccius,36.25,26.75,1302:466:2,0.04
Merluccius,merluccius,36.75,26.25,1302:466:3,0.06
Merluccius,merluccius,36.75,26.75,1302:466:4,0.03
Merluccius,merluccius,36.25,27.25,1302:467:1,0.02
Merluccius,merluccius,36.25,27.75,1302:467:2,0.01
Merluccius,merluccius,36.75,27.25,1302:467:3,0.02
Merluccius,merluccius,36.75,27.75,1302:467:4,0.01
Merluccius,merluccius,36.75,28.25,1302:468:3,0.01
Merluccius,merluccius,36.75,28.75,1302:468:4,0.01
Merluccius,merluccius,36.25,29.25,1302:469:1,0.01
Merluccius,merluccius,36.75,29.25,1302:469:3,0.12
Merluccius,merluccius,37.25,25.75,1302:475:2,0.14
Merluccius,merluccius,37.25,26.25,1302:476:1,0.07
Merluccius,merluccius,37.25,26.75,1302:476:2,0.06
Merluccius,merluccius,37.75,26.75,1302:476:4,0.18
Merluccius,merluccius,37.25,27.25,1302:477:1,0.06
Merluccius,merluccius,37.25,27.75,1302:477:2,0.17
Merluccius,merluccius,31.25,30.25,1303:110:1,0.12
Merluccius,merluccius,31.75,30.25,1303:110:3,0.10
Merluccius,merluccius,31.75,30.75,1303:110:4,0.16
Merluccius,merluccius,31.25,32.25,1303:112:1,0.08
Merluccius,merluccius,31.25,32.75,1303:112:2,0.03
Merluccius,merluccius,31.75,32.25,1303:112:3,0.12
Merluccius,merluccius,31.75,32.75,1303:112:4,0.05
Merluccius,merluccius,31.25,33.25,1303:113:1,0.16
Merluccius,merluccius,31.25,33.75,1303:113:2,0.14
Merluccius,merluccius,31.75,33.25,1303:113:3,0.03
Merluccius,merluccius,31.75,33.75,1303:113:4,0.04
Merluccius,merluccius,31.25,34.25,1303:114:1,0.13
Merluccius,merluccius,31.75,34.25,1303:114:3,0.19
Merluccius,merluccius,31.75,34.75,1303:114:4,0.09
Merluccius,merluccius,32.25,30.25,1303:120:1,0.02
Merluccius,merluccius,32.25,30.75,1303:120:2,0.02
Merluccius,merluccius,32.25,31.25,1303:121:1,0.02
Merluccius,merluccius,32.25,31.75,1303:121:2,0.02
Merluccius,merluccius,32.25,32.25,1303:122:1,0.02
Merluccius,merluccius,32.25,32.75,1303:122:2,0.02
Merluccius,merluccius,32.25,33.25,1303:123:1,0.01
Merluccius,merluccius,32.25,33.75,1303:123:2,0.01
Merluccius,merluccius,32.25,34.25,1303:124:1,0.09
Merluccius,merluccius,32.25,34.75,1303:124:2,0.11
Merluccius,merluccius,32.75,34.75,1303:124:4,0.08
Merluccius,merluccius,33.25,34.75,1303:134:2,0.05
Merluccius,merluccius,34.25,33.75,1303:143:2,0.01
Merluccius,merluccius,34.75,33.25,1303:143:3,0.01
Merluccius,merluccius,34.75,33.75,1303:143:4,0.01
Merluccius,merluccius,34.75,34.25,1303:144:3,0.01
Merluccius,merluccius,32.75,35.25,1303:225:3,0.07
Merluccius,merluccius,33.25,35.25,1303:235:1,0.06
Merluccius,merluccius,33.75,35.25,1303:235:3,0.04
Merluccius,merluccius,33.75,35.75,1303:235:4,0.07
Merluccius,merluccius,34.25,35.75,1303:245:2,0.05
Merluccius,merluccius,34.75,35.75,1303:245:4,0.02
Merluccius,merluccius,35.75,32.75,1303:352:4,0.01
Merluccius,merluccius,35.25,33.25,1303:353:1,0.01
Merluccius,merluccius,35.25,33.75,1303:353:2,0.01
Merluccius,merluccius,35.75,33.25,1303:353:3,0.01
Merluccius,merluccius,35.75,33.75,1303:353:4,0.01
Merluccius,merluccius,35.25,34.75,1303:354:2,0.01
Merluccius,merluccius,35.75,34.25,1303:354:3,0.01
Merluccius,merluccius,35.75,34.75,1303:354:4,0.01
Merluccius,merluccius,36.75,30.75,1303:360:4,0.01
Merluccius,merluccius,36.75,31.25,1303:361:3,0.01
Merluccius,merluccius,36.25,32.25,1303:362:1,0.01
Merluccius,merluccius,36.25,32.75,1303:362:2,0.02
Merluccius,merluccius,36.25,33.25,1303:363:1,0.02
Merluccius,merluccius,36.25,33.75,1303:363:2,0.01
Merluccius,merluccius,36.25,34.25,1303:364:1,0.01
Merluccius,merluccius,36.25,34.75,1303:364:2,0.01
Merluccius,merluccius,36.75,34.25,1303:364:3,0.17
Merluccius,merluccius,36.75,34.75,1303:364:4,0.02
Merluccius,merluccius,35.25,35.75,1303:455:2,0.02
Merluccius,merluccius,35.75,35.75,1303:455:4,0.03
Merluccius,merluccius,36.25,35.25,1303:465:1,0.03
Merluccius,merluccius,36.25,35.75,1303:465:2,0.05
Merluccius,merluccius,36.75,35.25,1303:465:3,0.06
Merluccius,merluccius,36.75,35.75,1303:465:4,0.05
Merluccius,merluccius,40.75,2.25,1400:102:3,0.06
Merluccius,merluccius,41.75,8.25,1400:218:3,0.02
Merluccius,merluccius,41.75,9.75,1400:219:4,0.19
Merluccius,merluccius,42.75,6.75,1400:226:4,0.03
Merluccius,merluccius,42.25,9.75,1400:229:2,0.19
Merluccius,merluccius,43.25,6.75,1400:236:2,0.19
Merluccius,merluccius,43.25,7.25,1400:237:1,0.16
Merluccius,merluccius,43.75,8.75,1400:238:4,0.09
Merluccius,merluccius,43.25,9.25,1400:239:1,0.18
Merluccius,merluccius,43.75,9.25,1400:239:3,0.18
Merluccius,merluccius,44.25,8.75,1400:248:2,0.17
Merluccius,merluccius,44.25,9.25,1400:249:1,0.18
Merluccius,merluccius,40.75,10.75,1401:100:4,0.02
Merluccius,merluccius,40.25,13.75,1401:103:2,0.09
Merluccius,merluccius,41.25,10.25,1401:110:1,0.15
Merluccius,merluccius,41.75,10.25,1401:110:3,0.18
Merluccius,merluccius,41.75,10.75,1401:110:4,0.10
Merluccius,merluccius,41.25,11.25,1401:111:1,0.12
Merluccius,merluccius,41.25,11.75,1401:111:2,0.09
Merluccius,merluccius,41.75,11.25,1401:111:3,0.18
Merluccius,merluccius,42.25,10.25,1401:120:1,0.17
Merluccius,merluccius,42.25,10.75,1401:120:2,0.18
Merluccius,merluccius,42.75,10.25,1401:120:3,0.17
Merluccius,merluccius,40.25,17.75,1401:207:2,0.16
Merluccius,merluccius,41.75,17.75,1401:217:4,0.11
Merluccius,merluccius,45.25,12.25,1401:352:1,0.05
Merluccius,merluccius,45.75,12.75,1401:352:4,0.03
Merluccius,merluccius,43.25,27.75,1402:237:2,0.08
Merluccius,merluccius,43.25,29.75,1402:239:2,0.10
Merluccius,merluccius,44.75,28.75,1402:248:4,0.05
Merluccius,merluccius,44.75,29.25,1402:249:3,0.03
Merluccius,merluccius,44.75,29.75,1402:249:4,0.05
Merluccius,merluccius,45.25,29.75,1402:459:2,0.02
Merluccius,merluccius,45.75,29.75,1402:459:4,0.08
Merluccius,merluccius,41.25,31.75,1403:111:2,0.04
Merluccius,merluccius,43.25,30.25,1403:130:1,0.05
Merluccius,merluccius,43.75,31.25,1403:131:3,0.05
Merluccius,merluccius,44.25,31.75,1403:141:2,0.05
Merluccius,merluccius,44.75,32.75,1403:142:4,0.18
Merluccius,merluccius,44.25,33.25,1403:143:1,0.18
Merluccius,merluccius,42.25,35.75,1403:225:2,0.18
Merluccius,merluccius,42.25,36.25,1403:226:1,0.04
Merluccius,merluccius,42.25,36.75,1403:226:2,0.12
Merluccius,merluccius,43.75,38.75,1403:238:4,0.07
Merluccius,merluccius,43.75,39.25,1403:239:3,0.15
Merluccius,merluccius,44.25,36.25,1403:246:1,0.10
Merluccius,merluccius,44.25,36.75,1403:246:2,0.10
Merluccius,merluccius,44.25,37.75,1403:247:2,0.06
Merluccius,merluccius,45.25,30.25,1403:350:1,0.14
Merluccius,merluccius,45.75,31.25,1403:351:3,0.19
Merluccius,merluccius,45.75,33.75,1403:353:4,0.11
Merluccius,merluccius,45.75,34.75,1403:354:4,0.09
Merluccius,merluccius,46.25,30.75,1403:360:2,0.17
Merluccius,merluccius,46.75,30.75,1403:360:4,0.17
Merluccius,merluccius,46.25,31.25,1403:361:1,0.18
Merluccius,merluccius,46.25,31.75,1403:361:2,0.06
