Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Sarda,sarda,61.75,-41.25,7604:111:3,0.08
Sarda,sarda,61.25,-41.75,7604:111:2,0.08
Sarda,sarda,61.25,-41.25,7604:111:1,0.06
Sarda,sarda,61.75,-40.75,7604:110:4,0.08
Sarda,sarda,60.75,-42.25,7604:102:3,0.01
Sarda,sarda,60.25,-42.25,7604:102:1,0.04
Sarda,sarda,60.75,-41.75,7604:101:4,0.16
Sarda,sarda,60.25,-41.75,7604:101:2,0.01
Sarda,sarda,61.25,-5.75,7600:215:2,0.18
Sarda,sarda,61.25,-5.25,7600:215:1,0.14
Sarda,sarda,60.75,-7.75,7600:207:4,0.07
Sarda,sarda,61.75,-4.75,7600:114:4,0.07
Sarda,sarda,50.25,-66.75,7506:206:2,0.10
Sarda,sarda,50.25,-66.25,7506:206:1,0.12
Sarda,sarda,50.25,-65.75,7506:205:2,0.14
Sarda,sarda,50.25,-65.25,7506:205:1,0.16
Sarda,sarda,50.25,-64.75,7506:104:2,0.18
Sarda,sarda,50.25,-64.25,7506:104:1,0.17
Sarda,sarda,50.25,-63.75,7506:103:2,0.17
Sarda,sarda,53.75,-58.75,7505:238:4,0.01
Sarda,sarda,52.75,-55.75,7505:225:4,0.01
Sarda,sarda,52.25,-55.75,7505:225:2,0.01
Sarda,sarda,52.25,-55.25,7505:225:1,0.01
Sarda,sarda,51.25,-58.75,7505:218:2,0.14
Sarda,sarda,51.25,-58.25,7505:218:1,0.15
Sarda,sarda,51.25,-57.75,7505:217:2,0.14
Sarda,sarda,51.25,-57.25,7505:217:1,0.09
Sarda,sarda,51.75,-56.75,7505:216:4,0.06
Sarda,sarda,51.75,-56.25,7505:216:3,0.04
Sarda,sarda,51.25,-56.75,7505:216:2,0.09
Sarda,sarda,51.75,-55.75,7505:215:4,0.03
Sarda,sarda,51.75,-55.25,7505:215:3,0.02
Sarda,sarda,51.25,-55.75,7505:215:2,0.08
Sarda,sarda,51.25,-55.25,7505:215:1,0.05
