Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Syngnathus,typhle,53.75,-4.25,7500:134:3,0.11
Syngnathus,typhle,51.25,-3.75,7500:113:2,0.14
Syngnathus,typhle,62.25,21.25,1602:121:1,0.06
Syngnathus,typhle,62.75,20.25,1602:120:3,0.03
Syngnathus,typhle,62.25,20.75,1602:120:2,0.13
Syngnathus,typhle,61.75,21.75,1602:111:4,0.04
Syngnathus,typhle,61.75,21.25,1602:111:3,0.18
Syngnathus,typhle,61.25,21.75,1602:111:2,0.13
Syngnathus,typhle,61.25,21.25,1602:111:1,0.19
Syngnathus,typhle,61.25,20.25,1602:110:1,0.12
Syngnathus,typhle,60.25,22.75,1602:102:2,0.18
Syngnathus,typhle,60.25,22.25,1602:102:1,0.18
Syngnathus,typhle,60.75,21.75,1602:101:4,0.09
Syngnathus,typhle,60.75,21.25,1602:101:3,0.19
Syngnathus,typhle,63.75,19.75,1601:239:4,0.01
Syngnathus,typhle,63.75,19.25,1601:239:3,0.06
Syngnathus,typhle,63.25,19.75,1601:239:2,0.06
Syngnathus,typhle,63.25,19.25,1601:239:1,0.10
Syngnathus,typhle,63.25,18.75,1601:238:2,0.13
Syngnathus,typhle,63.25,18.25,1601:238:1,0.19
Syngnathus,typhle,61.25,19.75,1601:219:2,0.07
Syngnathus,typhle,59.75,24.25,1502:394:3,0.02
Syngnathus,typhle,59.25,24.25,1502:394:1,0.05
Syngnathus,typhle,59.75,23.75,1502:393:4,0.09
Syngnathus,typhle,59.75,23.25,1502:393:3,0.19
Syngnathus,typhle,58.75,23.75,1502:383:4,0.13
Syngnathus,typhle,58.25,23.25,1502:383:1,0.01
Syngnathus,typhle,58.25,22.75,1502:382:2,0.09
Syngnathus,typhle,57.75,23.25,1502:373:3,0.03
Syngnathus,typhle,57.25,23.75,1502:373:2,0.01
Syngnathus,typhle,57.25,23.25,1502:373:1,0.05
Syngnathus,typhle,57.75,22.75,1502:372:4,0.11
Syngnathus,typhle,57.25,22.75,1502:372:2,0.18
Syngnathus,typhle,54.75,14.75,1501:144:4,0.11
Syngnathus,typhle,53.75,9.25,1500:239:3,0.11
Syngnathus,typhle,54.25,2.25,1500:142:1,0.11
Syngnathus,typhle,53.75,2.25,1500:132:3,0.11
Syngnathus,typhle,52.25,4.25,1500:124:1,0.06
Syngnathus,typhle,46.25,31.25,1403:361:1,0.11
Syngnathus,typhle,45.75,12.75,1401:352:4,0.06
Syngnathus,typhle,45.25,12.75,1401:352:2,0.10
Syngnathus,typhle,44.25,12.25,1401:142:1,0.06
Syngnathus,typhle,36.75,35.75,1303:465:4,0.09
Syngnathus,typhle,36.75,35.25,1303:465:3,0.13
Syngnathus,typhle,36.25,35.75,1303:465:2,0.10
Syngnathus,typhle,35.75,35.75,1303:455:4,0.06
Syngnathus,typhle,35.25,35.75,1303:455:2,0.04
Syngnathus,typhle,36.75,34.75,1303:364:4,0.04
Syngnathus,typhle,36.25,34.25,1303:364:1,0.01
Syngnathus,typhle,36.25,33.75,1303:363:2,0.01
Syngnathus,typhle,36.25,33.25,1303:363:1,0.04
Syngnathus,typhle,36.25,32.75,1303:362:2,0.03
Syngnathus,typhle,35.75,34.75,1303:354:4,0.01
Syngnathus,typhle,34.75,35.75,1303:245:4,0.04
Syngnathus,typhle,34.25,35.75,1303:245:2,0.12
Syngnathus,typhle,33.75,35.75,1303:235:4,0.19
Syngnathus,typhle,33.75,35.25,1303:235:3,0.09
Syngnathus,typhle,33.25,35.25,1303:235:1,0.17
Syngnathus,typhle,34.75,34.25,1303:144:3,0.01
Syngnathus,typhle,37.25,27.25,1302:477:1,0.07
Syngnathus,typhle,37.25,26.75,1302:476:2,0.09
Syngnathus,typhle,37.25,26.25,1302:476:1,0.16
Syngnathus,typhle,37.75,25.75,1302:475:4,0.06
Syngnathus,typhle,36.75,27.25,1302:467:3,0.02
Syngnathus,typhle,36.25,27.75,1302:467:2,0.01
Syngnathus,typhle,36.25,27.25,1302:467:1,0.04
Syngnathus,typhle,36.75,26.75,1302:466:4,0.07
Syngnathus,typhle,36.75,26.25,1302:466:3,0.14
Syngnathus,typhle,36.25,26.75,1302:466:2,0.10
Syngnathus,typhle,36.25,26.25,1302:466:1,0.17
Syngnathus,typhle,35.75,27.75,1302:457:4,0.01
Syngnathus,typhle,35.75,27.25,1302:457:3,0.04
Syngnathus,typhle,35.25,27.25,1302:457:1,0.06
Syngnathus,typhle,35.75,26.25,1302:456:3,0.19
Syngnathus,typhle,35.25,26.75,1302:456:2,0.10
Syngnathus,typhle,35.25,26.25,1302:456:1,0.19
Syngnathus,typhle,34.75,26.25,1302:246:3,0.12
Syngnathus,typhle,34.75,25.25,1302:245:3,0.10
Syngnathus,typhle,32.25,25.25,1302:225:1,0.04
Syngnathus,typhle,31.25,28.75,1302:218:2,0.19
Syngnathus,typhle,31.75,26.75,1302:216:4,0.10
Syngnathus,typhle,31.75,26.25,1302:216:3,0.10
Syngnathus,typhle,31.75,25.75,1302:215:4,0.12
Syngnathus,typhle,31.75,25.25,1302:215:3,0.13
Syngnathus,typhle,30.75,29.25,1302:209:3,0.16
Syngnathus,typhle,34.75,24.75,1302:144:4,0.12
Syngnathus,typhle,34.75,24.25,1302:144:3,0.14
Syngnathus,typhle,32.25,24.75,1302:124:2,0.16
Syngnathus,typhle,32.25,24.25,1302:124:1,0.19
Syngnathus,typhle,35.25,12.25,1301:352:1,0.16
Syngnathus,typhle,34.25,10.75,1301:140:2,0.17
Syngnathus,typhle,70.75,-9.25,7700:209:3,0.36
Syngnathus,typhle,70.75,-8.75,7700:208:4,0.36
Syngnathus,typhle,70.75,-8.25,7700:208:3,0.38
Syngnathus,typhle,55.25,-3.75,7500:353:2,0.39
Syngnathus,typhle,50.25,-2.25,7500:102:1,0.22
Syngnathus,typhle,50.25,-1.75,7500:101:2,0.22
Syngnathus,typhle,49.25,-3.75,7400:393:2,0.33
Syngnathus,typhle,34.75,-6.75,7300:246:4,0.22
Syngnathus,typhle,70.25,18.25,1701:208:1,0.28
Syngnathus,typhle,67.75,41.25,1604:371:3,0.21
