GENE;POP1;POP2;TOTAL_SITES;N_SITES;NUM_ALL;DENOM_ALL;DXY_ALL
0:10135082-10140288;Fa;Ga;5160;29;1088;525788;0.20692750690392325
0:10135082-10140288;Fa;Li;5167;22;898;509068;0.17640079517864019
0:10135082-10140288;Fa;Mu;5167;22;784;509024;0.15402024266046394
0:10135082-10140288;Ga;Li;5167;22;1244;526284;0.23637427700633118
0:10135082-10140288;Ga;Mu;5167;22;1108;526188;0.21057112666955538
0:10135082-10140288;Li;Mu;5174;15;886;509644;0.173846842109394
0:10142745-10150681;Fa;Ga;7914;20;1212;841560;0.1440182518180522
0:10142745-10150681;Fa;Li;7914;20;1494;788312;0.18951887070094076
0:10142745-10150681;Fa;Mu;7914;20;1220;788672;0.15469041629473343
0:10142745-10150681;Ga;Li;7914;20;1128;842692;0.13385673531966602
0:10142745-10150681;Ga;Mu;7914;20;1506;843000;0.1786476868327402
0:10142745-10150681;Li;Mu;7914;20;1536;789764;0.19448848010291683
0:10565647-10583829;Fa;Ga;17984;102;1550;1854776;0.08356804271782685
0:10565647-10583829;Fa;Li;17980;106;1238;1787384;0.06926323610371359
0:10565647-10583829;Fa;Mu;17985;101;1370;1784220;0.07678425306296309
0:10565647-10583829;Ga;Li;17978;108;1722;1857272;0.09271662955129889
0:10565647-10583829;Ga;Mu;17987;99;1876;1853784;0.10119841362316213
0:10565647-10583829;Li;Mu;17984;102;1302;1787112;0.072854974954004
0:10599030-10606906;Fa;Ga;7847;14;734;755892;0.09710381906409911
0:10599030-10606906;Fa;Li;7847;14;768;775284;0.0990604733233241
0:10599030-10606906;Fa;Mu;7847;14;734;771264;0.09516845075097502
0:10599030-10606906;Ga;Li;7848;13;842;757472;0.11115922436736936
0:10599030-10606906;Ga;Mu;7848;13;784;754388;0.10392530103872277
0:10599030-10606906;Li;Mu;7848;13;866;772556;0.1120954338585164
0:1062946-1067413;Fa;Ga;4433;13;776;465676;0.16663946606653554
0:1062946-1067413;Fa;Li;4433;13;730;442980;0.16479299291164387
0:1062946-1067413;Fa;Mu;4433;13;698;442280;0.15781857646739622
