GENE;POP;TOTAL_SITES;N_SITES;NUM_ALL;DENOM_ALL;PI_ALL
0:1178782-1180602;Fa;1621;80;498;66106;0.7533355519922549
0:1178782-1180602;Ga;1656;45;216;74503;0.2899212112263936
0:1178782-1180602;Li;1655;46;582;70302;0.8278569599726893
0:1178782-1180602;Mu;1605;96;734;65168;1.1263196660937884
0:1178782-1180602;all;1656;45;12910;1182311;1.0919292808744907
0:1183370-1185891;Fa;2474;42;689;99223;0.6943954526672244
0:1183370-1185891;Ga;2500;16;332;111072;0.2989052146355517
0:1183370-1185891;Li;2456;60;621;96360;0.6444582814445828
0:1183370-1185891;Mu;2500;16;713;99366;0.7175492623231287
0:1183370-1185891;all;2500;16;11805;1746277;0.6760095906892205
0:1186351-1187177;Fa;806;6;212;36270;0.5845051006341329
0:1186351-1187177;Ga;806;6;189;36270;0.5210918114143921
0:1186351-1187177;Li;806;6;261;36270;0.7196029776674938
0:1186351-1187177;Mu;806;6;264;36270;0.727874276261373
0:1186351-1187177;all;806;6;5656;628680;0.8996627855188649
0:1392064-1394384;Fa;2204;59;537;99095;0.5419042333114688
0:1392064-1394384;Ga;2204;59;99;99180;0.0998185117967332
0:1392064-1394384;Li;2204;59;1155;98323;1.1746997142072557
0:1392064-1394384;Mu;2204;59;679;98959;0.6861427459857112
0:1392064-1394384;all;2204;59;14910;1713457;0.87017065499747
0:1398632-1399624;Fa;992;1;164;44640;0.3673835125448029
0:1398632-1399624;Ga;992;1;9;44640;0.020161290322580645
0:1398632-1399624;Li;992;1;54;44640;0.12096774193548387
0:1398632-1399624;Mu;992;1;201;44640;0.45026881720430106
0:1398632-1399624;all;992;1;4220;773760;0.5453887510339124
0:1401398-1404687;Fa;3256;22;455;146520;0.31053781053781054
0:1401398-1404687;Ga;3256;22;0;145857;0.0
0:1401398-1404687;Li;3256;22;1054;144924;0.7272777455769921
0:1401398-1404687;Mu;3256;22;676;146520;0.4613704613704614
0:1401398-1404687;all;3256;22;13583;2526921;0.537531644242143
