GENE;POP;TOTAL_SITES;N_SITES;NUM_ALL;DENOM_ALL;PI_ALL
1000:157394-160449;Fa;2760;219;1298;111626;1.1628115313636609
1000:157394-160449;Ga;2797;182;1584;115762;1.368324666125326
1000:157394-160449;Li;2781;198;1020;110039;0.9269440834613183
1000:157394-160449;Mu;2556;423;984;112726;0.8729130812767241
1000:157394-160449;all;2803;176;21146;1933881;1.0934488730175227
1000:163223-165749;Fa;2444;73;1143;104512;1.0936543172075934
1000:163223-165749;Ga;2444;73;878;105962;0.8285989316924935
1000:163223-165749;Li;2444;73;885;105512;0.8387671544468875
1000:163223-165749;Mu;2444;73;897;109062;0.822467954007812
1000:163223-165749;all;2444;73;16675;1835808;0.9083193885199323
1002:12825-18580;Fa;5429;184;2339;240591;0.9721893171398764
1002:12825-18580;Ga;5429;184;2069;240950;0.8586843743515252
1002:12825-18580;Li;5429;184;1995;240205;0.8305405799213172
1002:12825-18580;Mu;5429;184;2111;241777;0.8731186175690823
1002:12825-18580;all;5429;184;37008;4172931;0.8868586612143838
1003:159295-160056;Fa;762;0;77;34290;0.22455526392534267
1003:159295-160056;Ga;762;0;97;34290;0.28288130650335375
1003:159295-160056;Li;762;0;79;34290;0.23038786818314377
1003:159295-160056;Mu;762;0;86;34290;0.25080198308544766
1003:159295-160056;all;762;0;1433;594360;0.2410996702335285
1003:267880-274845;Fa;6644;197;3061;295787;1.0348663058214187
1003:267880-274845;Ga;6644;197;2581;293928;0.8781062028796168
1003:267880-274845;Li;6644;197;2599;294648;0.8820694523634981
1003:267880-274845;Mu;6644;197;2489;293421;0.8482692104518763
1003:267880-274845;all;6644;197;47284;5100628;0.9270231038217255
1003:283103-339560;Fa;54303;1717;21187;2412930;0.8780611124234852
1003:283103-339560;Ga;54276;1744;17251;2406941;0.7167188560085187
1003:283103-339560;Li;54174;1846;15485;2403593;0.644243846607974
1003:283103-339560;Mu;54282;1738;16186;2414968;0.6702366242534062
1003:283103-339560;all;54306;1714;305149;41743748;0.7310052753288948
1003:350880-378508;Fa;27095;401;8220;1209106;0.6798411388248838
1003:350880-378508;Ga;27097;399;6067;1205120;0.5034353425385024
1003:350880-378508;Li;27059;437;5703;1201068;0.4748274036107864
1003:350880-378508;Mu;27064;432;5676;1205522;0.47083338172177697
1003:350880-378508;all;27099;397;110292;20881016;0.5281926894744968
1003:399881-404460;Fa;4506;52;1569;201871;0.7772290224945634
1003:399881-404460;Ga;4506;52;1014;200330;0.5061648280337443
1003:399881-404460;Li;4506;52;884;200959;0.43989072397852297
1003:399881-404460;Mu;4506;52;834;202404;0.41204719274322643
1003:399881-404460;all;4506;52;18729;3489780;0.5366813953888211
1003:406920-410930;Fa;3887;98;1773;170082;1.0424383532648958
1003:406920-410930;Ga;3887;98;1457;172269;0.8457702778793631
1003:406920-410930;Li;3887;98;1319;170056;0.7756268523309968
1003:406920-410930;Mu;3887;98;1265;170726;0.7409533404402375
1003:406920-410930;all;3887;98;25336;2956169;0.8570551954235364
1003:416835-462526;Fa;44439;929;14969;1970278;0.7597405036243616
1003:416835-462526;Ga;44433;935;11710;1964027;0.5962239826641894
1003:416835-462526;Li;44463;905;10870;1971453;0.5513699794009799
1003:416835-462526;Mu;44455;913;11321;1960332;0.5775042186731635
1003:416835-462526;all;44473;895;212130;34064942;0.6227223284278599
1003:73844-78532;Fa;4620;60;1778;206744;0.8600007739039586
1003:73844-78532;Ga;4620;60;1731;206795;0.8370608573708261
1003:73844-78532;Li;4620;60;1399;207237;0.6750725015320623
1003:73844-78532;Mu;4620;60;1232;207441;0.5939038087938258
1003:73844-78532;all;4620;60;26360;3588281;0.734613593528489
1003:83023-93491;Fa;10157;246;2497;452071;0.5523468658684145
1003:83023-93491;Ga;10158;245;2199;448176;0.4906554567848345
1003:83023-93491;Li;10158;245;1739;451803;0.3849022693519078
1003:83023-93491;Mu;10168;235;2091;450037;0.4646284638818586
1003:83023-93491;all;10207;196;36240;7805951;0.4642611771454881
1003:9837-60131;Fa;48726;1155;22411;2163620;1.03581035486823
1003:9837-60131;Ga;48757;1124;19494;2161683;0.9017973495651305
1003:9837-60131;Li;48764;1117;19371;2163852;0.8952090993284199
1003:9837-60131;Mu;48752;1129;18565;2164469;0.8577161419267266
1003:9837-60131;all;48766;1115;344995;37475876;0.9205788811981339
1004:945-28418;Fa;26902;425;8688;1170577;0.7421980783835664
1004:945-28418;Ga;26907;420;6127;1174047;0.5218700784551215
1004:945-28418;Li;26907;420;4959;1197277;0.414189865837229
1004:945-28418;Mu;26906;421;5978;1184318;0.5047630788352453
1004:945-28418;all;26907;420;113386;20454575;0.5543307548555764
1008:10075-18035;Fa;7608;186;4286;341675;1.2544084290627058
1008:10075-18035;Ga;7608;186;3524;336921;1.0459425206502415
1008:10075-18035;Li;7608;186;3348;341442;0.980547208603511
1008:10075-18035;Mu;7608;186;3673;340128;1.0798875717376988
1008:10075-18035;all;7608;186;64799;5892398;1.0997050776271393
1008:152996-154445;Fa;1417;29;677;63680;1.0631281407035176
1008:152996-154445;Ga;1417;29;516;63246;0.8158618726876008
1008:152996-154445;Li;1417;29;500;63041;0.7931346266715312
1008:152996-154445;Mu;1417;29;505;62379;0.8095673223360426
1008:152996-154445;all;1417;29;9552;1092810;0.8740769209652182
