GENE;POP;TOTAL_SITES;N_SITES;NUM_ALL;DENOM_ALL;PI_ALL
1000:392943-394541;Fa;1598;1;383;71587;0.5350133404109685
1000:392943-394541;Ga;1598;1;302;71553;0.422064763182536
1000:392943-394541;Li;1598;1;320;71876;0.4452111970616061
1000:392943-394541;Mu;1598;1;323;71808;0.4498106060606061
1000:392943-394541;all;1598;1;5710;1242744;0.4594671147074538
1000:419893-427529;Fa;7590;44;2015;340377;0.5919906456664228
1000:419893-427529;Ga;7590;44;1872;338735;0.5526443975378984
1000:419893-427529;Li;7590;44;2256;339090;0.6653100946651331
1000:419893-427529;Mu;7590;44;2060;339715;0.6063906509868566
1000:419893-427529;all;7590;44;35275;5883797;0.5995278219149981
1000:542746-545091;Fa;2321;19;1491;103476;1.4409138350921953
1000:542746-545091;Ga;2321;19;1304;104054;1.2531954562054317
1000:542746-545091;Li;2321;19;1119;104224;1.073649063555419
1000:542746-545091;Mu;2321;19;1316;104360;1.2610195477194328
1000:542746-545091;all;2321;19;22150;1802870;1.2285966264899855
1000:557905-558960;Fa;1055;1;300;47339;0.6337269481822598
1000:557905-558960;Ga;1055;1;296;47458;0.6237093851405453
1000:557905-558960;Li;1055;1;338;46064;0.7337617228204237
1000:557905-558960;Mu;1055;1;312;46642;0.6689250032159856
1000:557905-558960;all;1055;1;5434;812043;0.6691763859795602
1000:597292-605540;Fa;8168;67;2949;362037;0.8145576280877369
1000:597292-605540;Ga;8168;67;2555;343015;0.7448653848957043
1000:597292-605540;Li;8168;67;2759;336845;0.8190710861078537
1000:597292-605540;Mu;8168;67;2330;343053;0.6791953429936483
1000:597292-605540;all;8168;67;45203;5979234;0.755999848810065
1001:185845-189332;Fa;3314;114;1955;147927;1.3215978151385481
1001:185845-189332;Ga;3314;114;1750;147680;1.1849945828819068
1001:185845-189332;Li;3314;114;1683;148058;1.1367166921071472
1001:185845-189332;Mu;3314;114;1987;149096;1.3326983956645382
1001:185845-189332;all;3314;114;42441;2567709;1.6528742158866134
1002:634995-731515;Fa;93273;2282;42397;3939288;1.0762604815895664
1002:634995-731515;Ga;92378;3177;44814;3896744;1.1500370565785178
