GENE;POP1;POP2;TOTAL_SITES;N_SITES;NUM_ALL;DENOM_ALL;DXY_ALL
UIGZ01000001.1:1004685-1007029;Fa;Ga;2323;21;1300;228608;0.5686590145576708
UIGZ01000001.1:1004685-1007029;Fa;Li;2323;21;1274;228204;0.5582724229198437
UIGZ01000001.1:1004685-1007029;Fa;Mu;2323;21;1150;229528;0.5010281969955735
UIGZ01000001.1:1004685-1007029;Ga;Li;2323;21;1176;228168;0.5154096981171769
UIGZ01000001.1:1004685-1007029;Ga;Mu;2323;21;1202;229404;0.5239664521978693
UIGZ01000001.1:1004685-1007029;Li;Mu;2323;21;1142;228996;0.4986986672256284
UIGZ01000001.1:1097378-1101554;Fa;Ga;3625;548;670;336608;0.19904458598726116
UIGZ01000001.1:1097378-1101554;Fa;Li;3641;532;590;334888;0.17617830438833282
UIGZ01000001.1:1097378-1101554;Fa;Mu;3616;557;710;335856;0.21140012386260779
UIGZ01000001.1:1097378-1101554;Ga;Li;3664;509;578;340184;0.16990804976130564
UIGZ01000001.1:1097378-1101554;Ga;Mu;3649;524;692;340584;0.2031804195147159
UIGZ01000001.1:1097378-1101554;Li;Mu;3654;519;618;339512;0.18202596668159005
UIGZ01000001.1:1135011-1152338;Fa;Ga;16664;614;4406;1641372;0.26843396865549063
UIGZ01000001.1:1135011-1152338;Fa;Li;16660;618;4182;1636780;0.25550165568983
UIGZ01000001.1:1135011-1152338;Fa;Mu;16664;614;4164;1640636;0.2538040125902394
UIGZ01000001.1:1135011-1152338;Ga;Li;16660;618;4360;1635808;0.2665349478667423
UIGZ01000001.1:1135011-1152338;Ga;Mu;16664;614;4376;1639168;0.2669647040449789
UIGZ01000001.1:1135011-1152338;Li;Mu;16660;618;4174;1634616;0.25535049210334415
UIGZ01000001.1:1155128-1161575;Fa;Ga;6392;49;2258;629296;0.3588136584373649
UIGZ01000001.1:1155128-1161575;Fa;Li;6394;47;2272;631204;0.3599470218819906
UIGZ01000001.1:1155128-1161575;Fa;Mu;6397;44;2206;629760;0.35029217479674796
UIGZ01000001.1:1155128-1161575;Ga;Li;6383;58;2186;633348;0.345149901791748
UIGZ01000001.1:1155128-1161575;Ga;Mu;6382;59;2150;631728;0.34033634728870654
UIGZ01000001.1:1155128-1161575;Li;Mu;6388;53;2124;633628;0.33521245904537045
UIGZ01000001.1:1207938-1214950;Fa;Ga;6893;81;2168;673504;0.32189860787760727
UIGZ01000001.1:1207938-1214950;Fa;Li;6893;81;2094;678116;0.3087967250440927
UIGZ01000001.1:1207938-1214950;Fa;Mu;6894;80;2050;680320;0.3013287864534337
UIGZ01000001.1:1207938-1214950;Ga;Li;6892;82;2190;675132;0.3243810099358348
UIGZ01000001.1:1207938-1214950;Ga;Mu;6893;81;2134;677320;0.31506525719010214
UIGZ01000001.1:1207938-1214950;Li;Mu;6893;81;2062;681932;0.30237619000134913
UIGZ01000001.1:1244635-1246977;Fa;Ga;2280;48;2040;220204;0.9264136891246298
UIGZ01000001.1:1244635-1246977;Fa;Li;2280;48;2098;224648;0.9339054876963071
UIGZ01000001.1:1244635-1246977;Fa;Mu;2280;48;2066;220604;0.9365197367228155
UIGZ01000001.1:1244635-1246977;Ga;Li;2280;48;1970;222272;0.8863014684710625
