GENE;POP1;POP2;TOTAL_SITES;N_SITES;NUM_ALL;DENOM_ALL;DXY_ALL
1001:33847-34830;Fa;Ga;984;0;160;98240;0.16286644951140064
1001:33847-34830;Fa;Li;984;0;420;98240;0.42752442996742673
1001:33847-34830;Fa;Mu;984;0;410;98320;0.41700569568755086
1001:33847-34830;Ga;Li;984;0;470;98200;0.4786150712830957
1001:33847-34830;Ga;Mu;984;0;460;98280;0.46805046805046807
1001:33847-34830;Li;Mu;984;0;166;98280;0.1689051689051689
1003:18983-37527;Fa;Ga;13180;5284;7302;1257496;0.5806777914204101
1003:18983-37527;Fa;Li;13237;5227;16746;1283280;1.304937348045633
1003:18983-37527;Fa;Mu;13247;5217;16358;1278232;1.2797363858830009
1003:18983-37527;Ga;Li;13174;5290;16286;1263220;1.2892449454568484
1003:18983-37527;Ga;Mu;13180;5284;15900;1259328;1.2625781369111144
1003:18983-37527;Li;Mu;13235;5229;6616;1285800;0.5145434748794525
1003:2877-17692;Fa;Ga;14030;717;8670;1377472;0.6294138828230266
1003:2877-17692;Fa;Li;14040;707;19000;1374432;1.382389234243673
1003:2877-17692;Fa;Mu;14040;707;19016;1377284;1.380688369283314
1003:2877-17692;Ga;Li;14050;697;18722;1373144;1.3634403966372064
1003:2877-17692;Ga;Mu;14050;697;18716;1375928;1.3602455942462106
1003:2877-17692;Li;Mu;14103;644;8466;1377280;0.6146898234200744
1004:287-6857;Fa;Ga;6360;161;3750;598440;0.6266292360136354
1004:287-6857;Fa;Li;6354;167;6054;611084;0.9906984964423876
1004:287-6857;Fa;Mu;6369;152;6130;612568;1.0007052278277677
1004:287-6857;Ga;Li;6378;143;6052;599148;1.0101010101010102
1004:287-6857;Ga;Mu;6391;130;5974;600280;0.9952022389551543
1004:287-6857;Li;Mu;6404;117;3882;616096;0.6300966083207812
1004:59241-73242;Fa;Ga;13767;185;5194;1308020;0.3970887295301295
1004:59241-73242;Fa;Li;13774;178;9186;1315796;0.6981325372626151
1004:59241-73242;Fa;Mu;13750;202;9120;1315920;0.6930512493160679
1004:59241-73242;Ga;Li;13773;179;9108;1311008;0.6947326026996021
1004:59241-73242;Ga;Mu;13757;195;8912;1310780;0.6799005172492715
1004:59241-73242;Li;Mu;13771;181;5954;1328688;0.44811121948869864
1009:42964-48867;Fa;Ga;5846;49;1892;576080;0.32842660741563673
1009:42964-48867;Fa;Li;5846;49;4904;573892;0.8545161807448092
1009:42964-48867;Fa;Mu;5842;53;4888;577152;0.8469172765579951
1009:42964-48867;Ga;Li;5846;49;4990;573464;0.870150523834103
1009:42964-48867;Ga;Mu;5842;53;4966;576668;0.8611540782564665
1009:42964-48867;Li;Mu;5842;53;1762;575032;0.30641772979590703
1015:7110-14621;Fa;Ga;7442;63;1302;728104;0.17882060804500455
1015:7110-14621;Fa;Li;7442;63;5002;731904;0.6834229625743267
1015:7110-14621;Fa;Mu;7433;72;4760;730972;0.6511877335930788
1015:7110-14621;Ga;Li;7459;46;4904;724644;0.6767460987740187
1015:7110-14621;Ga;Mu;7433;72;4666;723580;0.6448492219243207
1015:7110-14621;Li;Mu;7433;72;1756;727064;0.24151931604370455
1019:2566-25660;Fa;Ga;22839;143;4352;2265728;0.1920795435286142
1019:2566-25660;Fa;Li;22835;147;16476;2259772;0.7291001039042877
1019:2566-25660;Fa;Mu;22829;153;16258;2262096;0.7187139714671703
1019:2566-25660;Ga;Li;22846;136;16436;2252000;0.7298401420959147
1019:2566-25660;Ga;Mu;22840;142;16212;2254324;0.7191512843761589
1019:2566-25660;Li;Mu;22846;136;3952;2252676;0.1754357928081979
1019:29805-78067;Fa;Ga;47114;965;13512;4588320;0.2944868710116121
1019:29805-78067;Fa;Li;47171;908;48658;4615528;1.0542239154436936
1019:29805-78067;Fa;Mu;47161;918;48356;4630232;1.0443537170491672
1019:29805-78067;Ga;Li;47127;952;48526;4579980;1.0595242773985913
