GENE;POP1;POP2;TOTAL_SITES;N_SITES;NUM_ALL;DENOM_ALL;DXY_ALL
LG10:10227151-10229561;Fa;Ga;2399;12;216;238304;0.09064052638646435
LG10:10231500-10234712;Fa;Ga;3210;3;930;320612;0.2900702406647287
LG10:10227151-10229561;Fa;Li;2406;5;236;238108;0.09911468745275254
LG10:10378987-10382313;Fa;Ga;3306;18;838;326588;0.2565924038850172
LG10:10227151-10229561;Fa;Mu;2400;11;202;140388;0.14388694190386642
LG10:10415848-10418948;Fa;Ga;3098;3;726;309700;0.2344204068453342
LG10:10231500-10234712;Fa;Li;3210;3;888;320512;0.2770567092651757
LG10:10322110-10329024;Fa;Ga;6895;11;616;688820;0.08942829766847653
LG10:10227151-10229561;Ga;Li;2399;12;60;237416;0.025272096236142468
LG10:10378987-10382313;Fa;Li;3306;18;618;328020;0.18840314614962503
LG10:10415848-10418948;Fa;Li;3098;3;564;309700;0.18211172102034226
LG10:10231500-10234712;Fa;Mu;3210;3;552;192088;0.2873682895339636
LG10:10227151-10229561;Ga;Mu;2395;16;122;140124;0.08706574177157375
LG10:10415848-10418948;Fa;Mu;3098;3;428;185568;0.23064321434730126
LG10:10378987-10382313;Fa;Mu;3306;18;428;194768;0.21974862400394315
LG10:10231500-10234712;Ga;Li;3210;3;912;320776;0.28431054692371
LG10:10227151-10229561;Li;Mu;2401;10;120;139860;0.0858000858000858
LG10:10415848-10418948;Ga;Li;3098;3;736;309640;0.23769538819273994
LG10:10322110-10329024;Fa;Li;6895;11;1206;688316;0.17521022321143195
LG10:10378987-10382313;Ga;Li;3306;18;720;328132;0.21942389038557653
LG10:10231500-10234712;Ga;Mu;3210;3;596;192232;0.3100420325440093
LG10:10724390-10726162;Fa;Ga;1771;2;90;177024;0.05084056399132321
LG10:10415848-10418948;Ga;Mu;3098;3;536;185532;0.2888989500463532
LG10:10724390-10726162;Fa;Li;1771;2;194;176984;0.10961442842290829
LG10:10378987-10382313;Ga;Mu;3306;18;482;194828;0.24739770464204325
LG10:10231500-10234712;Li;Mu;3210;3;524;192172;0.27267239764377743
LG10:10724390-10726162;Fa;Mu;1771;2;82;105416;0.07778705319875541
LG10:10415848-10418948;Li;Mu;3098;3;314;185532;0.16924304163163228
LG10:10724390-10726162;Ga;Li;1771;2;240;176980;0.1356085433382303
LG10:10378987-10382313;Li;Mu;3306;18;330;195644;0.16867371347958537
LG10:10322110-10329024;Fa;Mu;6895;11;704;412376;0.17071798552777076
