GENE;POP;TOTAL_SITES;N_SITES;NUM_ALL;DENOM_ALL;PI_ALL
0:10135082-10140288;Fa;5167;22;345;229110;0.15058268953777662
0:10135082-10140288;Ga;5167;22;581;248804;0.2335171460265912
0:10135082-10140288;Li;5174;15;476;229436;0.20746526264404888
0:10135082-10140288;Mu;5174;15;318;229504;0.13855967651979922
0:10135082-10140288;all;5174;15;7728;4042850;0.19115228118777594
0:10142745-10150681;Fa;7914;20;320;354350;0.0903061944405249
0:10142745-10150681;Ga;7914;20;536;414795;0.12922045829867765
0:10142745-10150681;Li;7914;20;443;355314;0.12467845342429514
0:10142745-10150681;Mu;7914;20;628;355564;0.17662080525587517
0:10142745-10150681;all;7914;20;10023;6374023;0.1572476283816359
0:10565647-10583829;Fa;17993;93;368;803597;0.045794098285583444
0:10565647-10583829;Ga;18006;80;842;883762;0.09527451961048336
0:10565647-10583829;Li;17987;99;430;805725;0.053368084644264485
0:10565647-10583829;Mu;18004;82;691;803060;0.08604587452992304
0:10565647-10583829;all;18024;62;11389;14220692;0.08008752316694574
0:10599030-10606906;Fa;7847;14;283;348532;0.081197709249079
0:10599030-10606906;Ga;7848;13;384;337892;0.11364578030850093
0:10599030-10606906;Li;7848;13;418;349674;0.11953991432019538
0:10599030-10606906;Mu;7848;13;358;346142;0.103425761681622
0:10599030-10606906;all;7848;13;6171;5969096;0.10338248873866328
0:1062946-1067413;Fa;4433;13;48;199254;0.024089855159745852
0:1062946-1067413;Ga;4438;8;344;225119;0.15280807039832267
0:1062946-1067413;Li;4438;8;247;199608;0.12374253536932388
0:1062946-1067413;Mu;4438;8;387;199122;0.1943532105945099
0:1062946-1067413;all;4438;8;5536;3548667;0.15600223971423635
0:10631780-10646557;Fa;14548;198;1041;639984;0.1626603165079127
0:10631780-10646557;Ga;14184;562;1056;630051;0.16760547955641686
0:10631780-10646557;Li;14182;564;436;632236;0.06896159029223264
0:10631780-10646557;Mu;14190;556;867;627905;0.13807821246844665
0:10631780-10646557;all;14572;174;15810;10909084;0.14492509178589147
0:10650901-10654326;Fa;3411;10;67;153388;0.04368007927608418
0:10650901-10654326;Ga;3411;10;97;177987;0.05449836223993887
0:10650901-10654326;Li;3411;10;126;153495;0.08208736440926415
0:10650901-10654326;Mu;3411;10;117;153461;0.07624086901558051
0:10650901-10654326;all;3411;10;1983;2752563;0.07204194781372851
0:10683624-10737684;Fa;53743;118;1457;2407239;0.06052577247211432
0:10683624-10737684;Ga;53754;107;2608;2613261;0.09979868065225785
0:10683624-10737684;Li;53753;108;1961;2412685;0.08127874131931852
0:10683624-10737684;Mu;53751;110;1749;2396433;0.07298347168479152
0:10683624-10737684;all;53755;106;36735;42449386;0.08653835417077646
0:10742534-10750403;Fa;7800;53;470;347417;0.13528411102507937
0:10742534-10750403;Ga;7823;30;730;373348;0.1955280328272818
0:10742534-10750403;Li;7820;33;448;350448;0.1278363694471077
0:10742534-10750403;Mu;7823;30;556;341142;0.16298198404183595
0:10742534-10750403;all;7823;30;9984;6085919;0.16405081960505882
0:10962426-11021505;Fa;58599;360;1934;2593695;0.0745654365682935
0:10962426-11021505;Ga;58593;366;3163;2618567;0.12079125720288998
0:10962426-11021505;Li;58592;367;2832;2590634;0.10931686992450497
0:10962426-11021505;Mu;58630;329;3169;2579894;0.1228345040532673
0:10962426-11021505;all;58683;276;56066;44813258;0.1251102966001713
0:11043588-11070069;Fa;26209;174;62;1162894;0.005331526347199315
0:11043588-11070069;Ga;26239;144;1194;1227301;0.09728664769278278
0:11043588-11070069;Li;26231;152;1456;1166120;0.12485850512811718
0:11043588-11070069;Mu;26233;150;1127;1159329;0.09721140418293685
0:11043588-11070069;all;26262;121;21631;20347520;0.10630779574120089
0:11093459-11097725;Fa;4236;7;27;189158;0.01427378170629844
0:11093459-11097725;Ga;4236;7;75;229862;0.03262827261574336
0:11093459-11097725;Li;4236;7;111;190458;0.05828056579403333
0:11093459-11097725;Mu;4236;7;18;190501;0.009448769297798962
0:11093459-11097725;all;4236;7;1007;3442879;0.029248776968345387
0:11122226-11123382;Fa;1155;2;69;51941;0.13284303344178972
0:11122226-11123382;Ga;1155;2;50;55573;0.08997174887085455
0:11122226-11123382;Li;1155;2;32;51975;0.06156806156806157
0:11122226-11123382;Mu;1155;2;82;51822;0.15823395469105786
0:11122226-11123382;all;1155;2;1169;913855;0.12791963714155966
0:11136999-11147680;Fa;10217;446;448;452458;0.09901471517798337
0:11136999-11147680;Ga;10220;443;546;489570;0.11152644157117471
0:11136999-11147680;Li;10221;442;357;458155;0.07792122753216706
0:11136999-11147680;Mu;10220;443;467;453558;0.10296367829472747
0:11136999-11147680;all;10222;441;9326;7989681;0.11672556138348952
0:11534848-11548079;Fa;13023;194;488;546196;0.08934521673538437
0:11534848-11548079;Ga;12449;768;710;555628;0.1277833370528483
0:11534848-11548079;Li;12574;643;393;512141;0.07673667993775152
0:11534848-11548079;Mu;12909;308;381;542987;0.07016742573947443
0:11534848-11548079;all;13190;27;10438;9224832;0.11315111212865449
0:11542990-11545460;Fa;2455;8;131;108066;0.1212222160531527
0:11542990-11545460;Ga;2455;8;98;111494;0.08789710657075717
0:11542990-11545460;Li;2455;8;100;108734;0.09196755384700278
0:11542990-11545460;Mu;2455;8;77;109216;0.07050249047758571
0:11542990-11545460;all;2455;8;1808;1893206;0.09549938041607728
0:11599018-11606077;Fa;5803;1246;69;247609;0.02786651535283451
0:11599018-11606077;Ga;6467;582;376;255583;0.14711463594996538
0:11599018-11606077;Li;6635;414;414;273681;0.15127100529448517
0:11599018-11606077;Mu;6438;611;673;255088;0.2638305212318886
0:11599018-11606077;all;6650;399;8772;4402397;0.19925508762612731
0:1173606-1176577;Fa;2965;5;120;133092;0.0901631953836444
0:1173606-1176577;Ga;2965;5;241;142368;0.16927961339626882
0:1173606-1176577;Li;2965;5;124;133425;0.09293610642683155
0:1173606-1176577;Mu;2965;5;196;131215;0.14937316617764737
0:1173606-1176577;all;2965;5;2969;2333200;0.12725012857877593
0:11800190-11806018;Fa;5801;17;378;259367;0.14573943485485819
0:11800190-11806018;Ga;5803;15;489;272397;0.17951739556603047
0:11800190-11806018;Li;5803;15;359;260965;0.1375663403138352
0:11800190-11806018;Mu;5803;15;437;260137;0.16798840610908866
0:11800190-11806018;all;5803;15;7903;4550434;0.17367574169848415
0:12381892-12392209;Fa;10263;37;382;458547;0.08330661851456884
0:12381892-12392209;Ga;10265;35;446;468621;0.09517285823725356
0:12381892-12392209;Li;10263;37;448;460819;0.097218213658725
0:12381892-12392209;Mu;10266;34;451;459427;0.09816575865153768
0:12381892-12392209;all;10267;33;9069;7985370;0.1135701914876831
0:12489714-12521996;Fa;31904;233;1700;1404364;0.12105123742847296
0:12489714-12521996;Ga;31903;234;1101;1394068;0.07897749607623157
0:12489714-12521996;Li;31912;225;1314;1419852;0.09254485678789057
0:12489714-12521996;Mu;31903;234;1823;1408052;0.12946965026859802
0:12489714-12521996;all;31924;213;32560;24304912;0.13396468993592736
0:12599884-12606579;Fa;6644;41;461;296498;0.1554816558627714
0:12599884-12606579;Ga;6646;39;230;318456;0.0722234782827141
0:12599884-12606579;Li;6639;46;473;296256;0.15965921365305683
0:12599884-12606579;Mu;6643;42;398;292239;0.13618989936319245
0:12599884-12606579;all;6652;33;7792;5190265;0.15012720930434187
0:12615096-12616543;Fa;1445;3;48;65025;0.07381776239907728
0:12615096-12616543;Ga;1445;3;87;84325;0.10317225022235399
0:12615096-12616543;Li;1445;3;95;65025;0.14609765474817377
0:12615096-12616543;Mu;1445;3;57;65025;0.08765859284890427
0:12615096-12616543;all;1445;3;1397;1201120;0.11630811242840015
