GENE;POP;TOTAL_SITES;N_SITES;NUM_ALL;DENOM_ALL;PI_ALL
100:1002760-1006951;Fa;4114;40;1076;169393;0.6352092471353598
100:1002760-1006951;Ga;4105;49;1025;178948;0.5727920960278964
100:1002760-1006951;Li;4114;40;1310;183496;0.7139120198805423
100:1002760-1006951;Mu;4106;48;1451;182060;0.7969900032956169
100:1002760-1006951;all;4114;40;20416;3089553;0.6608075666609377
100:1154745-1159094;Fa;4186;69;1637;163969;0.9983594459928401
100:1154745-1159094;Ga;4168;87;1778;182371;0.9749357079798872
100:1154745-1159094;Li;4165;90;934;183826;0.508089171281538
100:1154745-1159094;Mu;4170;85;1725;184215;0.936405830144125
100:1154745-1159094;all;4186;69;27082;3089237;0.8766565983768808
100:1163550-1166443;Fa;2874;16;360;105651;0.3407445267910384
100:1163550-1166443;Ga;2874;16;965;128458;0.7512182970309362
100:1163550-1166443;Li;2874;16;363;129262;0.2808249911033405
100:1163550-1166443;Mu;2874;16;600;129194;0.4644178522222394
100:1163550-1166443;all;2874;16;10144;2128765;0.47652042381380755
100:1211319-1214793;Fa;3403;71;1590;143198;1.110350703222112
100:1211319-1214793;Ga;3420;54;1289;143669;0.8972012055488658
100:1211319-1214793;Li;3431;43;305;151569;0.2012284833970007
100:1211319-1214793;Mu;3412;62;1312;150137;0.8738685334061557
100:1211319-1214793;all;3438;36;19870;2546909;0.7801613642262052
100:1284624-1286750;Fa;2124;3;441;95257;0.4629581028165909
100:1284624-1286750;Ga;2124;3;487;94955;0.5128745195092412
100:1284624-1286750;Li;2124;3;332;95580;0.34735300272023434
100:1284624-1286750;Mu;2124;3;380;95512;0.3978557668146411
100:1284624-1286750;all;2124;3;7352;1652104;0.4450083045619404
100:1301610-1303872;Fa;2229;27;831;85289;0.9743343221282932
100:1301610-1303872;Ga;2229;27;1020;99472;1.0254141869068683
100:1301610-1303872;Li;2229;27;772;99292;0.777504733513274
100:1301610-1303872;Mu;2229;27;968;99880;0.9691629955947136
100:1301610-1303872;all;2229;27;15469;1660533;0.9315683578706355
100:1305792-1308923;Fa;3015;64;1607;115754;1.3882889576170154
100:1305792-1308923;Ga;3018;61;2162;132525;1.63139030371628
100:1305792-1308923;Li;3026;53;1955;131651;1.4849868212167017
100:1305792-1308923;Mu;3026;53;1908;131307;1.4530832324247756
100:1305792-1308923;all;3026;53;32822;2210665;1.4847116139261263
100:1323384-1332797;Fa;9214;141;4079;377532;1.0804382145089688
100:1323384-1332797;Ga;9171;184;4370;397656;1.098939787152715
100:1323384-1332797;Li;9214;141;4031;408541;0.986681875258542
100:1323384-1332797;Mu;9214;141;4751;408675;1.1625374686486818
100:1323384-1332797;all;9214;141;74053;6890144;1.0747670875964277
100:1339970-1348860;Fa;8675;139;5352;348336;1.5364475678655092
100:1339970-1348860;Ga;8675;139;5601;385703;1.4521536000497792
100:1339970-1348860;Li;8675;139;4424;389894;1.1346673711316408
100:1339970-1348860;Mu;8675;139;5329;389141;1.369426506073634
100:1339970-1348860;all;8675;139;90844;6547334;1.387496040373074
100:1352043-1356966;Fa;4759;87;1342;195991;0.6847253190197509
100:1352043-1356966;Ga;4719;127;1800;203083;0.8863371133969855
100:1352043-1356966;Li;4759;87;1491;211951;0.7034644799977353
100:1352043-1356966;Mu;4759;87;1945;210333;0.9247241279304722
100:1352043-1356966;all;4759;87;28140;3551078;0.7924354238346778
100:1420064-1432377;Fa;11893;279;7347;499235;1.4716516269892936
