CHROM,START,END,Li_Mu_fst_wc,Li_Fa_fst_wc,Li_Ga_fst_wc,Mu_Fa_fst_wc,Mu_Ga_fst_wc,Fa_Ga_fst_wc,Li_Mu_fst_hudson,Li_Fa_fst_hudson,Li_Ga_fst_hudson,Mu_Fa_fst_hudson,Mu_Ga_fst_hudson,Fa_Ga_fst_hudson,f3_Li_Mu_Fa_snp,f3_Li_Mu_Ga_snp,f3_Li_Fa_Ga_snp,f3_Mu_Li_Fa_snp,f3_Mu_Li_Ga_snp,f3_Mu_Fa_Ga_snp,f3_Fa_Li_Mu_snp,f3_Fa_Li_Ga_snp,f3_Fa_Mu_Ga_snp,f3_Ga_Li_Mu_snp,f3_Ga_Li_Fa_snp,f3_Ga_Mu_Fa_snp
CM030046.1,1001,51000,0.0,0.2997988865899437,0.10956969204668397,0.0,0.0,-0.05905098462810479,,0.340933281937314,0.1391351581622385,,,0.00788959349075345,0.0,0.0,0.5020208215477339,,,,0.0,0.12638257621363846,0.0,0.0,-0.09584200849201636,0.0
CM030046.1,51000,101000,0.0,0.29573332088050663,0.0935618208126042,0.0,0.0,-0.09119903597442557,,0.41926218252603875,0.19855040829568363,,,0.05793948194115473,0.0,0.0,0.9441786545865333,,,,0.0,0.1558107188329628,0.0,0.0,-0.10781812379351126,0.0
CM030046.1,101000,151000,0.0,0.3185236013983932,0.08444912802178926,0.0,0.0,-0.14090738942296996,,0.3394393853071417,0.15675605543346963,,,0.0016961929890689713,0.0,0.0,0.7161630481745529,,,,0.0,0.10720121854584493,0.0,0.0,-0.10061678801573332,0.0
CM030046.1,151000,201000,0.0,0.3853430621210314,0.12816168634194922,0.0,0.0,-0.11653126464948667,,0.4681389990713826,0.3085716427420257,,,0.06228656522566726,0.0,0.0,1.4237817414514529,,,,0.0,0.17790516195363176,0.0,0.0,-0.12065705316277418,0.0
CM030046.1,201000,251000,0.0,0.3428055644170133,0.17815876635924827,0.0,0.0,-0.08225932150212038,,0.4153495538885957,0.24312779629186435,,,0.031059043419670106,0.0,0.0,1.3808618155090058,,,,0.0,0.11280854120412699,0.0,0.0,-0.0622742790835945,0.0
CM030046.1,251000,301000,0.0,0.23931139478484872,0.045122021250878844,0.0,0.0,-0.07325335190364153,,0.3399088650983427,0.21025608300162987,,,0.09850629875385117,0.0,0.0,0.5256591255166424,,,,0.0,0.10688784414677786,0.0,0.0,-0.041022051755834864,0.0
CM030046.1,301000,351000,0.0,0.29842760195777734,0.0946838499084486,0.0,0.0,-0.148585113732817,,0.44880628300423736,0.28637776970453693,,,0.0931390660390999,0.0,0.0,1.5783962058438745,,,,0.0,0.14833330070094378,0.0,0.0,-0.04686853085780818,0.0
CM030046.1,351000,401000,0.0,0.16402962289002906,0.05995214437100683,0.0,0.0,-0.1391230284351159,,0.35107224981756163,0.30098935830833645,,,0.08010692756837332,0.0,0.0,0.6489319431714021,,,,0.0,0.07566735415438991,0.0,0.0,0.002002226987792812,0.0
CM030046.1,401000,451000,0.0,0.20969675985709982,0.06422931681808414,0.0,0.0,-0.1316602699592583,,0.3141033044849708,0.19559207753898042,,,0.008130006605802624,0.0,0.0,0.5479778591771617,,,,0.0,0.05699298347181577,0.0,0.0,-0.05930025872957653,0.0
CM030046.1,451000,501000,0.0,0.2379176323973307,0.11986779231990878,0.0,0.0,-0.12116041444931286,,0.29514754280417715,0.17301438320830348,,,-0.007277227629802295,0.0,0.0,0.6265969836713585,,,,0.0,0.0466566025934035,0.0,0.0,-0.052653688382599366,0.0
CM030046.1,501000,551000,0.0,0.19946085064465785,0.11746811026683282,0.0,0.0,-0.19092576344758402,,0.2670455681877562,0.2139591163652326,,,-0.04098138526063266,0.0,0.0,0.5251233704058348,,,,0.0,0.016590509458212787,0.0,0.0,-0.04303425902263099,0.0
CM030046.1,551000,601000,0.0,0.19428727242529964,0.1477645730458315,0.0,0.0,-0.18451392330512034,,0.322355214606395,0.24609353806087575,,,0.03658924594336627,0.0,0.0,0.6050003585771658,,,,0.0,0.03963794820717129,0.0,0.0,-0.017073483690394374,0.0
CM030046.1,601000,651000,0.0,0.3758046990518139,0.14597963281159623,0.0,0.0,-0.11636631859437611,,0.43634806529836273,0.20977584960231385,,,0.03494549907924922,0.0,0.0,0.8919840559711958,,,,0.0,0.160504504007335,0.0,0.0,-0.10643804219242879,0.0
CM030046.1,651000,701000,0.0,0.38023203029288805,0.1967838371911742,0.0,0.0,-0.1268001795303194,,0.46384073490389416,0.27866061911288087,,,-0.014951049425063007,0.0,0.0,2.601245787193068,,,,0.0,0.0998566769653277,0.0,0.0,-0.11804832939559949,0.0
CM030046.1,701000,751000,0.0,0.12036515413781297,0.105885518655317,0.0,0.0,-0.10062436980405162,,0.18439094754264346,0.14773404775443205,,,-0.025738962980911762,0.0,0.0,0.247126354861375,,,,0.0,0.008703019400536043,0.0,0.0,-0.03188630221374355,0.0
CM030046.1,751000,801000,0.0,0.11891263161196301,0.12268251715488064,0.0,0.0,-0.08032255724420176,,0.31252129532777567,0.28860359688434273,,,0.04620419085407152,0.0,0.0,0.5476124513211881,,,,0.0,0.029191067612803493,0.0,0.0,0.0081447050628544,0.0
CM030046.1,801000,851000,0.0,0.2676833761402405,0.12784256528543417,0.0,0.0,-0.10721894936106371,,0.3094380219708871,0.16467748523896203,,,0.004982519404560353,0.0,0.0,0.5091922916012982,,,,0.0,0.08617530727786528,0.0,0.0,-0.0713931194449084,0.0
CM030046.1,851000,901000,0.0,0.34577244722171036,0.16757507262017773,0.0,0.0,-0.03136900116998448,,0.4311840666409366,0.28214869871235787,,,0.06917436433110094,0.0,0.0,0.8735854769869648,,,,0.0,0.15107505046454994,0.0,0.0,-0.09071822862269344,0.0
CM030046.1,901000,951000,0.0,0.2516559331040095,0.08597957327835778,0.0,0.0,-0.1129947418396701,,0.3608909281570123,0.19802303336557261,,,0.04004892673781147,0.0,0.0,0.5798404000900345,,,,0.0,0.12277317238870968,0.0,0.0,-0.0710258610123788,0.0
CM030046.1,951000,1001000,0.0,0.16901868054350533,0.08315458361823289,0.0,0.0,-0.13005039888045758,,0.2807791315638489,0.2205632567433666,,,0.033878305728984356,0.0,0.0,0.4460721456057747,,,,0.0,0.04660249801354082,0.0,0.0,-0.013230494433762912,0.0
CM030046.1,1001000,1051000,0.0,0.09656943128413077,0.041239064437760854,0.0,0.0,-0.15092216181766943,,0.21375168048309104,0.1682948036191996,,,-0.02322938570981169,0.0,0.0,0.30903889269477486,,,,0.0,0.014163016385029967,0.0,0.0,-0.03192497783873289,0.0
CM030046.1,1051000,1101000,0.0,0.07700826589189562,-0.02392597909495981,0.0,0.0,-0.1649574468762713,,0.134891092989133,0.05855465363700837,,,-0.022032344277325904,0.0,0.0,0.138181145991277,,,,0.0,0.019987791996398264,0.0,0.0,-0.04733383644720006,0.0
CM030046.1,1101000,1151000,0.0,0.0550487899180886,0.06478310889432248,0.0,0.0,-0.12153184950069874,,0.09721053694936653,0.10196374843801374,,,-0.03263802644028089,0.0,0.0,0.12685355344644006,,,,0.0,-0.018394922323429274,0.0,0.0,-0.014543229952848537,0.0
CM030046.1,1151000,1201000,0.0,0.1994051787220861,0.16104422002664048,0.0,0.0,-0.20373589601775388,,0.23510999926219428,0.19517410553828368,,,-0.002602838972817715,0.0,0.0,0.29585085968226776,,,,0.0,0.019310545177826856,0.0,0.0,-0.02823153391216812,0.0
CM030046.1,1201000,1251000,0.0,0.4841565449095426,0.4844428230088401,0.0,0.0,-0.1206530971441408,,0.507356899280122,0.55248815204522,,,0.10899013154176292,0.0,0.0,1.0709876888119043,,,,0.0,0.046453768895497106,0.0,0.0,0.08550034752707052,0.0
CM030046.1,1251000,1301000,0.0,0.6540744250504629,0.655488770719871,0.0,0.0,-0.09561220549363025,,0.8162369458851072,0.8239284390330807,,,0.3932282462712937,0.0,0.0,4.393448129500616,,,,0.0,0.047917843026538745,0.0,0.0,0.3437658820382507,0.0
CM030046.1,1301000,1351000,0.0,0.22390815990655877,0.23340378997857242,0.0,0.0,-0.1975717437646216,,0.34467295758153543,0.3265014696208958,,,-0.0046361257537260135,0.0,0.0,0.7554862794531177,,,,0.0,-0.009425776391384193,0.0,0.0,0.002295277568450166,0.0
CM030046.1,1351000,1401000,0.0,0.14310665269453365,-0.004155199148047328,0.0,0.0,-0.10776648667235246,,0.18821061824607194,0.08041815196058781,,,0.02652669361509393,0.0,0.0,0.1457030879000852,,,,0.0,0.07935954047501861,0.0,0.0,-0.05041690789639277,0.0
CM030046.1,1401000,1451000,0.0,0.03389492198753176,-0.018956753420690045,0.0,0.0,0.013177684803545415,,0.0569529766558696,0.02022755069572838,,,0.06744225924313782,0.0,0.0,0.003843316152631127,,,,0.0,0.05661598323743727,0.0,0.0,0.01177397909481058,0.0
