GENE;POP1;POP2;TOTAL_SITES;N_SITES;NUM_ALL;DENOM_ALL;DXY_ALL
102:54819-57344;Fa;Ga;2485;14;2594;246932;1.050491633324154
102:54819-57344;Fa;Li;2485;14;2162;246068;0.8786189183477738
102:54819-57344;Fa;Mu;2485;14;2652;238228;1.1132192689356415
102:54819-57344;Ga;Li;2485;14;1924;245636;0.7832728101744044
102:54819-57344;Ga;Mu;2485;14;386;237816;0.16231035758737847
102:54819-57344;Li;Mu;2485;14;1964;236860;0.8291817951532551
106112:122-1201;Fa;Ga;1041;20;1742;92792;1.8773170100870764
106112:122-1201;Fa;Li;1041;20;1326;98944;1.3401520051746443
106112:122-1201;Fa;Mu;1041;20;1914;96220;1.9891914362918313
106112:122-1201;Ga;Li;1041;20;1180;94384;1.2502119003220884
106112:122-1201;Ga;Mu;1041;20;266;91892;0.28947024768206153
106112:122-1201;Li;Mu;1041;20;1306;98076;1.3316203760349117
106112:6735-10778;Fa;Ga;3886;69;11178;363876;3.071925601028922
106112:6735-10778;Fa;Li;3886;69;7872;366928;2.145380020058431
106112:6735-10778;Fa;Mu;3886;69;11402;351224;3.2463612964945447
106112:6735-10778;Ga;Li;3886;69;7394;372436;1.9853075427724496
106112:6735-10778;Ga;Mu;3886;69;4274;358196;1.1932014874537962
106112:6735-10778;Li;Mu;3886;69;7844;359148;2.1840578257431478
112:32540-36163;Fa;Ga;3075;461;8220;299092;2.748318243216134
112:32540-36163;Fa;Li;3075;461;5808;296292;1.960228423312138
112:32540-36163;Fa;Mu;3075;461;7872;296252;2.657197250989023
112:32540-36163;Ga;Li;3450;86;5776;315112;1.832999060651451
112:32540-36163;Ga;Mu;3450;86;1096;334104;0.3280415678950267
112:32540-36163;Li;Mu;3450;86;5494;312332;1.7590256521906176
124:149-30164;Fa;Ga;22195;6912;43480;1510540;2.8784408224873226
124:149-30164;Fa;Li;22158;6949;30622;1366740;2.2405139236431215
124:149-30164;Fa;Mu;21931;7176;41756;1416508;2.947812507942066
124:149-30164;Ga;Li;26761;2346;32524;1838076;1.7694589342334048
124:149-30164;Ga;Mu;26758;2349;12878;2238912;0.5751900923305605
124:149-30164;Li;Mu;26702;2405;30766;1731484;1.776857308528407
134:44688-46583;Fa;Ga;1851;32;4060;182800;2.2210065645514225
134:44688-46583;Fa;Li;1851;32;2834;177892;1.5931014323297281
134:44688-46583;Fa;Mu;1851;32;4180;178568;2.340844944222929
134:44688-46583;Ga;Li;1851;32;2848;179340;1.5880450540872086
134:44688-46583;Ga;Mu;1851;32;1022;180020;0.5677146983668482
134:44688-46583;Li;Mu;1851;32;3154;175420;1.7979705848819976
135:13930-23242;Fa;Ga;7690;1419;18204;720332;2.5271680280759425
135:13930-23242;Fa;Li;7713;1396;12288;709528;1.7318555434035021
135:13930-23242;Fa;Mu;7712;1397;17024;661540;2.573389364210781
135:13930-23242;Ga;Li;8736;373;11410;773792;1.4745564699557503
135:13930-23242;Ga;Mu;8712;397;3790;773312;0.49009972688901765
135:13930-23242;Li;Mu;8737;372;11458;705156;1.6248886771154185
139042:43-973;Fa;Ga;846;14;1044;81240;1.2850812407680945
139042:43-973;Fa;Li;846;14;806;80760;0.9980188211986132
139042:43-973;Fa;Mu;846;14;1020;75020;1.3596374300186618
139042:43-973;Ga;Li;846;14;434;78424;0.5534020197898603
139042:43-973;Ga;Mu;846;14;108;73092;0.14775898867181086
139042:43-973;Li;Mu;846;14;410;73008;0.5615822923515231
146470:274-3304;Fa;Ga;1343;1623;1256;50416;2.4912726118692476
146470:274-3304;Fa;Li;1017;1949;278;22684;1.2255334156233468
146470:274-3304;Fa;Mu;384;2582;140;7068;1.9807583474816073
146470:274-3304;Ga;Li;1069;1897;468;32028;1.4612214312476584
146470:274-3304;Ga;Mu;460;2506;298;16224;1.836785009861933
146470:274-3304;Li;Mu;497;2469;244;11380;2.1441124780316345
154:70186-73729;Fa;Ga;3351;164;4324;326476;1.3244465136794128
154:70186-73729;Fa;Li;3348;167;2918;328800;0.8874695863746959
