CHROM,START,END,Li_Mu_fst_wc,Li_Fa_fst_wc,Li_Ga_fst_wc,Mu_Fa_fst_wc,Mu_Ga_fst_wc,Fa_Ga_fst_wc,Li_Mu_fst_hudson,Li_Fa_fst_hudson,Li_Ga_fst_hudson,Mu_Fa_fst_hudson,Mu_Ga_fst_hudson,Fa_Ga_fst_hudson,f3_Li_Mu_Fa_snp,f3_Li_Mu_Ga_snp,f3_Li_Fa_Ga_snp,f3_Mu_Li_Fa_snp,f3_Mu_Li_Ga_snp,f3_Mu_Fa_Ga_snp,f3_Fa_Li_Mu_snp,f3_Fa_Li_Ga_snp,f3_Fa_Mu_Ga_snp,f3_Ga_Li_Mu_snp,f3_Ga_Li_Fa_snp,f3_Ga_Mu_Fa_snp
69,1001,51000,0.040639731219001635,0.7962082420232239,0.681074163930879,0.7991889155437916,0.6826638288979586,0.03534333720567525,0.03095152069292672,0.798204022289073,0.6792641282747043,0.8010730035182049,0.681818537924561,0.03793523518609457,0.019786718880289562,0.020370416123632603,3.738560769368563,0.011908344733242105,0.010964432284541702,3.9336388508891984,3.627393646576952,0.44133773264398163,0.441554434854397,1.5439076739903854,-0.2119478400943165,-0.21295009586286834
70,1001,51000,0.015016786923750492,0.12616323018115105,0.2807397386149687,0.10207673715212331,0.2841034374693824,0.06483020150363535,0.01371447567486879,0.12139768571183833,0.27999778057962565,0.10105626465250732,0.2853799742049799,0.06296990006807562,0.018522830877745117,0.001708602829950743,0.20819242530644355,-0.00465364265329219,0.012212886685830909,0.2003927355336766,0.11813789016929309,-0.07365153058800673,-0.09134487982812373,0.45312319757708125,0.17524623870092657,0.19799109384158206
72,1001,51000,-0.011683776098318317,0.10212514808438473,0.3313318135085795,0.10118509593124836,0.3317185985824615,0.127416608136627,-0.004637925796230541,0.10736974072465663,0.3355404321870671,0.10593848000883677,0.3340309469495576,0.13169307316291945,-0.0013419497193100781,0.00030303838931012433,0.2044914558851519,-0.003464170777891979,-0.004967265872443102,0.20325209948457773,0.12317861920700643,-0.09009224026193854,-0.08802620414664854,0.6485612631934922,0.32828014559055374,0.3249132320468289
72,51000,101000,0.008595162009018033,0.1545753034169798,0.21178478357140795,0.17173501024771193,0.22295202781495613,0.05799965496451578,0.017188611403594796,0.157721411551629,0.2122729702886937,0.17532058886552235,0.2245105155539114,0.055311197140227676,-0.0020019032907621706,0.0017581303616252696,0.18903366617935363,0.019821488408931973,0.01594586773083152,0.21285405306607624,0.1936119545647468,-0.006122254541259556,-0.0021910110044948195,0.2938318392573885,0.06977890583196417,0.06528047219557284
79,1001,51000,0.023423526360671094,0.3361092213006105,0.42343205938817624,0.19380501837768926,0.2891401749302611,0.11410238457229821,0.0189822676288488,0.33428050616445726,0.41777920309134464,0.19123584450974704,0.28193010521855366,0.1047755725903379,0.10981351216864389,0.11437336017371058,0.40625961277481837,-0.0869631005112339,-0.09136353643877285,0.19471882206018115,0.513980045046,-0.03779022038857461,-0.029303050076830962,1.0983932238193044,0.21510266940451783,0.20130390143737178
81,1001,51000,-0.006412265376412763,0.06063811916901948,0.15269059412580185,0.025557438165053698,0.10966156137020537,-0.001781080966480682,-3.586713899841175e-05,0.06943594620190224,0.15483299376452658,0.03578170568629601,0.11330559609804469,0.00480824029060056,0.01898554698299787,0.026001072291052488,0.12343360731235442,-0.01877612208096123,-0.025701112129692373,0.07739904739216556,0.054734066104278334,-0.04518560137241177,-0.038474237334202785,0.16277947801370404,0.05662742533246156,0.04898406049622474
85,1001,51000,0.019693254023734424,0.14968071362761637,0.17913288848363831,0.101505134383736,0.13355048487288174,0.034067400841719116,0.017515212570484315,0.14970735436322838,0.18348282628430143,0.10389706587637754,0.14028542295834281,0.04308805793178037,0.03794978701870354,0.035936948234982787,0.17304420977790874,-0.01869231259083901,-0.01677918833066128,0.11162275805750974,0.13727158422517088,0.004454611325082825,0.002475705395959482,0.1992038058229481,0.043389592974196055,0.045677064018016085
86,1001,51000,0.058635994574277914,0.5846779490471735,0.5793544600404015,0.5845874993456556,0.5760349454243723,-0.00026547527635471,0.0665730675566989,0.5818534343346885,0.5758061065488873,0.5834812253121642,0.5744963934638427,-0.0038046294696840468,0.03918294849023119,0.04909413854351719,1.7032548845470745,0.0320370313975092,0.021841215701799976,1.7337013125437803,1.1443443738460464,0.00739275157546206,0.014164420134705584,1.1025777686670526,-0.011046908898341106,-0.017719383658757335
89,1001,51000,0.011790149295381656,0.6824079584675538,0.6808522316402786,0.6719312960158781,0.6674693420734304,0.040922179860871696,0.0016743407283381776,0.6810415059198793,0.6749784226730068,0.6709599052426352,0.6623400566386151,0.036707070585311904,0.0023652546563375605,0.01405348607219383,2.7036673809131373,-0.0019304169113329452,-0.010931077510275994,2.3964382706987735,1.7122297538352083,0.07510381733856478,0.08020959686050554,1.6996911973182944,-0.04065933648280535,-0.046098634427034844
91,1001,51000,0.010525501122204177,0.3233775112274404,0.4417714844600453,0.42930158048740014,0.5409787279976653,0.03154740281145023,0.008786941920614376,0.3203682260519715,0.4406807763013953,0.4289711600086095,0.5425638541690911,0.03270453558245169,-0.09362294687497294,-0.10465334159188014,0.5048163216198694,0.11993360190008927,0.13292650281470367,0.8378389124358742,0.646165510001757,-0.09975505919402913,-0.11350381991018957,1.3133614491491428,0.18949416182548837,0.20983430430817163
92,1001,51000,-0.0034536010775920727,0.1272956015705513,0.11665382430999292,0.0680994039308442,0.06718741221354939,0.026186377459391678,0.010128939723483398,0.1376299335729784,0.13276789926159852,0.07809446719519143,0.08105570455036609,0.043046665062171204,0.043109569333581226,0.03502032008273928,0.13926880850725495,-0.028727511032642004,-0.02365085166767023,0.06217856944114261,0.11231407921301562,0.02697717343249136,0.02036315910684088,0.11567696950822315,0.01645089775947194,0.024743561586624076
96,1001,51000,0.010393346960466421,0.13422951629332486,0.1513515407726056,0.14035475108802895,0.1465709084377705,0.03768124711942861,0.010412691301336588,0.13751209273374654,0.14826670480035165,0.1420756959215186,0.14393115096113024,0.04220205844082573,0.0031660559252947892,0.008983655351879255,0.1393699696596358,0.007407367815753112,0.0014476865913715514,0.14097807496092768,0.15960444616003971,0.01746866119545583,0.023539625226048137,0.17652355564796196,0.027042710545465667,0.020373147996891487
98,1001,51000,0.019238666417039002,0.6276584707708762,0.640887675679716,0.5771875404224881,0.5905502619416042,0.006508144155424547,0.022774671491061382,0.6325971751540871,0.6441317295661055,0.5827782308750544,0.5939824499209178,0.015028073012783078,0.076484298257773,0.07717401785014844,1.2597509898334989,-0.04400954324298272,-0.04460606107988243,0.9789300726818863,2.52896657888621,-0.00837528722278158,-0.007846668215733326,2.8968589771681414,0.025738784930686348,0.02514059920826205
99,1001,51000,-0.04590834173671171,0.8273705495944663,0.7532378013835062,0.816420195194719,0.741902331140645,0.10926580011313547,-0.05374788004346541,0.8272684689082037,0.7503009506764539,0.8172286938405381,0.7381125395635922,0.10269639197762181,0.019180762765286772,0.02644515654549267,6.297900556839651,-0.0633606455230853,-0.06951523459405547,5.255592248738222,3.619024108259739,0.38288256699897866,0.3832151927523619,2.012964053249627,-0.16147499427599676,-0.16169823046479073
100,1001,51000,0.012374357463394194,0.6131421952075828,0.6113279968332596,0.6305236872284022,0.6290980755831339,0.03623043571562948,0.010376223430126926,0.6131196890050138,0.6064973473113525,0.6284489106053941,0.6217087447211023,0.036638434625597946,-0.0167423461570606,-0.015162826977184825,1.3827137365239506,0.028668962241748013,0.026985870339586965,1.5182075219662832,1.8106636483380014,0.04947926318056391,0.05146705297266982,1.7753339133885953,-0.011933492085298685,-0.01395300025949846
101,1001,51000,-0.0808584612339218,0.6412163695406999,0.6662693841941838,0.6426054268115652,0.6668157580046224,0.012098167126428772,-0.0972296605552192,0.6394756121583945,0.6654564882265512,0.6411190198827023,0.6673976759422047,0.02124914996389543,-0.04360886425507698,-0.04377191092657465,1.4466288999001133,-0.04482863288380687,-0.04466370441648832,1.4618582931212578,2.4491138428119914,-0.05378406398104275,-0.05391982622432869,3.075127651217566,0.08799587588373932,0.08833071484681866
103,1001,51000,-0.01621383819328158,0.3781500180689316,0.48814451902691247,0.4052724071153422,0.512230897889787,0.03787681207021428,-0.015699479442099998,0.3788923248722196,0.48641033911026627,0.405141488883261,0.5095869884794677,0.03201264118920866,-0.02945122233540184,-0.02909702287248869,0.5631192703028133,0.014879711838475735,0.014511077112120805,0.6312315532050827,0.8560673964452064,-0.12023419025097487,-0.11965062171027753,1.804461924444378,0.23634429129376508,0.2354064136469534
104,1001,51000,-0.017470290134250225,0.810202681913098,0.8182772150555269,0.7072709105877851,0.7169763874569401,0.09543168703695398,-0.007462686567164232,0.8130474234812286,0.8184823115663498,0.7057981647483726,0.7125843714053557,0.08339804317440627,0.7320121951219557,0.709489329268297,7.090815548780467,-0.30310173697270837,-0.2939361042183659,2.2937655086848854,2.7995344618788067,0.04408745615920581,0.03432766963569562,2.9598178143241136,0.04697369656337848,0.05725456844802557
