GENE;POP1;POP2;TOTAL_SITES;N_SITES;NUM_ALL;DENOM_ALL;DXY_ALL
126027:1658-4733;Fa;Ga;3027;41;390;295128;0.13214605188257297
126027:1658-4733;Fa;Li;3027;41;1972;258688;0.7623082632360217
126027:1658-4733;Fa;Mu;3027;41;3764;289312;1.3010175865501603
126027:1658-4733;Ga;Li;3027;41;2036;258884;0.7864526197061232
126027:1658-4733;Ga;Mu;3027;41;3838;289020;1.3279357829907965
126027:1658-4733;Li;Mu;3027;41;2034;254000;0.8007874015748031
126418:2-2983;Fa;Ga;2945;32;320;287980;0.1111188276963678
126418:2-2983;Fa;Li;2945;32;2188;267544;0.8178094070508029
126418:2-2983;Fa;Mu;2945;32;4042;288844;1.399371286923045
126418:2-2983;Ga;Li;2945;32;2158;267816;0.8057771006960003
126418:2-2983;Ga;Mu;2945;32;3998;289460;1.3811925654667312
126418:2-2983;Li;Mu;2945;32;1874;269092;0.6964160956104232
126419:391-1980;Fa;Ga;1557;18;108;152784;0.0706880301602262
126419:391-1980;Fa;Li;1557;18;668;142056;0.4702370895984682
126419:391-1980;Fa;Mu;1557;18;1642;152100;1.079552925706772
126419:391-1980;Ga;Li;1557;18;672;143448;0.4684624393508449
126419:391-1980;Ga;Mu;1557;18;1654;153536;1.0772717799082951
126419:391-1980;Li;Mu;1557;18;1000;142928;0.6996529721258256
126470:1361-2746;Fa;Ga;1377;9;464;136220;0.34062545881662015
126470:1361-2746;Fa;Li;1377;9;908;125924;0.7210698516565548
126470:1361-2746;Fa;Mu;1377;9;1572;133940;1.173659847692997
126470:1361-2746;Ga;Li;1377;9;750;126432;0.5932042520880789
126470:1361-2746;Ga;Mu;1377;9;1460;134396;1.0863418554123634
126470:1361-2746;Li;Mu;1377;9;760;124284;0.6115026873933893
126575:123-4752;Fa;Ga;4509;94;1660;446924;0.37142780427992234
126575:123-4752;Fa;Li;4509;94;3742;410572;0.9114113967830246
126575:123-4752;Fa;Mu;4509;94;5814;443868;1.3098488739895644
126575:123-4752;Ga;Li;4509;94;3850;410928;0.9369037884982284
126575:123-4752;Ga;Mu;4509;94;5770;444244;1.2988357749344954
126575:123-4752;Li;Mu;4509;94;5404;408276;1.323614417697832
126923:980-5170;Fa;Ga;3960;175;2778;386212;0.7192940664712645
126923:980-5170;Fa;Li;3960;175;3016;359280;0.839456691160098
126923:980-5170;Fa;Mu;3960;175;4026;354908;1.1343784868191193
126923:980-5170;Ga;Li;3966;169;3270;358620;0.9118286765936089
