GENE;POP1;POP2;TOTAL_SITES;N_SITES;NUM_ALL;DENOM_ALL;DXY_ALL
1000:17708-20568;Fa;Ga;2844;17;248;283812;0.08738178794413202
1000:17708-20568;Fa;Li;2844;17;140;283020;0.04946646880079146
1000:17708-20568;Fa;Mu;2844;17;176;283624;0.06205398696866274
1000:17708-20568;Ga;Li;2844;17;214;283464;0.0754945954336353
1000:17708-20568;Ga;Mu;2844;17;256;284064;0.09012053621719049
1000:17708-20568;Li;Mu;2844;17;140;283304;0.049416880806483494
1000:54571-63084;Fa;Ga;8094;360;1678;760220;0.22072557943753124
1000:54571-63084;Fa;Li;8110;344;1232;759876;0.16213171622738448
1000:54571-63084;Fa;Mu;8114;340;1484;763720;0.1943120515372126
1000:54571-63084;Ga;Li;8089;365;1658;754324;0.21979944957339287
1000:54571-63084;Ga;Mu;8088;366;1568;758356;0.20676305059892716
1000:54571-63084;Li;Mu;8103;351;1462;757488;0.1930063578564941
1001:6107-17544;Fa;Ga;10135;1243;5578;922880;0.6044122746185853
1001:6107-17544;Fa;Li;9973;1405;5216;920212;0.5668259053348577
1001:6107-17544;Fa;Mu;10128;1250;5570;920556;0.6050691104071887
1001:6107-17544;Ga;Li;9989;1389;5426;943248;0.5752463827116516
1001:6107-17544;Ga;Mu;10262;1116;5504;947648;0.580806375363004
1001:6107-17544;Li;Mu;9982;1396;4972;941576;0.5280508424173939
1006:26388-31396;Fa;Ga;4880;97;976;470964;0.2072345232331983
1006:26388-31396;Fa;Li;4876;101;1258;459368;0.27385451315720727
1006:26388-31396;Fa;Mu;4890;87;1430;465540;0.307170167976973
1006:26388-31396;Ga;Li;4873;104;1306;459244;0.2843804165106131
1006:26388-31396;Ga;Mu;4891;86;1450;465756;0.311321807985297
1006:26388-31396;Li;Mu;4883;94;1494;455088;0.3282881552578842
1007:21950-24655;Fa;Ga;2646;44;2708;262236;1.0326576061257797
1007:21950-24655;Fa;Li;2646;44;2898;261744;1.107188703465982
1007:21950-24655;Fa;Mu;2646;44;2710;260148;1.0417147162384488
1007:21950-24655;Ga;Li;2646;44;2812;261112;1.0769325040595608
1007:21950-24655;Ga;Mu;2646;44;2528;259656;0.9735958344887081
1007:21950-24655;Li;Mu;2646;44;2824;259172;1.0896238791227448
1007:45330-46445;Fa;Ga;1116;0;144;111520;0.1291248206599713
1007:45330-46445;Fa;Li;1116;0;148;111220;0.13306959180003597
1007:45330-46445;Fa;Mu;1116;0;182;109800;0.1657559198542805
1007:45330-46445;Ga;Li;1116;0;124;111140;0.11157099154219903
1007:45330-46445;Ga;Mu;1116;0;154;109728;0.14034703995333916
1007:45330-46445;Li;Mu;1116;0;140;109432;0.12793332845968272
1008:126980-132624;Fa;Ga;5580;56;864;542908;0.1591429855518799
1008:126980-132624;Fa;Li;5592;44;704;544492;0.12929482894147204
1008:126980-132624;Fa;Mu;5586;50;788;543712;0.14492966864810783
1008:126980-132624;Ga;Li;5580;56;776;543488;0.1427814413565709
1008:126980-132624;Ga;Mu;5576;60;830;543240;0.15278698181282674
1008:126980-132624;Li;Mu;5592;44;688;545532;0.12611542494299144
1009:5509-59813;Fa;Ga;52625;1155;16580;5032256;0.3294744941433822
1009:5509-59813;Fa;Li;52733;1047;15758;5015388;0.3141930395016298
1009:5509-59813;Fa;Mu;52755;1025;16336;5028704;0.3248550720026472
1009:5509-59813;Ga;Li;52633;1147;15918;5024152;0.3168295863660176
1009:5509-59813;Ga;Mu;52653;1127;17008;5036836;0.3376723006268221
1009:5509-59813;Li;Mu;52755;1025;15468;5021384;0.30804256356414883
1010:1644-4625;Fa;Ga;2907;62;1590;288172;0.5517538136945991
1010:1644-4625;Fa;Li;2907;62;1478;287428;0.5142157340273042
1010:1644-4625;Fa;Mu;2907;62;1374;285760;0.48082306830907057
1010:1644-4625;Ga;Li;2907;62;1774;289116;0.6135945433666764
1010:1644-4625;Ga;Mu;2907;62;1630;287468;0.5670196334896406
1010:1644-4625;Li;Mu;2907;62;1568;286716;0.5468826295009696
1010:8362-15951;Fa;Ga;7205;232;2828;676572;0.41798951183318256
1010:8362-15951;Fa;Li;7201;236;2748;682680;0.40253120056248903
1010:8362-15951;Fa;Mu;7202;235;2516;673292;0.3736863054959809
1010:8362-15951;Ga;Li;7215;222;2830;680188;0.4160614418366687
1010:8362-15951;Ga;Mu;7214;223;2676;670696;0.39898851342486014
1010:8362-15951;Li;Mu;7211;226;2526;675196;0.3741135907203242
1011:59734-74669;Fa;Ga;13962;876;7126;1330208;0.5357056941470808
1011:59734-74669;Fa;Li;13969;869;7120;1322488;0.5383791762193684
1011:59734-74669;Fa;Mu;13965;873;7598;1330876;0.570902172704294
