GENE;POP1;POP2;TOTAL_SITES;N_SITES;NUM_ALL;DENOM_ALL;DXY_ALL
1000:392943-394541;Fa;Ga;1598;1;720;159000;0.4528301886792453
1000:392943-394541;Fa;Li;1598;1;754;159380;0.4730831973898858
1000:392943-394541;Fa;Mu;1598;1;766;159300;0.48085373509102325
1000:392943-394541;Ga;Li;1598;1;682;159340;0.4280155642023346
1000:392943-394541;Ga;Mu;1598;1;678;159260;0.4257189501444179
1000:392943-394541;Li;Mu;1598;1;782;159640;0.48985216737659737
1000:419893-427529;Fa;Ga;7590;44;4178;754496;0.5537471371617609
1000:419893-427529;Fa;Li;7590;44;4704;754732;0.6232675969748201
1000:419893-427529;Fa;Mu;7590;44;4554;755652;0.6026583665496816
1000:419893-427529;Ga;Li;7590;44;4588;753036;0.609267020434614
1000:419893-427529;Ga;Mu;7590;44;4336;753776;0.5752372057481268
1000:419893-427529;Li;Mu;7590;44;4712;754188;0.6247779068349005
1000:542746-545091;Fa;Ga;2321;19;2964;230524;1.2857663410317364
1000:542746-545091;Fa;Li;2321;19;2774;230700;1.2024273948851323
1000:542746-545091;Fa;Mu;2321;19;2962;230860;1.283028675387681
1000:542746-545091;Ga;Li;2321;19;2740;231392;1.1841377402848845
1000:542746-545091;Ga;Mu;2321;19;2946;231540;1.2723503498315625
1000:542746-545091;Li;Mu;2321;19;2534;231740;1.0934668162596013
1000:557905-558960;Fa;Ga;1055;1;654;105320;0.6209646790733004
1000:557905-558960;Fa;Li;1055;1;730;103680;0.7040895061728395
1000:557905-558960;Fa;Mu;1055;1;712;104360;0.6822537370640092
1000:557905-558960;Ga;Li;1055;1;704;103820;0.6780967058370256
1000:557905-558960;Ga;Mu;1055;1;700;104500;0.6698564593301436
1000:557905-558960;Li;Mu;1055;1;688;102860;0.668870309158079
1000:597292-605540;Fa;Ga;8168;67;6024;779080;0.7732196950249012
1000:597292-605540;Fa;Li;8168;67;6178;771004;0.80129285969982
1000:597292-605540;Fa;Mu;8168;67;5886;773980;0.7604847670482442
1000:597292-605540;Ga;Li;8168;67;5732;755340;0.7588635581327614
1000:597292-605540;Ga;Mu;8168;67;5262;760824;0.6916185609286774
1000:597292-605540;Li;Mu;8168;67;5528;754056;0.7331020507760697
1001:185845-189332;Fa;Ga;3314;114;4598;328236;1.4008213602408024
1001:185845-189332;Fa;Li;3314;114;6742;328728;2.0509357280183007
1001:185845-189332;Fa;Mu;3314;114;6638;329864;2.0123444813620157
1001:185845-189332;Ga;Li;3314;114;6598;328400;2.009135200974421
1001:185845-189332;Ga;Mu;3314;114;6694;329640;2.0307001577478463
1001:185845-189332;Li;Mu;3314;114;3796;330080;1.1500242365487154
1002:634995-731515;Fa;Ga;92097;3458;98400;8652024;1.1373061378470517
1002:634995-731515;Fa;Li;93200;2355;116902;8765120;1.3337181921068963
1002:634995-731515;Fa;Mu;93099;2456;117156;8746308;1.3394909029044026
1002:634995-731515;Ga;Li;92305;3250;120608;8683136;1.3889912584577737
1002:634995-731515;Ga;Mu;92254;3301;120882;8650632;1.3973776713655142
1002:634995-731515;Li;Mu;93545;2010;112890;8809156;1.2815075587263978
1002:775411-779773;Fa;Ga;3618;520;6044;327368;1.8462403167078028
1002:775411-779773;Fa;Li;3633;505;6824;323812;2.1073956493273873
1002:775411-779773;Fa;Mu;3698;440;7154;334580;2.138203120329966
1002:775411-779773;Ga;Li;3724;414;6386;320440;1.9928847834227936
1002:775411-779773;Ga;Mu;3807;331;6874;328480;2.092669264490989
1002:775411-779773;Li;Mu;3736;402;5918;323968;1.8267236270248914
1003:123266-125052;Fa;Ga;1744;33;1704;163816;1.0401914342921326
1003:123266-125052;Fa;Li;1751;26;1602;163396;0.9804401576537981
1003:123266-125052;Fa;Mu;1706;71;1470;163868;0.8970634901261991
1003:123266-125052;Ga;Li;1745;32;1782;161404;1.1040618572030434
1003:123266-125052;Ga;Mu;1707;70;1722;161528;1.0660690406616808
1003:123266-125052;Li;Mu;1712;65;1568;161240;0.972463408583478
1003:271324-274653;Fa;Ga;3286;32;2192;325500;0.6734254992319508
1003:271324-274653;Fa;Li;3286;32;1732;327200;0.5293398533007335
1003:271324-274653;Fa;Mu;3286;32;1970;328380;0.59991473293136
1003:271324-274653;Ga;Li;3286;32;2104;324196;0.6489901170896618
1003:271324-274653;Ga;Mu;3286;32;2246;325320;0.6903971474240748
1003:271324-274653;Li;Mu;3286;32;1818;327020;0.5559293009601859
1003:98099-104875;Fa;Ga;6595;116;9748;645080;1.5111304024307062
1003:98099-104875;Fa;Li;6595;116;10194;651064;1.565744688694199
1003:98099-104875;Fa;Mu;6595;116;9866;650248;1.517267258030782
1003:98099-104875;Ga;Li;6595;116;9856;646632;1.5242054213215555
