GENE;POP1;POP2;TOTAL_SITES;N_SITES;NUM_ALL;DENOM_ALL;DXY_ALL
1000:152675-156624;Fa;Ga;3873;21;340;386800;0.08790072388831438
1000:152675-156624;Fa;Li;3873;21;610;386740;0.15772870662460567
1000:152675-156624;Fa;Mu;3873;21;638;386664;0.16500113793888233
1000:152675-156624;Ga;Li;3882;12;694;387596;0.17905241540160374
1000:152675-156624;Ga;Mu;3882;12;692;387168;0.17873377965121084
1000:152675-156624;Li;Mu;3882;12;724;387080;0.18704143846233337
1002:114754-123887;Fa;Ga;8448;526;5088;829244;0.6135709151950451
1002:114754-123887;Fa;Li;8834;140;4756;853024;0.5575458603743857
1002:114754-123887;Fa;Mu;8835;139;4992;843780;0.5916234089454597
1002:114754-123887;Ga;Li;8447;527;5548;838276;0.6618345270531424
1002:114754-123887;Ga;Mu;8448;526;4870;832108;0.5852605671379196
1002:114754-123887;Li;Mu;8898;76;3742;866752;0.43172672229195896
1002:92060-106155;Fa;Ga;13858;74;8208;1374140;0.5973190504606517
1002:92060-106155;Fa;Li;13859;73;6036;1378332;0.43792061709370456
1002:92060-106155;Fa;Mu;13859;73;6198;1374656;0.4508764374505331
1002:92060-106155;Ga;Li;13858;74;8026;1375768;0.5833832448494223
1002:92060-106155;Ga;Mu;13858;74;5616;1372184;0.4092745579310063
1002:92060-106155;Li;Mu;13859;73;6576;1376748;0.4776473254364633
1008:7849-12814;Fa;Ga;4716;148;3758;463180;0.8113476402262619
1008:7849-12814;Fa;Li;4714;150;3700;463016;0.7991084541354943
1008:7849-12814;Fa;Mu;4715;149;3974;462848;0.8585972068584071
1008:7849-12814;Ga;Li;4714;150;3620;461652;0.7841404347863759
1008:7849-12814;Ga;Mu;4715;149;3880;460644;0.8422990422104706
1008:7849-12814;Li;Mu;4713;151;3698;460904;0.8023362782705292
1012:287-73207;Fa;Ga;68549;3529;42526;6586152;0.6456881043741475
1012:287-73207;Fa;Li;68461;3617;43840;6611404;0.6630966735658568
1012:287-73207;Fa;Mu;68515;3563;44168;6602180;0.6689911514075654
1012:287-73207;Ga;Li;68418;3660;43224;6550280;0.6598801883278272
1012:287-73207;Ga;Mu;68464;3614;43092;6543960;0.6585003575816478
1012:287-73207;Li;Mu;68503;3575;42720;6577700;0.6494671389695487
1014:34801-41517;Fa;Ga;6511;164;2630;644800;0.40787841191067
1014:34801-41517;Fa;Li;6515;160;3954;647044;0.6110867267141029
1014:34801-41517;Fa;Mu;6518;157;3638;647136;0.5621693121693122
1014:34801-41517;Ga;Li;6508;167;3996;644192;0.6203119566837216
1014:34801-41517;Ga;Mu;6511;164;3582;644232;0.5560108780687703
1014:34801-41517;Li;Mu;6515;160;4142;646936;0.6402488035910816
1019:30343-33231;Fa;Ga;2732;90;2332;259420;0.8989283786909259
1019:30343-33231;Fa;Li;2735;87;1946;262548;0.7411978000213294
1019:30343-33231;Fa;Mu;2740;82;1996;262320;0.760902714242147
1019:30343-33231;Ga;Li;2727;95;2220;257704;0.861453450470307
1019:30343-33231;Ga;Mu;2732;90;2304;257644;0.894257192094518
1019:30343-33231;Li;Mu;2735;87;1900;262260;0.724471898116373
1020:62855-68377;Fa;Ga;5472;29;1090;541132;0.20142959573634528
1020:62855-68377;Fa;Li;5472;29;1206;542976;0.22210926449787835
1020:62855-68377;Fa;Mu;5472;29;1048;544944;0.19231333861828004
1020:62855-68377;Ga;Li;5472;29;1188;540676;0.21972493693080514
1020:62855-68377;Ga;Mu;5472;29;764;542528;0.1408222248436947
1020:62855-68377;Li;Mu;5472;29;1114;544460;0.20460639900084487
1020:76141-94264;Fa;Ga;17711;157;8246;1753300;0.4703131238236468
1020:76141-94264;Fa;Li;17713;155;7520;1759848;0.42730963128633837
1020:76141-94264;Fa;Mu;17718;150;7312;1759104;0.415666157316452
1020:76141-94264;Ga;Li;17709;159;8486;1748852;0.4852325982987697
1020:76141-94264;Ga;Mu;17711;157;9336;1747620;0.5342122429361074
1020:76141-94264;Li;Mu;17713;155;7576;1753500;0.4320501853435985
1021:23938-25220;Fa;Ga;1242;32;626;119748;0.5227644720579885
1021:23938-25220;Fa;Li;1247;27;582;118920;0.48940464177598386
1021:23938-25220;Fa;Mu;1247;27;656;120152;0.5459750982089353
1021:23938-25220;Ga;Li;1243;31;488;119384;0.4087649936339878
1021:23938-25220;Ga;Mu;1243;31;470;120884;0.38880248833592534
1021:23938-25220;Li;Mu;1261;13;490;119804;0.4090013689025408
1025:241741-248201;Fa;Ga;6390;44;1130;628252;0.1798641309538211
1025:241741-248201;Fa;Li;6397;37;2960;628124;0.4712445313345773
1025:241741-248201;Fa;Mu;6397;37;2772;633760;0.43738954809391567
1025:241741-248201;Ga;Li;6390;44;3030;621076;0.487862999053256
1025:241741-248201;Ga;Mu;6390;44;2710;627720;0.43172114955712737
1025:241741-248201;Li;Mu;6397;37;3136;627084;0.5000924915960222
1025:60572-69803;Fa;Ga;9071;48;3710;904996;0.4099465632997273
1025:60572-69803;Fa;Li;9074;45;4858;906724;0.5357749436432696
1025:60572-69803;Fa;Mu;9074;45;5396;906656;0.5951540606360075
1025:60572-69803;Ga;Li;9071;48;4970;905000;0.549171270718232
1025:60572-69803;Ga;Mu;9071;48;5630;904840;0.6222094513947217
1025:60572-69803;Li;Mu;9074;45;5120;906680;0.5646975779767944
1030:26458-29098;Fa;Ga;2535;88;1216;250264;0.4858869034299779
1030:26458-29098;Fa;Li;2556;67;1622;250024;0.6487377211787668
1030:26458-29098;Fa;Mu;2589;34;1464;251872;0.5812476178376318
1030:26458-29098;Ga;Li;2533;90;1438;250524;0.573996902492376
1030:26458-29098;Ga;Mu;2535;88;1240;251608;0.4928301166894534
1030:26458-29098;Li;Mu;2556;67;1420;250936;0.5658813402620588
1030:74740-76660;Fa;Ga;1905;13;1444;189720;0.7611216529622602
