GENE;POP;TOTAL_SITES;N_SITES;NUM_ALL;DENOM_ALL;PI_ALL
1002:23060-25005;Fa;1846;79;550;80375;0.6842923794712286
1002:23060-25005;Ga;1870;55;455;80902;0.5624088403253319
1002:23060-25005;Li;1867;58;542;81792;0.6626564945226917
1002:23060-25005;Mu;1891;34;700;79804;0.8771490150869631
1002:23060-25005;all;1891;34;11425;1397301;0.8176477366007754
1002:58824-60466;Fa;1601;29;534;69799;0.7650539406008682
1002:58824-60466;Ga;1601;29;489;71692;0.682084472465547
1002:58824-60466;Li;1601;29;723;68883;1.0496058534035975
1002:58824-60466;Mu;1601;29;804;71402;1.1260188790229966
1002:58824-60466;all;1601;29;11888;1218108;0.975939736049677
1002:90107-91136;Fa;1024;4;105;46046;0.2280328367284889
1002:90107-91136;Ga;1024;4;105;45706;0.22972913840633616
1002:90107-91136;Li;1024;4;128;46046;0.2779828866785389
1002:90107-91136;Mu;1024;4;204;46063;0.4428717191672275
1002:90107-91136;all;1024;4;2770;796641;0.3477099471405564
1003:139527-142611;Fa;3054;22;869;136529;0.6364948106263139
1003:139527-142611;Ga;3054;22;984;135887;0.7241310794998785
1003:139527-142611;Li;3054;22;408;136988;0.2978363068297953
1003:139527-142611;Mu;3054;22;364;136988;0.2657167051128566
1003:139527-142611;all;3054;22;17255;2367040;0.7289695146681087
1004:14349-29960;Fa;15132;310;5075;665072;0.7630752760603363
1004:14349-29960;Ga;15143;299;5441;669369;0.812855091885044
1004:14349-29960;Li;15139;303;5211;669470;0.7783769250302478
1004:14349-29960;Mu;15143;299;5569;669998;0.8311965110343613
1004:14349-29960;all;15143;299;96084;11572885;0.8302510566725583
1007:11844-17642;Fa;5517;115;1519;244313;0.6217434193022885
1007:11844-17642;Ga;5517;115;1330;245351;0.5420805295270856
1007:11844-17642;Li;5517;115;1064;245738;0.4329814680676167
1007:11844-17642;Mu;5502;130;1255;246136;0.5098807163519355
1007:11844-17642;all;5517;115;26334;4251430;0.619415114443846
1009:13049-14807;Fa;1754;5;360;78896;0.45629689718109917
1009:13049-14807;Ga;1754;5;340;78930;0.43076143418218676
1009:13049-14807;Li;1754;5;285;78641;0.362406378352259
1009:13049-14807;Mu;1754;5;231;78896;0.2927905090245386
1009:13049-14807;all;1754;5;6134;1366503;0.448883024771991
1009:226893-242603;Fa;15348;259;3671;682431;0.5379298419913515
1009:226893-242603;Ga;15351;256;3733;684935;0.5450152204223758
