GENE;POP;TOTAL_SITES;N_SITES;NUM_ALL;DENOM_ALL;PI_ALL
1000:563919-580990;Fa;16701;194;3560;736277;0.4835136775968827
1000:563919-580990;Ga;16701;194;2845;743333;0.38273559763928144
1000:563919-580990;Li;16701;194;3325;741162;0.44861986987999924
1000:563919-580990;Mu;16701;194;3650;742762;0.4914090920106306
1000:563919-580990;all;16701;194;56646;12837118;0.4412672688682927
1006:45221-45835;Fa;614;1;143;27630;0.5175533840028954
1006:45221-45835;Ga;614;1;177;27630;0.6406080347448425
1006:45221-45835;Li;614;1;214;27613;0.7749972838880238
1006:45221-45835;Mu;614;1;157;27630;0.568222946073109
1006:45221-45835;all;614;1;3113;478843;0.6501086995111133
100:1201267-1206211;Fa;4856;28;1488;218204;0.6819306703818445
100:1201267-1206211;Ga;4856;28;1195;217266;0.5500170298159859
100:1201267-1206211;Li;4856;28;1319;216480;0.6092941611234294
100:1201267-1206211;Mu;4856;28;1010;218159;0.4629650850984832
100:1201267-1206211;all;4856;28;21202;3769753;0.5624241163810998
100:1328687-1333006;Fa;4247;35;1254;188339;0.6658206744221855
100:1328687-1333006;Ga;4247;35;1452;187845;0.7729777209933721
100:1328687-1333006;Li;4247;35;1507;189400;0.7956705385427666
100:1328687-1333006;Mu;4247;35;1038;189559;0.5475867671806667
100:1328687-1333006;all;4247;35;22509;3270151;0.6883168391918294
100:2561998-2563781;Fa;1772;11;172;78354;0.21951655307961304
100:2561998-2563781;Ga;1772;11;180;79213;0.22723542852814563
100:2561998-2563781;Li;1772;11;159;79638;0.19965343177879907
100:2561998-2563781;Mu;1772;11;133;78112;0.17026833265055305
100:2561998-2563781;all;1772;11;2896;1366045;0.21199887265792855
100:2586513-2594595;Fa;7927;110;3210;352351;0.9110233829334953
100:2586513-2594595;Ga;7930;107;2781;352055;0.7899333910894605
100:2586513-2594595;Li;7908;129;2626;352821;0.7442867629761267
100:2586513-2594595;Mu;7924;113;2849;353164;0.8067073654166337
100:2586513-2594595;all;7930;107;49756;6110451;0.8142770476352728
100:2595070-2598681;Fa;3540;40;1162;158450;0.7333543704638688
100:2595070-2598681;Ga;3540;40;1166;158263;0.7367483239923419
100:2595070-2598681;Li;3540;40;1202;159130;0.7553572550744674
100:2595070-2598681;Mu;3540;40;1051;158858;0.6615971496556673
100:2595070-2598681;all;3540;40;19397;2749941;0.705360587736246
100:326929-338618;Fa;11550;85;2264;509570;0.4442961712816689
100:326929-338618;Ga;11550;85;1855;514150;0.36078965282505104
100:326929-338618;Li;11550;85;1416;515668;0.27459528223585716
100:326929-338618;Mu;11550;85;1355;513523;0.26386354652079846
100:326929-338618;all;11550;85;29814;8890211;0.335357619746033
100:508218-514800;Fa;6521;44;1199;292119;0.41044916626443334
100:508218-514800;Ga;6521;44;1509;292323;0.5162098090126332
100:508218-514800;Li;6521;44;1558;289227;0.5386772327618099
100:508218-514800;Mu;6521;44;1416;293207;0.4829352641649074
100:508218-514800;all;6521;44;24166;5055216;0.4780408987469576
100:766536-773439;Fa;6823;42;1581;304030;0.5200144722560274
100:766536-773439;Ga;6823;42;1179;306406;0.3847835877887509
100:766536-773439;Li;6823;42;1530;305743;0.5004202876271902
100:766536-773439;Mu;6823;42;1265;304870;0.4149309541771903
100:766536-773439;all;6823;42;24131;5289873;0.45617352250233606
1011:113940-115944;Fa;1939;36;1131;81844;1.3818972679732173
1011:113940-115944;Ga;1939;36;1063;85215;1.2474329636801034
1011:113940-115944;Li;1939;36;1096;85657;1.27952181374552
1011:113940-115944;Mu;1939;36;941;86097;1.0929532968628408
1011:113940-115944;all;1939;36;18709;1466257;1.2759700379947034
1011:168236-171038;Fa;2696;54;1468;119130;1.2322672710484346
1011:168236-171038;Ga;2696;54;1401;119326;1.1740944974272163
1011:168236-171038;Li;2696;54;1555;119432;1.3019961149440686
1011:168236-171038;Mu;2696;54;1429;119659;1.1942269281875997
1011:168236-171038;all;2696;54;25439;2067459;1.2304476170990573
1011:223865-248546;Fa;24122;327;8028;1052799;0.7625387182168676
1011:223865-248546;Ga;24079;370;7201;1051754;0.6846658058823641
1011:223865-248546;Li;24099;350;7471;1052030;0.7101508512114674
1011:223865-248546;Mu;24086;363;7138;1054057;0.6771929791273148
1011:223865-248546;all;24122;327;131138;18226832;0.7194777457761173
1011:300167-313938;Fa;8418;5258;3481;356661;0.9759968149026667
1011:300167-313938;Ga;8284;5392;3409;355054;0.9601356413390639
1011:300167-313938;Li;8395;5281;3809;363275;1.0485169637327094
1011:300167-313938;Mu;8394;5282;3959;367444;1.0774430933693298
1011:300167-313938;all;8418;5258;64002;6226066;1.0279685438606014
1011:30189-33086;Fa;2820;43;1558;123878;1.2576890166131194
1011:30189-33086;Ga;2820;43;1442;126152;1.1430655082757308
1011:30189-33086;Li;2820;43;1414;126645;1.1165067708950216
1011:30189-33086;Mu;2820;43;1140;126713;0.8996709098513964
1011:30189-33086;all;2820;43;24000;2180528;1.1006508515368754
1014:387896-390431;Fa;2501;33;460;111367;0.41304874873167097
1014:387896-390431;Ga;2501;33;531;112085;0.4737476022661373
1014:387896-390431;Li;2501;33;566;111729;0.506582892534615
1014:387896-390431;Mu;2501;33;549;111406;0.49279212968780856
1014:387896-390431;all;2501;33;9632;1935039;0.49776774524957895
1014:621440-623313;Fa;1767;96;928;73106;1.2693896533800235
1014:621440-623313;Ga;1767;96;851;75835;1.122173139051889
1014:621440-623313;Li;1738;125;741;74155;0.9992583102960017
1014:621440-623313;Mu;1767;96;731;74601;0.9798796262784681
1014:621440-623313;all;1767;96;13767;1286749;1.0699056303910086
1014:693564-699404;Fa;5780;53;1646;252830;0.6510303365898035
1014:693564-699404;Ga;5780;53;1724;258257;0.6675520895851806
1014:693564-699404;Li;5780;53;1548;255507;0.6058542427409034
1014:693564-699404;Mu;5780;53;1497;257738;0.5808223855232834
1014:693564-699404;all;5780;53;27515;4433892;0.6205608977395028
1016:63665-68827;Fa;5136;25;553;227247;0.24334754694231386
1016:63665-68827;Ga;5136;25;545;228933;0.23806091738630952
1016:63665-68827;Li;5136;25;602;229596;0.26219968989006776
1016:63665-68827;Mu;5136;25;619;228551;0.2708367060306015
1016:63665-68827;all;5136;25;9739;3960939;0.2458760410094677
1017:57471-63348;Fa;5356;474;1672;235036;0.7113803842815569
1017:57471-63348;Ga;5361;469;1472;237998;0.6184925923747259
1017:57471-63348;Li;5357;473;1571;237151;0.6624471328394146
1017:57471-63348;Mu;5353;477;1627;236063;0.6892227922207207
1017:57471-63348;all;5362;468;27400;4097872;0.6686397232514827
1018:10086-10791;Fa;704;2;92;31680;0.2904040404040404
1018:10086-10791;Ga;704;2;134;31680;0.42297979797979796
1018:10086-10791;Li;704;2;114;31680;0.35984848484848486
1018:10086-10791;Mu;704;2;97;31340;0.30950861518825784
1018:10086-10791;all;704;2;1873;547580;0.34205047664268234
1018:279524-283707;Fa;4064;44;1223;181036;0.6755562429572018
1018:279524-283707;Ga;4064;44;1156;179609;0.643620308559148
1018:279524-283707;Li;4064;44;1111;180209;0.616506389802951
1018:279524-283707;Mu;4064;44;1367;178438;0.7660924242594066
1018:279524-283707;all;4064;44;21051;3115392;0.675709509429311
1018:286744-289386;Fa;2588;14;779;115975;0.6716964863117051
1018:286744-289386;Ga;2588;14;652;115472;0.5646390466953027
1018:286744-289386;Li;2588;14;557;116188;0.47939546252625054
1018:286744-289386;Mu;2588;14;677;116188;0.5826763521189796
1018:286744-289386;all;2588;14;11723;2009527;0.5833711117093724
1018:92726-100858;Fa;7948;102;2400;335903;0.7144919813160346
1018:92726-100858;Ga;7949;101;1469;344456;0.4264695636017372
1018:92726-100858;Li;7949;101;1082;348052;0.31087308792938984
1018:92726-100858;Mu;7948;102;771;342681;0.2249905889150551
1018:92726-100858;all;7949;101;27446;5931928;0.4626826219064021
1019:288073-289005;Fa;933;0;96;41883;0.22920994198123343
1019:288073-289005;Ga;933;0;127;41900;0.3031026252983294
1019:288073-289005;Li;933;0;110;41951;0.2622106743581798
1019:288073-289005;Mu;933;0;110;41951;0.2622106743581798
1019:288073-289005;all;933;0;1901;726585;0.2616349085103601
101:109585-121639;Fa;11735;171;3251;520849;0.624173224869396
101:109585-121639;Ga;11735;171;3193;522033;0.6116471564058211
101:109585-121639;Li;11735;171;3242;522675;0.6202707227244464
101:109585-121639;Mu;11735;171;3039;521356;0.582903045136145
101:109585-121639;all;11735;171;54029;9040169;0.5976547562329864
101:1195987-1201588;Fa;5288;138;2039;230267;0.885493796332084
101:1195987-1201588;Ga;5286;140;2159;233027;0.9265020791582091
101:1195987-1201588;Li;5288;138;1927;232448;0.8290026156387665
101:1195987-1201588;Mu;5288;138;1954;234844;0.8320416957639966
101:1195987-1201588;all;5288;138;35399;4027666;0.8788961150204609
101:1202749-1209767;Fa;6875;104;2142;301614;0.7101792357118701
101:1202749-1209767;Ga;6850;129;1869;302018;0.6188372878437709
101:1202749-1209767;Li;6856;123;2122;300927;0.7051544062181193
101:1202749-1209767;Mu;6870;109;1970;300652;0.6552426060694757
101:1202749-1209767;all;6875;104;35957;5217123;0.6892112760232029
101:1307981-1367178;Fa;52443;6535;8606;2276256;0.3780769825538077
101:1307981-1367178;Ga;52488;6490;8859;2299770;0.38521243428690694
101:1307981-1367178;Li;52492;6486;8655;2300345;0.37624791063949103
101:1307981-1367178;Mu;52481;6497;8087;2290830;0.35301615571648703
101:1307981-1367178;all;52519;6459;146409;39685857;0.3689198396295184
101:1462482-1475809;Fa;13107;117;3106;579052;0.536393968071952
101:1462482-1475809;Ga;13107;117;2542;584211;0.43511676431974067
101:1462482-1475809;Li;13107;117;2564;584923;0.4383482954166617
101:1462482-1475809;Mu;13107;117;2297;585475;0.3923310132798155
101:1462482-1475809;all;13107;117;48793;10107317;0.48274927955658264
101:1574147-1576463;Fa;2240;40;950;100766;0.9427783180834806
101:1574147-1576463;Ga;2240;40;752;100800;0.746031746031746
101:1574147-1576463;Li;2240;40;829;100800;0.8224206349206349
101:1574147-1576463;Mu;2240;40;926;100426;0.9220719733933443
101:1574147-1576463;all;2240;40;15437;1745352;0.8844634205592912
101:1780925-1785578;Fa;4476;76;1922;197627;0.9725391773391288
