GENE;POP1;POP2;TOTAL_SITES;N_SITES;NUM_ALL;DENOM_ALL;DXY_ALL
102245:1230-12265;Fa;Ga;10878;115;3334;1066484;0.3126160354960787
102245:1230-12265;Fa;Li;10883;110;16920;1068576;1.5834156859221993
102245:1230-12265;Fa;Mu;10883;110;16872;1069272;1.5778959890467532
102245:1230-12265;Ga;Li;10893;100;17450;1080124;1.6155552510637667
102245:1230-12265;Ga;Mu;10893;100;17404;1081024;1.609955005624297
102245:1230-12265;Li;Mu;10929;64;400;1089652;0.03670896763370324
103:12177-14299;Fa;Ga;2081;18;1512;206884;0.7308443378898319
103:12177-14299;Fa;Li;2081;18;3326;206784;1.6084416589291242
103:12177-14299;Fa;Mu;2081;18;3602;207340;1.7372431754605961
103:12177-14299;Ga;Li;2081;18;3336;206604;1.6146831619910553
103:12177-14299;Ga;Mu;2081;18;3540;207192;1.708560176068574
103:12177-14299;Li;Mu;2081;18;3062;207076;1.4786841546099017
103:14918-17136;Fa;Ga;2030;53;1632;202432;0.8061966487511856
103:14918-17136;Fa;Li;2030;53;3278;202312;1.6202696824706395
103:14918-17136;Fa;Mu;2030;53;3476;202284;1.7183761444306025
103:14918-17136;Ga;Li;2030;53;3426;202288;1.6936249307917424
103:14918-17136;Ga;Mu;2030;53;3608;202264;1.7838073013487323
103:14918-17136;Li;Mu;2030;53;2128;202204;1.0524025241834978
103:38917-58751;Fa;Ga;19074;426;7648;1878236;0.4071905766900432
103:38917-58751;Fa;Li;19030;470;22936;1863176;1.2310162861694225
103:38917-58751;Fa;Mu;19101;399;21900;1864080;1.1748422814471482
103:38917-58751;Ga;Li;18994;506;23978;1861376;1.2881868037408886
103:38917-58751;Ga;Mu;19062;438;22774;1862216;1.22295158026781
103:38917-58751;Li;Mu;19024;476;13192;1858508;0.709816691668801
10479:1113-5244;Fa;Ga;4021;102;4040;394728;1.0234895928335461
10479:1113-5244;Fa;Li;4021;102;7994;392900;2.034614405701196
10479:1113-5244;Fa;Mu;4021;102;7762;391688;1.9816792957660179
10479:1113-5244;Ga;Li;4050;73;7096;395956;1.7921183161765448
10479:1113-5244;Ga;Mu;4050;73;7018;394496;1.7789787475665153
10479:1113-5244;Li;Mu;4050;73;5532;394548;1.4021107697922686
104:745-1645;Fa;Ga;896;5;190;88324;0.21511706897332547
104:745-1645;Fa;Li;896;5;1120;89040;1.2578616352201257
104:745-1645;Fa;Mu;896;5;1016;88940;1.1423431526872048
104:745-1645;Ga;Li;896;5;1030;88000;1.1704545454545454
104:745-1645;Ga;Mu;896;5;950;87900;1.080773606370876
104:745-1645;Li;Mu;896;5;150;88628;0.16924673917949182
105:6788-10209;Fa;Ga;3189;100;1776;316444;0.5612367433100327
105:6788-10209;Fa;Li;3084;205;5330;301740;1.7664214224166501
105:6788-10209;Fa;Mu;3189;100;5304;302872;1.7512348450830715
105:6788-10209;Ga;Li;3084;205;5466;302132;1.809143023579098
105:6788-10209;Ga;Mu;3189;100;5448;303280;1.7963597995251912
105:6788-10209;Li;Mu;3084;205;3746;299120;1.2523401979138806
109059:924-3027;Fa;Ga;2095;7;568;208460;0.2724743356039528
109059:924-3027;Fa;Li;2095;7;2660;209000;1.2727272727272727
109059:924-3027;Fa;Mu;2095;7;2800;208720;1.3415101571483328
109059:924-3027;Ga;Li;2095;7;2744;208680;1.3149319532298256
109059:924-3027;Ga;Mu;2095;7;2882;208400;1.3829174664107486
109059:924-3027;Li;Mu;2095;7;800;208940;0.38288503876711016
109499:5277-7857;Fa;Ga;2094;485;390;201628;0.19342551629733964
109499:5277-7857;Fa;Li;2097;482;3480;203560;1.7095696600510906
109499:5277-7857;Fa;Mu;2097;482;3490;203680;1.7134721131186175
109499:5277-7857;Ga;Li;2118;461;3620;205280;1.7634450506625097
109499:5277-7857;Ga;Mu;2118;461;3630;205400;1.7672833495618305
109499:5277-7857;Li;Mu;2565;14;46;255780;0.017984205176323403
109563:422-3519;Fa;Ga;3078;17;1904;307536;0.6191145101711669
109563:422-3519;Fa;Li;3078;17;6922;307260;2.252815205363536
109563:422-3519;Fa;Mu;3078;17;6914;307400;2.2491867273910215
109563:422-3519;Ga;Li;3078;17;7590;307180;2.4708639885409207
109563:422-3519;Ga;Mu;3078;17;7580;307316;2.4665165497403323
109563:422-3519;Li;Mu;3078;17;64;307080;0.020841474534323303
109579:2-2773;Fa;Ga;2757;15;652;269272;0.24213434742565138
109579:2-2773;Fa;Li;2757;15;1840;270000;0.6814814814814815
109579:2-2773;Fa;Mu;2757;15;1678;269060;0.6236527168661266
109579:2-2773;Ga;Li;2757;15;1924;271404;0.7089062799369206
109579:2-2773;Ga;Mu;2757;15;1700;270392;0.628716825941596
109579:2-2773;Li;Mu;2757;15;1172;271280;0.43202595104688885
109964:6669-10413;Fa;Ga;3700;19;1612;368560;0.4373779031907966
109964:6669-10413;Fa;Li;3700;19;6140;369380;1.662244842709405
109964:6669-10413;Fa;Mu;3700;19;6114;368820;1.6577192126240443
109964:6669-10413;Ga;Li;3700;19;6070;368780;1.6459677856716741
109964:6669-10413;Ga;Mu;3700;19;6040;368220;1.640323719515507
109964:6669-10413;Li;Mu;3700;19;96;369040;0.026013440277476697
110138:598-4019;Fa;Ga;3291;57;2688;327684;0.8203024865419123
110138:598-4019;Fa;Li;3291;57;5636;328004;1.7182717283935562
110138:598-4019;Fa;Mu;3291;57;5736;327820;1.7497407113659935
110138:598-4019;Ga;Li;3291;57;6900;328560;2.100073046018992
110138:598-4019;Ga;Mu;3291;57;6906;328380;2.103051342956331
110138:598-4019;Li;Mu;3291;57;1978;328776;0.6016254227802516
110163:57-1223;Fa;Ga;1163;4;484;115480;0.41912019397298234
