GENE;POP1;POP2;TOTAL_SITES;N_SITES;NUM_ALL;DENOM_ALL;DXY_ALL
100:711255-718601;Fa;Ga;7039;58;1552;702856;0.22081336717620678
100:711255-718601;Fa;Li;7039;58;1380;703348;0.19620443933870574
100:711255-718601;Fa;Mu;7039;58;6946;698660;0.9941888758480519
100:711255-718601;Ga;Li;7039;58;1496;702840;0.21285071993625862
100:711255-718601;Ga;Mu;7039;58;6990;698128;1.0012490546146267
100:711255-718601;Li;Mu;7039;58;6908;698640;0.9887781976411314
101:385125-405253;Fa;Ga;19530;334;4122;1895116;0.2175064745377064
101:385125-405253;Fa;Li;19544;320;3838;1897276;0.202290020007632
101:385125-405253;Fa;Mu;19542;322;17220;1849584;0.9310201645342953
101:385125-405253;Ga;Li;19530;334;3678;1889004;0.19470578145943576
101:385125-405253;Ga;Mu;19535;329;17126;1839180;0.9311758501071129
101:385125-405253;Li;Mu;19540;324;17018;1839904;0.9249395620641077
101:439160-441453;Fa;Ga;2266;8;316;225840;0.13992206872121857
101:439160-441453;Fa;Li;2266;8;270;226400;0.11925795053003534
101:439160-441453;Fa;Mu;2266;8;1890;226440;0.834658187599364
101:439160-441453;Ga;Li;2266;8;310;225880;0.137241012927218
101:439160-441453;Ga;Mu;2266;8;1950;225920;0.8631373937677054
101:439160-441453;Li;Mu;2266;8;1906;226480;0.8415754150476863
102:1070927-1127422;Fa;Ga;54949;869;11426;5425852;0.21058443908901311
102:1070927-1127422;Fa;Li;54930;888;11768;5428280;0.21679058559985853
102:1070927-1127422;Fa;Mu;54857;961;54010;5317772;1.0156509154585793
102:1070927-1127422;Ga;Li;54972;846;11176;5425164;0.20600298903406422
102:1070927-1127422;Ga;Mu;54885;933;53580;5313928;1.0082936765420984
102:1070927-1127422;Li;Mu;54891;927;54006;5315940;1.0159256876488447
102:1154078-1167114;Fa;Ga;12859;92;2084;1283040;0.16242673650081058
102:1154078-1167114;Fa;Li;12859;92;2210;1284456;0.1720572756092852
102:1154078-1167114;Fa;Mu;12859;92;9996;1260212;0.7931998743068627
102:1154078-1167114;Ga;Li;12859;92;2096;1282524;0.16342774092336673
102:1154078-1167114;Ga;Mu;12859;92;9960;1258616;0.7913454143281191
102:1154078-1167114;Li;Mu;12859;92;10180;1259648;0.8081622802560715
102:1171601-1177397;Fa;Ga;5691;62;1588;564236;0.28144251696098793
102:1171601-1177397;Fa;Li;5691;62;1360;555428;0.24485621898787963
102:1171601-1177397;Fa;Mu;5691;62;5406;563144;0.9599676104158084
102:1171601-1177397;Ga;Li;5692;61;1616;556284;0.2904990975832488
102:1171601-1177397;Ga;Mu;5693;60;5498;564384;0.9741594375460679
102:1171601-1177397;Li;Mu;5692;61;5240;555284;0.9436612616246821
102:124113-146163;Fa;Ga;21716;156;3390;2158976;0.15701888302602715
102:124113-146163;Fa;Li;21717;155;3434;2155736;0.15929594347359788
102:124113-146163;Fa;Mu;21718;154;17600;2119732;0.8302936408942263
102:124113-146163;Ga;Li;21716;156;3496;2155440;0.162194261960435
102:124113-146163;Ga;Mu;21717;155;17654;2120040;0.8327201373558989
102:124113-146163;Li;Mu;21723;149;17676;2116728;0.8350624170890166
102:1435734-1436858;Fa;Ga;1125;0;82;112300;0.0730186999109528
102:1435734-1436858;Fa;Li;1125;0;70;112260;0.062355246748619274
102:1435734-1436858;Fa;Mu;1125;0;226;112120;0.20156974669996433
102:1435734-1436858;Ga;Li;1125;0;62;112184;0.055266348142337586
102:1435734-1436858;Ga;Mu;1125;0;216;112040;0.19278828989646554
102:1435734-1436858;Li;Mu;1125;0;170;112000;0.15178571428571427
102:1468267-1471672;Fa;Ga;3371;18;378;333108;0.11347671025613315
102:1468267-1471672;Fa;Li;3371;18;424;332572;0.12749118987768063
102:1468267-1471672;Fa;Mu;3371;18;3514;330964;1.0617468969434742
