GENE;POP1;POP2;TOTAL_SITES;N_SITES;NUM_ALL;DENOM_ALL;DXY_ALL
1000:563919-580990;Fa;Ga;16701;194;6956;1642920;0.4233924962870986
1000:563919-580990;Fa;Li;16701;194;7396;1640612;0.45080738163563355
1000:563919-580990;Fa;Mu;16701;194;7782;1642196;0.47387766137537785
1000:563919-580990;Ga;Li;16701;194;6554;1648808;0.3974992843314685
1000:563919-580990;Ga;Mu;16701;194;7002;1651004;0.4241055745473663
1000:563919-580990;Li;Mu;16701;194;7576;1648044;0.45969646441478507
1006:45221-45835;Fa;Ga;614;1;356;61400;0.5798045602605864
1006:45221-45835;Fa;Li;614;1;432;61380;0.7038123167155426
1006:45221-45835;Fa;Mu;614;1;346;61400;0.5635179153094463
1006:45221-45835;Ga;Li;614;1;438;61380;0.7135874877810362
1006:45221-45835;Ga;Mu;614;1;414;61400;0.6742671009771987
1006:45221-45835;Li;Mu;614;1;436;61380;0.7103290974258716
100:1201267-1206211;Fa;Ga;4856;28;2822;483756;0.5833519377537436
100:1201267-1206211;Fa;Li;4856;28;3032;482836;0.6279564904025383
100:1201267-1206211;Fa;Mu;4856;28;2846;484800;0.5870462046204621
100:1201267-1206211;Ga;Li;4856;28;2630;481732;0.545946708958508
100:1201267-1206211;Ga;Mu;4856;28;2380;483700;0.492040520984081
100:1201267-1206211;Li;Mu;4856;28;2480;482820;0.5136489789155378
100:1328687-1333006;Fa;Ga;4247;35;2914;417508;0.697950697950698
100:1328687-1333006;Fa;Li;4247;35;2948;419408;0.702895509861519
100:1328687-1333006;Fa;Mu;4247;35;2626;419612;0.6258162302317379
100:1328687-1333006;Ga;Li;4247;35;3082;418820;0.7358769877274247
100:1328687-1333006;Ga;Mu;4247;35;2732;418832;0.6522901784008863
100:1328687-1333006;Li;Mu;4247;35;2956;420828;0.7024247436007109
100:2561998-2563781;Fa;Ga;1772;11;402;174992;0.22972478741885344
100:2561998-2563781;Fa;Li;1772;11;418;175464;0.2382255049468837
100:2561998-2563781;Fa;Mu;1772;11;346;173876;0.19899238537808553
100:2561998-2563781;Ga;Li;1772;11;416;176472;0.23573144748175348
100:2561998-2563781;Ga;Mu;1772;11;358;174744;0.2048711257611134
100:2561998-2563781;Li;Mu;1772;11;312;175180;0.1781025231190775
100:2586513-2594595;Fa;Ga;7927;110;7058;782572;0.9018978445433775
100:2586513-2594595;Fa;Li;7908;129;6882;783304;0.878586091734499
100:2586513-2594595;Fa;Mu;7921;116;6578;783696;0.839356076846124
100:2586513-2594595;Ga;Li;7908;129;5856;782964;0.7479271077597437
100:2586513-2594595;Ga;Mu;7924;113;6046;783432;0.7717325817684241
100:2586513-2594595;Li;Mu;7908;129;5870;784092;0.7486366395780087
100:2595070-2598681;Fa;Ga;3540;40;2526;351780;0.7180624253794986
100:2595070-2598681;Fa;Li;3540;40;2554;352804;0.7239146948447297
100:2595070-2598681;Fa;Mu;3540;40;2446;352504;0.693892835258607
100:2595070-2598681;Ga;Li;3540;40;2510;352584;0.7118870964082318
100:2595070-2598681;Ga;Mu;3540;40;2354;352268;0.668241225430638
100:2595070-2598681;Li;Mu;3540;40;2426;353300;0.6866685536371355
100:326929-338618;Fa;Ga;11550;85;4480;1136916;0.394048460924114
100:326929-338618;Fa;Li;11550;85;4168;1137596;0.36638666099388534
100:326929-338618;Fa;Mu;11550;85;4076;1135840;0.35885335962811665
100:326929-338618;Ga;Li;11550;85;3496;1143352;0.3057676026280621
100:326929-338618;Ga;Mu;11550;85;3470;1141388;0.304015812326746
100:326929-338618;Li;Mu;11550;85;3234;1142208;0.28313582114641117
100:508218-514800;Fa;Ga;6521;44;2940;649224;0.45284832353702265
100:508218-514800;Fa;Li;6521;44;3022;645540;0.46813520463487934
100:508218-514800;Fa;Mu;6521;44;2870;650260;0.44136191677175285
