GENE;POP;TOTAL_SITES;N_SITES;NUM_ALL;DENOM_ALL;PI_ALL
1001:33847-34830;Fa;984;0;55;44229;0.12435280019896448
1001:33847-34830;Ga;984;0;98;44195;0.22174454123769657
1001:33847-34830;Li;984;0;87;44195;0.19685484783346532
1001:33847-34830;Mu;984;0;68;44263;0.15362718297449338
1001:33847-34830;all;984;0;2394;766442;0.3123524023996597
1003:18983-37527;Fa;13252;5212;3357;575639;0.5831779987109977
1003:18983-37527;Ga;13183;5281;3304;561119;0.5888234046610433
1003:18983-37527;Li;13243;5221;2893;582054;0.49703292134406774
1003:18983-37527;Mu;13253;5211;3057;577598;0.5292608353907042
1003:18983-37527;all;13261;5203;91819;9923766;0.9252435013078704
1003:2877-17692;Fa;14040;707;4188;621471;0.6738850244017822
1003:2877-17692;Ga;14050;697;3516;619733;0.567341096891726
1003:2877-17692;Li;14103;644;3630;618705;0.5867093364365893
1003:2877-17692;Mu;14111;636;3944;622210;0.6338695938670224
1003:2877-17692;all;14111;636;107868;10737659;1.0045765096470283
1004:287-6857;Fa;6372;149;1613;275060;0.5864175089071475
1004:287-6857;Ga;6395;126;1803;264774;0.6809581001155702
1004:287-6857;Li;6405;116;1833;277563;0.6603906140227624
1004:287-6857;Mu;6430;91;1573;277785;0.5662652771027953
1004:287-6857;all;6434;87;38664;4732798;0.8169374648991992
1004:59241-73242;Fa;13784;168;2482;591858;0.41935734584984913
1004:59241-73242;Ga;13779;173;2197;586652;0.3744979988136067
1004:59241-73242;Li;13809;143;2596;598851;0.4334968130636836
1004:59241-73242;Mu;13777;175;2751;598323;0.4597850993526908
1004:59241-73242;all;13819;133;57500;10265896;0.5601069794589776
1009:42964-48867;Fa;5846;49;809;259787;0.3114089619572958
1009:42964-48867;Ga;5846;49;885;259175;0.34146811999614163
1009:42964-48867;Li;5846;49;866;258245;0.335340471257914
1009:42964-48867;Mu;5842;53;771;260314;0.2961807663053082
1009:42964-48867;all;5846;49;26733;4489809;0.5954150833587798
1015:7110-14621;Fa;7442;63;548;331415;0.16535159844907443
1015:7110-14621;Ga;7459;46;642;324913;0.19759135522432159
1015:7110-14621;Li;7459;46;985;327953;0.3003479157074337
1015:7110-14621;Mu;7433;72;542;327086;0.16570565539338278
1015:7110-14621;all;7459;46;25107;5677635;0.4422087717861398
1019:2566-25660;Fa;22839;143;1980;1023316;0.19348861935120726
1019:2566-25660;Ga;22850;132;2083;1016631;0.20489243393128873
1019:2566-25660;Li;22854;128;1793;1013302;0.17694626083832857
1019:2566-25660;Mu;22848;134;1751;1015503;0.17242686629187703
1019:2566-25660;all;22858;124;81293;17615348;0.4614896055417128
1019:29805-78067;Fa;47186;893;5704;2083310;0.27379506650474483
1019:29805-78067;Ga;47143;936;6570;2052328;0.3201242686354228
1019:29805-78067;Li;47224;855;4367;2083185;0.2096309257219114
1019:29805-78067;Mu;47215;864;3913;2094407;0.1868309263672247
1019:29805-78067;all;47240;839;237174;35958446;0.659578002898123
101:39490-41702;Fa;2203;10;500;98807;0.5060370216685053
101:39490-41702;Ga;2203;10;461;98930;0.4659860507429496
101:39490-41702;Li;2203;10;617;98591;0.6258177724133035
101:39490-41702;Mu;2203;10;568;98931;0.5741375301978147
101:39490-41702;all;2203;10;11744;1712359;0.6858374908532615
101:8594-13605;Fa;4949;39;984;220533;0.44619172640829263
101:8594-13605;Ga;4949;39;872;220988;0.39459156153275293
101:8594-13605;Li;4949;39;954;219276;0.4350681333114431
101:8594-13605;Mu;4949;39;931;222450;0.4185210159586424
101:8594-13605;all;4949;39;28987;3825967;0.7576385264169816
1028:2227-8810;Fa;6485;86;732;288576;0.2536593479707252
1028:2227-8810;Ga;6482;89;939;288232;0.32577923339532044
1028:2227-8810;Li;6491;80;986;287233;0.3432753200363468
1028:2227-8810;Mu;6508;63;1059;289447;0.3658700902064972
1028:2227-8810;all;6508;63;32026;4993384;0.6413686590096015
1029:36302-41275;Fa;4764;146;1078;196651;0.5481792617377994
1029:36302-41275;Ga;4817;93;973;195174;0.4985295172512732
1029:36302-41275;Li;4822;88;1688;204269;0.8263613176742433
1029:36302-41275;Mu;4820;90;1901;206925;0.9186903467439894
1029:36302-41275;all;4822;88;31598;3456255;0.914226525531247
102:23567-25989;Fa;2370;37;557;103993;0.5356129739501697
102:23567-25989;Ga;2370;37;606;103703;0.5843611081646626
102:23567-25989;Li;2370;37;796;103722;0.767436030928829
102:23567-25989;Mu;2370;37;756;104865;0.7209269060220284
102:23567-25989;all;2370;37;15597;1802091;0.8654945837918285
1039:30966-39128;Fa;7959;170;1134;346343;0.3274210825684365
1039:30966-39128;Ga;7975;154;1065;339315;0.3138676451085275
1039:30966-39128;Li;7987;142;629;341100;0.18440340076223982
1039:30966-39128;Mu;8008;121;661;347407;0.19026674764757187
1039:30966-39128;all;8013;116;33617;5937461;0.5661847715715522
104052:906-2132;Fa;1227;0;42;55134;0.07617803895962563
104052:906-2132;Ga;1227;0;76;54875;0.13849658314350796
104052:906-2132;Li;1227;0;57;54153;0.10525732646390781
104052:906-2132;Mu;1227;0;42;54909;0.07649019286455773
104052:906-2132;all;1227;0;5201;948803;0.5481643713183875
1040:41364-41474;Fa;111;0;16;4995;0.3203203203203203
1040:41364-41474;Ga;111;0;0;4689;0.0
1040:41364-41474;Li;111;0;0;4893;0.0
1040:41364-41474;Mu;111;0;0;4995;0.0
1040:41364-41474;all;111;0;76;84732;0.08969456639758297
1040:44456-53286;Fa;8647;119;1982;381796;0.519125396808767
1040:44456-53286;Ga;8651;115;1762;380672;0.4628656691324815
1040:44456-53286;Li;8658;108;2069;382076;0.5415153006208189
1040:44456-53286;Mu;8658;108;2162;384504;0.5622828371096269
1040:44456-53286;all;8658;108;53261;6619632;0.8045915543341382
1044:1175-5635;Fa;4315;65;733;192288;0.38119903478116157
1044:1175-5635;Ga;4315;65;800;190862;0.41915100962999446
1044:1175-5635;Li;4304;76;555;187068;0.2966835589197511
1044:1175-5635;Mu;4315;65;531;188072;0.2823386788038624
1044:1175-5635;all;4315;65;28201;3277330;0.8604870428061867
1048:486-13453;Fa;12575;333;2686;555476;0.48354924425177687
1048:486-13453;Ga;12582;326;2569;547822;0.46894794294497116
