GENE;POP1;POP2;TOTAL_SITES;N_SITES;NUM_ALL;DENOM_ALL;DXY_ALL
100077:7670-8484;Fa;Ga;762;47;158;67652;0.23354815822148642
100077:7670-8484;Fa;Li;778;31;220;68240;0.3223915592028136
100077:7670-8484;Fa;Mu;768;41;176;67644;0.26018567796109043
100077:7670-8484;Ga;Li;764;45;172;67696;0.25407705034270855
100077:7670-8484;Ga;Mu;756;53;116;67300;0.1723625557206538
100077:7670-8484;Li;Mu;770;39;196;67960;0.28840494408475575
100170:4242-5498;Fa;Ga;1255;2;158;125340;0.1260571246210308
100170:4242-5498;Fa;Li;1255;2;180;125200;0.14376996805111822
100170:4242-5498;Fa;Mu;1255;2;152;125300;0.12130885873902633
100170:4242-5498;Ga;Li;1255;2;208;125056;0.16632548618219037
100170:4242-5498;Ga;Mu;1255;2;188;125160;0.15020773410035154
100170:4242-5498;Li;Mu;1255;2;192;125036;0.15355577593653028
100202:3406-4887;Fa;Ga;1453;21;224;144064;0.15548645046645934
100202:3406-4887;Fa;Li;1453;21;238;143992;0.16528696038668814
100202:3406-4887;Fa;Mu;1453;21;212;144180;0.14703842419198224
100202:3406-4887;Ga;Li;1453;21;284;144544;0.19647996457825992
100202:3406-4887;Ga;Mu;1453;21;258;144704;0.17829500221141087
100202:3406-4887;Li;Mu;1453;21;278;144608;0.19224385926089843
100240:2356-6367;Fa;Ga;3790;182;1416;335656;0.42186047620182565
100240:2356-6367;Fa;Li;3749;223;2044;278120;0.7349345606213146
100240:2356-6367;Fa;Mu;3598;374;1620;289316;0.5599413789766208
100240:2356-6367;Ga;Li;3743;229;1944;274956;0.7070222144634051
100240:2356-6367;Ga;Mu;3598;374;1786;286896;0.6225252356254531
100240:2356-6367;Li;Mu;3561;411;1526;254356;0.5999465316328296
100244:3462-6354;Fa;Ga;2726;115;4080;265940;1.5341806422501316
100244:3462-6354;Fa;Li;2726;115;4340;265144;1.6368463929034789
100244:3462-6354;Fa;Mu;2726;115;4132;265228;1.5579048969188773
100244:3462-6354;Ga;Li;2726;115;4196;266224;1.5761163531462228
100244:3462-6354;Ga;Mu;2726;115;4146;266552;1.5554188300969416
100244:3462-6354;Li;Mu;2726;115;4220;265708;1.5882096135607509
100244:9553-12227;Fa;Ga;2568;94;2190;254764;0.8596190984597509
100244:9553-12227;Fa;Li;2568;94;2170;254436;0.8528667326950589
100244:9553-12227;Fa;Mu;2568;94;2250;253704;0.8868602781193832
100244:9553-12227;Ga;Li;2568;94;2320;254936;0.9100323218376377
100244:9553-12227;Ga;Mu;2568;94;2290;254252;0.9006812139137549
100244:9553-12227;Li;Mu;2568;94;2294;253864;0.9036334415277472
100363:8604-14405;Fa;Ga;5584;165;1178;546452;0.21557245650121146
100363:8604-14405;Fa;Li;5584;165;4820;546180;0.882492951041781
100363:8604-14405;Fa;Mu;5584;165;4756;547844;0.8681303436744767
100363:8604-14405;Ga;Li;5675;74;4556;552716;0.8242931270308802
100363:8604-14405;Ga;Mu;5675;74;4512;555544;0.8121768932793803
100363:8604-14405;Li;Mu;5716;33;2932;559644;0.5239044821350716
100537:8651-13465;Fa;Ga;4647;136;4664;443180;1.0523940611038405
100537:8651-13465;Fa;Li;4645;138;4498;439772;1.0228027250484342
100537:8651-13465;Fa;Mu;4640;143;4174;437396;0.9542839897941453
