GENE;POP;TOTAL_SITES;N_SITES;NUM_ALL;DENOM_ALL;PI_ALL
LG10:10227151-10229561;Fa;2406;5;164;107566;0.15246453340274807
LG10:10227151-10229561;Ga;2399;12;18;107040;0.016816143497757848
LG10:10231500-10234712;Fa;3210;3;388;144169;0.26912859213839313
LG10:10227151-10229561;Li;2407;4;34;106798;0.03183580216857994
LG10:10231500-10234712;Ga;3210;3;398;144399;0.2756251774596777
LG10:10227151-10229561;Mu;2401;10;49;34543;0.14185218423414295
LG10:10378987-10382313;Fa;3306;18;355;146962;0.2415590424735646
LG10:10322110-10329024;Fa;6895;11;348;309697;0.11236789507163453
LG10:10227151-10229561;all;2407;4;1221;1490147;0.08193822488653804
LG10:10231500-10234712;Li;3210;3;303;144305;0.20997193444440596
LG10:10415848-10418948;Fa;3098;3;333;139393;0.23889291427833537
LG10:10378987-10382313;Ga;3306;18;402;147002;0.2734656671337805
LG10:10231500-10234712;Mu;3210;3;95;47997;0.19792903723149363
LG10:10724390-10726162;Fa;1771;2;36;79661;0.04519149897691468
LG10:10415848-10418948;Ga;3098;3;282;139342;0.202379756283102
LG10:10378987-10382313;Li;3306;18;190;148438;0.1279995688435576
LG10:10724390-10726162;Ga;1771;2;41;79661;0.051468096057041716
LG10:10322110-10329024;Ga;6895;11;202;310275;0.06510353718475546
LG10:10231500-10234712;all;3210;3;5586;2019262;0.2766357213675095
LG10:10378987-10382313;Mu;3306;18;107;48459;0.22080521678119647
LG10:10415848-10418948;Li;3098;3;112;139342;0.08037777554506179
LG10:10724390-10726162;Li;1771;2;105;79627;0.1318648197219536
LG10:10724390-10726162;Mu;1771;2;29;26196;0.1107039242632463
LG10:10378987-10382313;all;3306;18;4470;2058841;0.21711244336012347
LG10:10415848-10418948;Mu;3098;3;103;46335;0.2222941620805007
LG10:10724390-10726162;all;1771;2;1039;1112357;0.093405264676718
LG10:10322110-10329024;Li;6895;11;561;309806;0.18108106363337056
LG10:10415848-10418948;all;3098;3;4134;1950084;0.21199086808568246
LG10:10755602-10760188;Fa;4568;9;489;205390;0.23808364574711524
LG10:10322110-10329024;Mu;6895;11;170;103010;0.1650325211144549
LG10:10810046-10813485;Fa;3439;1;103;154568;0.06663733761192485
LG10:10755602-10760188;Ga;4568;9;464;205526;0.22576219067173983
LG10:10810046-10813485;Ga;3439;1;170;154572;0.10998110912713817
LG10:10796726-10808669;Fa;11925;19;582;536455;0.1084899945009367
LG10:10755602-10760188;Li;4568;9;343;205368;0.16701725682676952
LG10:10322110-10329024;all;6895;11;6499;4336392;0.14987113711122058
LG10:10810046-10813485;Li;3439;1;169;154687;0.10925287839314228
LG10:10755602-10760188;Mu;4568;9;31;66810;0.04640023948510702
LG10:10810046-10813485;Mu;3439;1;45;51423;0.08750948019368765
LG10:10810046-10813485;all;3439;1;2093;2163558;0.09673879785057761
LG10:10755602-10760188;all;4568;9;5175;2863090;0.18074877143226376
LG10:10796726-10808669;Ga;11925;19;329;536195;0.06135827450834118
LG10:10969014-10971146;Fa;2091;8;237;93555;0.25332691999358664
LG10:10969014-10971146;Ga;2091;8;268;94078;0.28487000148812686
LG10:10969014-10971146;Li;2091;8;118;93276;0.12650628243063597
LG10:10969014-10971146;Mu;2091;8;80;30884;0.25903380391141045
LG10:10969014-10971146;all;2091;8;3409;1307633;0.2607000588085495
