GENE;POP;TOTAL_SITES;N_SITES;NUM_ALL;DENOM_ALL;PI_ALL
102:54819-57344;Fa;2485;14;798;111293;0.7170262280646581
102:54819-57344;Ga;2485;14;169;110977;0.1522838065545113
102:54819-57344;Li;2485;14;829;110264;0.7518319669157658
102:54819-57344;Mu;2485;14;93;104048;0.08938182377364294
102:54819-57344;all;2485;14;13571;1888122;0.7187565210298911
106112:122-1201;Fa;1041;20;493;43835;1.124672065700924
106112:122-1201;Ga;1041;20;51;40127;0.1270964687118399
106112:122-1201;Li;1041;20;540;45572;1.184938119898183
106112:122-1201;Mu;1041;20;60;43032;0.13943112102621305
106112:122-1201;all;1041;20;8878;744874;1.1918794319576196
106112:6735-10778;Fa;3886;69;2880;161803;1.7799422754831493
106112:6735-10778;Ga;3886;69;333;167197;0.19916625298300808
106112:6735-10778;Li;3886;69;3163;169155;1.8698826520055571
106112:6735-10778;Mu;3886;69;409;156152;0.26192427890773096
106112:6735-10778;all;3886;69;56749;2826115;2.0080216127086126
112:32540-36163;Fa;3075;461;2342;133721;1.7514077818742007
112:32540-36163;Ga;3450;86;548;151619;0.3614322743191816
112:32540-36163;Li;3450;86;2186;136619;1.6000702684106896
112:32540-36163;Mu;3450;86;285;149457;0.19069029888195266
112:32540-36163;all;3450;86;39627;2424600;1.6343726800296956
124:149-30164;Fa;22395;6712;11541;584360;1.974981175987405
124:149-30164;Ga;27212;1895;6202;1081265;0.5735874184404378
124:149-30164;Li;27158;1949;13129;706176;1.8591682526735545
124:149-30164;Mu;27106;2001;2659;964804;0.2756000182420471
124:149-30164;all;27704;1403;225557;13438865;1.6783932274042488
134:44688-46583;Fa;1851;32;999;81648;1.2235449735449735
134:44688-46583;Ga;1851;32;432;83027;0.5203126693726138
134:44688-46583;Li;1851;32;1113;78723;1.4138180709576618
134:44688-46583;Mu;1851;32;64;79349;0.08065634097468147
134:44688-46583;all;1851;32;20706;1396787;1.4824021128489884
135:13930-23242;Fa;7714;1395;4845;318211;1.5225746438683767
135:13930-23242;Ga;8736;373;558;383940;0.14533520862634786
135:13930-23242;Li;8762;347;4521;332256;1.360697775209477
135:13930-23242;Mu;8737;372;2339;320751;0.729226097502424
135:13930-23242;all;8763;346;86437;5698818;1.516753123191511
139042:43-973;Fa;846;14;407;37985;1.0714755824667632
139042:43-973;Ga;846;14;72;35351;0.2036717490311448
139042:43-973;Li;846;14;165;35119;0.46983114553375666
139042:43-973;Mu;846;14;0;30760;0.0
139042:43-973;all;846;14;4466;600759;0.7433929412626361
146470:274-3304;Fa;1601;1365;187;22183;0.8429878735968985
146470:274-3304;Ga;1498;1468;464;29143;1.5921490580928526
146470:274-3304;Li;1199;1767;98;8461;1.1582555253516134
146470:274-3304;Mu;556;2410;74;5191;1.4255442111346561
146470:274-3304;all;1860;1106;3507;204778;1.71258631298284
154:70186-73729;Fa;3353;162;1132;148231;0.7636729159217708
154:70186-73729;Ga;3361;154;223;146040;0.1526978909887702
154:70186-73729;Li;3348;167;1294;147999;0.8743302319610268
154:70186-73729;Mu;3342;173;111;134417;0.08257884047404718
154:70186-73729;all;3363;152;21816;2494247;0.874652750910395
161194:4707-7581;Fa;2611;95;1878;108140;1.7366376918808952
161194:4707-7581;Ga;2611;95;481;114582;0.41978670297254367
161194:4707-7581;Li;2611;95;1703;94634;1.7995646385020183
