GENE;POP;TOTAL_SITES;N_SITES;NUM_ALL;DENOM_ALL;PI_ALL
1000:152675-156624;Fa;3873;21;83;174024;0.0476945708637889
1000:152675-156624;Ga;3882;12;193;174485;0.11061122732613118
1000:152675-156624;Li;3882;12;334;174367;0.19155000659528465
1000:152675-156624;Mu;3882;12;344;174058;0.19763527100162015
1000:152675-156624;all;3882;12;4652;3018982;0.15409167726074552
1002:114754-123887;Fa;8835;139;2069;376605;0.549381978465501
1002:114754-123887;Ga;8448;526;81;376787;0.021497556975161033
1002:114754-123887;Li;8898;76;825;398765;0.2068887690745176
1002:114754-123887;Mu;8899;75;1919;383795;0.5000065138941362
1002:114754-123887;all;8899;75;33890;6599136;0.5135520771203987
1002:92060-106155;Fa;13859;73;2683;619647;0.432988459558426
1002:92060-106155;Ga;13858;74;610;617616;0.09876687132457708
1002:92060-106155;Li;13859;73;2667;621376;0.42920872386445563
1002:92060-106155;Mu;13859;73;2394;618100;0.3873159682899207
1002:92060-106155;all;13859;73;49014;10728567;0.4568550487683956
1008:7849-12814;Fa;4716;148;1728;209466;0.8249548852797113
1008:7849-12814;Ga;4716;148;1075;207977;0.5168840785279142
1008:7849-12814;Li;4714;150;1508;207969;0.7251080689910515
1008:7849-12814;Mu;4715;149;1844;207568;0.8883835658675711
1008:7849-12814;all;4716;148;28785;3605224;0.7984247303357572
1012:287-73207;Fa;68811;3267;19266;3001550;0.6418683680098616
1012:287-73207;Ga;68658;3420;11294;2955146;0.3821807788853749
1012:287-73207;Li;68641;3437;16450;2975596;0.5528304245603234
1012:287-73207;Mu;68800;3278;18626;2959347;0.6293956065307651
1012:287-73207;all;69101;2977;325206;51363315;0.6331483861584869
1014:34801-41517;Fa;6518;157;1377;291468;0.4724360821771172
1014:34801-41517;Ga;6511;164;1110;289142;0.3838944186593439
1014:34801-41517;Li;6515;160;1293;291237;0.44396831446553836
1014:34801-41517;Mu;6518;157;1668;291235;0.5727333596580081
1014:34801-41517;all;6518;157;27390;5037422;0.5437305034202018
1019:30343-33231;Fa;2740;82;863;118589;0.7277234819418327
1019:30343-33231;Ga;2732;90;512;116110;0.4409611575230385
1019:30343-33231;Li;2735;87;777;118199;0.6573659675631773
1019:30343-33231;Mu;2740;82;904;117866;0.7669726638725333
1019:30343-33231;all;2740;82;15754;2032660;0.7750435390079994
1020:62855-68377;Fa;5472;29;550;244619;0.22483944419689395
1020:62855-68377;Ga;5472;29;247;242622;0.10180445301745102
1020:62855-68377;Li;5472;29;333;244244;0.13633907076530027
1020:62855-68377;Mu;5472;29;359;245934;0.1459741231387283
1020:62855-68377;all;5472;29;7899;4234135;0.18655522320379486
1020:76141-94264;Fa;17724;144;2545;794664;0.32026114181591214
