SPECIES,ID,STATUS,CHROM,START,END,STRAND,SCORE,LENGTH,NVARIANTS,NMISSING,NCALL,NHOM,NHOM_REF,NHET,QUAL,DP,FST_HUDSON_LI_MU,FST_HUDSON_SE_LI_MU,FST_HUDSON_LI_FA,FST_HUDSON_SE_LI_FA,FST_HUDSON_LI_GA,FST_HUDSON_SE_LI_GA,FST_HUDSON_MU_FA,FST_HUDSON_SE_MU_FA,FST_HUDSON_MU_GA,FST_HUDSON_SE_MU_GA,FST_HUDSON_FA_GA,FST_HUDSON_SE_FA_GA,FST_WEIRANDCOCKERHAM_LI_MU,FST_WEIRANDCOCKERHAM_SE_LI_MU,FST_WEIRANDCOCKERHAM_LI_FA,FST_WEIRANDCOCKERHAM_SE_LI_FA,FST_WEIRANDCOCKERHAM_LI_GA,FST_WEIRANDCOCKERHAM_SE_LI_GA,FST_WEIRANDCOCKERHAM_MU_FA,FST_WEIRANDCOCKERHAM_SE_MU_FA,FST_WEIRANDCOCKERHAM_MU_GA,FST_WEIRANDCOCKERHAM_SE_MU_GA,FST_WEIRANDCOCKERHAM_FA_GA,FST_WEIRANDCOCKERHAM_SE_FA_GA,F3_LI_MU_FA,F3_SE_LI_MU_FA,F3_Z_LI_MU_GA,F3_LI_MU_GA,F3_SE_LI_MU_GA,F3_LI_FA_GA,F3_SE_LI_FA_GA,F3_Z_LI_FA_GA,F3_MU_LI_GA,F3_SE_MU_LI_GA,F3_Z_MU_LI_GA,F3_MU_LI_FA,F3_SE_MU_LI_FA,F3_Z_MU_LI_FA,F3_MU_FA_GA,F3_SE_MU_FA_GA,F3_Z_MU_FA_GA,F3_FA_LI_MU,F3_SE_FA_LI_MU,F3_Z_FA_LI_MU,F3_FA_LI_GA,F3_SE_FA_LI_GA,F3_Z_FA_LI_GA,F3_FA_MU_GA,F3_SE_FA_MU_GA,F3_Z_FA_MU_GA,F3_GA_LI_MU,F3_SE_GA_LI_MU,F3_Z_GA_LI_MU,F3_GA_LI_FA,F3_SE_GA_LI_FA,F3_Z_GA_LI_FA,F3_GA_MU_FA,F3_SE_GA_MU_FA,F3_Z_GA_MU_FA
Lmorm,64at7898,Complete,176133,555,39798,+,7456.3,4037,875,3,17497,16077,11094,1420,6097.3145,-1.0,-0.07178232243780226,0.004238330306710784,0.8809883558521372,0.006640458063488698,0.8759467008939406,0.007108825262809262,0.8777874339254732,0.00685898671778295,0.8728008488168382,0.0073111848226064735,0.002615376232768482,0.007859889934738275,-0.07367593078133193,0.005856317539741125,0.882920890785704,0.006513823267254172,0.8779110666814764,0.006988935159033925,0.8780790617865263,0.0068443731180164715,0.8731401288030202,0.007293479973631877,0.016438734631855204,0.007956573173940377,-0.01398978433598183,0.010125463756515555,-1.508617768233454,-0.015266742338251977,0.010119688803698018,12.05760499432463,1.2978245638415973,9.290627816932188,-0.05023474178403758,0.010478524288104642,-4.794066454669071,-0.05140845070422537,0.010451366153530232,-4.91882591701763,11.045305164319249,1.2094342201090569,9.132621667777247,5.350935550935551,0.38029026637891367,14.07066134478442,-0.009147609147609145,0.01600635046280817,-0.5714987416315936,-0.009714609714609709,0.01599972570326267,-0.6071735162702635,4.99402670414617,0.37297221146314824,13.389809081365323,0.011033028812368229,0.014639920507626207,0.7536262786823821,0.011560084328882636,0.014637636566390827,0.7897507412791971
Lmorm,131at7898,Complete,173290,177,38265,+,7571.2,3859,671,20,13400,12384,9070,1016,5315.775,-1.0,0.0621295398211014,0.009588600535485553,0.8760304425562887,0.008501059740806897,0.8842279356487744,0.008450436395317878,0.857043003065974,0.009703320555371672,0.8654437713487706,0.00958537758943564,0.053160141920740894,0.010061874949991237,0.07735208535402519,0.009694222575582393,0.8769807250879635,0.008387246733939572,0.8844480174594141,0.008402342673358067,0.860545074009728,0.009437981161346538,0.868191216522834,0.009390111620116923,0.065646003197213,0.010208635475900087,0.1613823933975241,0.0330163742374362,4.8766342039566535,0.16231086657496566,0.03328337943479026,9.567847317744155,1.027257573114346,9.313971070310268,-0.059546127281697094,0.02040014497151465,-2.9189070648685678,-0.05888011840157868,0.020286589693498606,-2.902415797389959,6.687863838184509,0.7135341803792233,9.372871015975853,5.503276036400404,0.5186068729040613,10.611652725663882,-0.02837209302325581,0.01697653499145599,-1.6712534706013338,-0.027826086956521737,0.01686164452080766,-1.6502593754828423,6.165437583296312,0.6413075085018263,9.613855290264008,0.09007107952021323,0.023272318545929874,3.8703096703687,0.08947134606841403,0.023152946833499558,3.8643610557149315
Lmorm,171at7898,Complete,143247,6222,29916,+,8445.6,3907,491,0,9820,8922,6580,898,5332.1562,-1.0,-0.06327555176660032,0.004321472482621304,0.8154794413669347,0.012262665624256623,0.86281179138322,0.010687276439366199,0.8140922255172296,0.012346275345772283,0.861405575186494,0.010791458402216693,0.25355313884573333,0.02211552206112396,-0.0624467178175618,0.004822706171572102,0.817332449091051,0.012113037259245897,0.8655808477237049,0.010436429972364561,0.8148509442796941,0.012289763381580268,0.8630742049469964,0.010652927607905824,0.2649533920248576,0.021361780690632094,-0.02195121951219514,0.01605891654839735,-1.2753006418887778,-0.021138211382113834,0.01657508095566171,8.31910569105691,1.1583116953102324,7.18209591143668,-0.03813708260105446,0.016643062974905396,-2.2914701854194743,-0.03734622144112476,0.01618375097553443,-2.3076369314865515,8.075702987697715,1.133524303418774,7.124419797035611,2.9939999999999998,0.26538688899779833,11.281642477917732,0.06271428571428571,0.03638896806082736,1.723442269905903,0.06299999999999999,0.03633763601634297,1.7337396404010854,4.863364394310937,0.513329610866625,9.474155184814679,0.33533594899460517,0.05832579561198347,5.74935918963629,0.33489455615497793,0.05820387649359475,5.7538187545263
Lmorm,301at7898,Complete,158957,11812,33122,+,8262.3,4034,269,0,5380,5060,3473,320,6035.7583,-1.0,-0.035106768005790774,0.009799941681964299,0.9025749559082893,0.011668081351624652,0.8985507246376814,0.012032175119722679,0.8991626205052423,0.011644408282307415,0.8951742440114532,0.012006511210115998,-0.0415917535658636,0.008008525633489222,-0.030130293159609134,0.010555474463909092,0.903015873015873,0.011623468179082838,0.8966603654694393,0.012302313619650727,0.9010449651678276,0.011384622957887235,0.8947203016970459,0.012081448818147553,-0.045037756202804764,0.008124508502690142,-0.010439560439560434,0.023648199806194738,-0.4414526486208794,-0.010439560439560434,0.023648199806194738,11.76620879120879,2.4613795357797894,4.780330956753948,-0.022909698996655518,0.024860750881205748,-0.921520798230387,-0.022909698996655518,0.024860750881205748,-0.921520798230387,10.729682274247494,1.9962532139812141,5.374910456799628,7.667904191616766,1.1916848384282712,6.434506796050259,-0.03275449101796408,0.017901526477020896,-1.829703799841261,-0.03275449101796408,0.017901526477020896,-1.829703799841261,7.112624584717606,1.111820567657292,6.397277394952819,-0.008139534883720918,0.017238097284376974,-0.47218290681639463,-0.008139534883720918,0.017238097284376974,-0.47218290681639463
Lmorm,394at7898,Complete,172740,1063,84059,+,2711.9,1576,1851,147,36873,33245,26373,3628,4149.2563,-1.0,0.000775429460151293,0.004417955687072402,0.7082866526375534,0.00993760998560072,0.7254234344501616,0.00977961297700463,0.6983256874931947,0.010113537907274709,0.7153199293013837,0.009965891707316042,-0.0006381435823060292,0.010131340325437025,-0.002903221238046848,0.004567497350191999,0.7075269175084455,0.009973207820495449,0.7243219237924583,0.009810905703691277,0.6969340590915933,0.0101793346669762,0.7137743518299078,0.010026514436176661,-0.008800670953312844,0.01018314414697856,0.01904520575714575,0.008586444065551759,2.299119050831226,0.019744577336306503,0.00858788818663741,1.8923677275491584,0.10116595350868293,18.70557892173417,-0.018164547397508692,0.007621372717665321,-2.3833695149701453,-0.017494225081496517,0.007629722121781808,-2.2929046172668475,1.7773472075300618,0.09425704908720992,18.85638501037305,3.405426752268892,0.20826857280958683,16.35113116841859,-0.03744261385764697,0.011201466072955074,-3.342652971832747,-0.036160055704389085,0.011294901612540594,-3.20144937466662,4.161177223108662,0.2859626534965494,14.551470872957445,0.04390512205922666,0.011728491123451312,3.7434586936283427,0.04237736087778613,0.011819914643474764,3.585251006967359
Lmorm,408at7898,Complete,167283,19141,51710,+,4166.2,1892,639,49,12731,12143,8783,588,5420.571,-1.0,0.09522550510057946,0.018611551485918587,0.8914318248841182,0.00813174939390677,0.8789510595164807,0.009065963709919396,0.8995797216550719,0.0075149144047771226,0.88704866995696,0.008534939059084035,0.04471939529580677,0.010264227681210662,0.07140475276678471,0.016353461044525543,0.8883529480052401,0.008467138289027383,0.8754269007748536,0.009354554393870708,0.8989951894641588,0.007582299461347296,0.8858673339388672,0.008610062984282078,0.013599256230975913,0.010448092543158443,-0.007532467532467538,0.03559227167486467,-0.2332084596185904,-0.008311688311688319,0.03564059522232591,12.043311688311686,1.623496884713722,7.418130457598835,0.1309768995268578,0.04666386384043195,2.8068164259765545,0.1299749512941831,0.04661608246233475,2.7881997891865185,15.626356804898414,2.046125393019167,7.637047493868835,6.208960652834007,0.5957445435575545,10.422186354836775,0.04555762904858298,0.026957417654766364,1.689984909979977,0.04515909665991901,0.026987077493461117,1.6733600246585023,5.199224206878165,0.5109252896190913,10.176094846967407,0.003949613436416957,0.019291703650806003,0.20473118952622635,0.00428552386030392,0.019339998823448987,0.22158863086940273
Lmorm,423at7898,Complete,166576,14869,58006,+,5019.7,2732,799,6,15974,14858,11101,1116,5042.634,-1.0,-0.08041046345361265,0.0033984306475772874,0.8458842166976435,0.008870679245056618,0.8728822882288229,0.008103977886356677,0.8467549780604406,0.008802870102495907,0.8736862325402707,0.008036049536511625,0.005539513230007656,0.00975536364595074,-0.09197577592732778,0.004937300720696404,0.8459264610135018,0.008880420538338247,0.8724628712871286,0.00814565228345965,0.8468940189623574,0.008801524730719316,0.8733637935292665,0.008065457814196231,0.007205562424825123,0.009643914899193898,-0.05625965996908809,0.012476682892746612,-4.509184087847175,-0.05625965996908809,0.012476682892746612,12.01914605873261,1.3746196056745497,8.743616058665632,-0.017882352941176467,0.013100428773630072,-1.3650204317870844,-0.017882352941176467,0.013100428773630072,-1.3650204317870844,12.237470588235293,1.386894330136682,8.823650311577277,3.593858055441599,0.26820153310272327,13.399841581312376,-0.06917306452558165,0.012135862003184074,-5.699888850699916,-0.06917306452558165,0.012135862003184074,-5.699888850699916,4.790204326923076,0.40100720796662753,11.945431981665838,0.09501953124999997,0.02106135119397316,4.511559129083343,0.09501953124999997,0.02106135119397316,4.511559129083343
Lmorm,594at7898,Fragmented,155388,1,11436,+,2135.4,1279,564,1,11279,9206,7822,2073,3744.6729,-1.0,-0.004621822497033304,0.006735702232334287,0.44609580427575163,0.019107585099975063,0.319372249108761,0.015795237683263182,0.4770073862282583,0.019565640598114765,0.32729567856471403,0.01605128861250704,0.07327023768230842,0.013615216571186545,0.001077384298294903,0.007067312558826,0.4493826454784498,0.019036237533179755,0.33490866887631876,0.015682975213839767,0.47045508696688115,0.019919320486686785,0.33272242675298136,0.01645349033444669,0.08136817874337479,0.01326856553937942,-0.010888252148997139,0.01048455685006629,0.9690052793193702,0.008839541547277938,0.009122284197963128,0.5239541547277937,0.047782817217636775,10.965325722452395,-0.01550611413043478,0.00941947928531699,-1.6461752991596457,0.007880434782608694,0.01183562089880645,0.6658235212149611,0.6185292119565218,0.05949054021568548,10.39710195459678,1.0237521514629948,0.07812992299518032,13.103201849132093,0.22056798623063686,0.02417901296520191,9.122290746445074,0.25019363166953534,0.02584361934096595,9.681060085610435,0.49557088787257525,0.028579903838866445,17.339837483939935,-0.09980444724806815,0.014877916472525956,-6.708227420981311,-0.12260605582715664,0.014864590514889442,-8.248195986586081
Lmorm,707at7898,Complete,177624,11567,38934,-,3767.4,2701,669,179,13201,11331,8965,1870,4362.5728,-1.0,-0.056174983244988735,0.0034491657331265674,0.5526282727775265,0.016344170941280784,0.4676440577842221,0.016521509989563938,0.5643537475964173,0.015815613938620736,0.4860610658069409,0.01654906500044103,0.04706262514353638,0.01207771051716397,-0.0653902394443429,0.0037958210510397623,0.5529775323483677,0.01644816043036074,0.4670464186495284,0.016700382677821302,0.5584270268772872,0.016238363762087763,0.4790262167188897,0.01696323040743132,0.027860413535637348,0.012225337219807342,-0.041930289827618865,0.007048737657187404,-7.6341961782212575,-0.050767190755824955,0.006649971990587952,0.9138544231862095,0.07577534079171831,12.060050322942091,-0.0016790316282702124,0.008069860490443666,-0.2080620390226724,-0.01078680203045686,0.008387216980090218,-1.2861002709316853,0.9834024795001953,0.08030127011293313,12.246412517724435,1.5786172635065205,0.0988784638922738,15.965228436663356,0.18605878700062098,0.02367656311451103,7.858352840349037,0.17318360587870005,0.023121763947001796,7.490068935729136,0.9974104445403539,0.06553593443611065,15.219290807743109,-0.10147550712127752,0.013925895756175017,-7.286820819140577,-0.0914086102719033,0.013633893852366331,-6.704512391083212
Lmorm,715at7898,Complete,175553,42499,52682,-,3851.7,2710,233,0,4660,4207,3462,453,3619.9207,-1.0,-0.021910018397725366,0.0058200962625581335,0.5160973694542598,0.03838047552873117,0.5150377410145097,0.037974018785941324,0.5681928975887801,0.033903358668002176,0.5678598061148398,0.03394080654348772,-0.02065058479532165,0.010200259862624149,-0.04741595584545913,0.005926729301363742,0.5128091872791519,0.03867409589047904,0.5098556846180922,0.0384179964807163,0.5566149173135335,0.03501271086560375,0.5545302013422818,0.03517943491838863,-0.01768092105263161,0.010435748357310044,-0.06269592476489029,0.013962231447061341,-4.510218302587881,-0.06410658307210032,0.014213631973272143,0.690360501567398,0.1111744795770829,6.20970301991597,0.047602739726027375,0.01687415837177271,2.8210437923622784,0.046061643835616416,0.016501831026159524,2.7913050232181633,0.8702910958904109,0.12891138380933284,6.751080239566896,2.6034482758620694,0.4945830250371388,5.263925658723474,-0.012431941923774968,0.03323558565818545,-0.3740551483470898,-0.017332123411978238,0.03525225100322881,-0.4916600477623616,2.543462897526502,0.48914691126446286,5.199793434147537,-0.007862190812720842,0.03466152249896272,-0.22682762457869893,-0.0030918727915194236,0.037231017818143974,-0.08304561553008755
