SPECIES,ID,STATUS,CHROM,START,END,STRAND,SCORE,LENGTH,NVARIANTS,NMISSING,NCALL,NHOM,NHOM_REF,NHET,QUAL,DP,FST_HUDSON_LI_MU,FST_HUDSON_SE_LI_MU,FST_HUDSON_LI_FA,FST_HUDSON_SE_LI_FA,FST_HUDSON_LI_GA,FST_HUDSON_SE_LI_GA,FST_HUDSON_MU_FA,FST_HUDSON_SE_MU_FA,FST_HUDSON_MU_GA,FST_HUDSON_SE_MU_GA,FST_HUDSON_FA_GA,FST_HUDSON_SE_FA_GA,FST_WEIRANDCOCKERHAM_LI_MU,FST_WEIRANDCOCKERHAM_SE_LI_MU,FST_WEIRANDCOCKERHAM_LI_FA,FST_WEIRANDCOCKERHAM_SE_LI_FA,FST_WEIRANDCOCKERHAM_LI_GA,FST_WEIRANDCOCKERHAM_SE_LI_GA,FST_WEIRANDCOCKERHAM_MU_FA,FST_WEIRANDCOCKERHAM_SE_MU_FA,FST_WEIRANDCOCKERHAM_MU_GA,FST_WEIRANDCOCKERHAM_SE_MU_GA,FST_WEIRANDCOCKERHAM_FA_GA,FST_WEIRANDCOCKERHAM_SE_FA_GA,F3_LI_MU_FA,F3_SE_LI_MU_FA,F3_Z_LI_MU_GA,F3_LI_MU_GA,F3_SE_LI_MU_GA,F3_LI_FA_GA,F3_SE_LI_FA_GA,F3_Z_LI_FA_GA,F3_MU_LI_GA,F3_SE_MU_LI_GA,F3_Z_MU_LI_GA,F3_MU_LI_FA,F3_SE_MU_LI_FA,F3_Z_MU_LI_FA,F3_MU_FA_GA,F3_SE_MU_FA_GA,F3_Z_MU_FA_GA,F3_FA_LI_MU,F3_SE_FA_LI_MU,F3_Z_FA_LI_MU,F3_FA_LI_GA,F3_SE_FA_LI_GA,F3_Z_FA_LI_GA,F3_FA_MU_GA,F3_SE_FA_MU_GA,F3_Z_FA_MU_GA,F3_GA_LI_MU,F3_SE_GA_LI_MU,F3_Z_GA_LI_MU,F3_GA_LI_FA,F3_SE_GA_LI_FA,F3_Z_GA_LI_FA,F3_GA_MU_FA,F3_SE_GA_MU_FA,F3_Z_GA_MU_FA
Mmerl,116at7898,Complete,158,121725,198688,+,4428.6,3201,660,177,13023,11008,10100,2015,2464.0762,-1.0,-0.010506050309106493,0.005465915319100851,0.21336049360601497,0.0176814262436264,0.2952231654082953,0.021414889829460097,0.15970039301770603,0.01703522464222195,0.22333106747974688,0.017835190056271773,0.0395698066266876,0.013063807031037523,-0.005460651958882432,0.006870381484160449,0.20927439284023502,0.016841433045232102,0.29801746547124586,0.021585917505105964,0.16208801504221632,0.01684138190682146,0.23026394844740392,0.01763283813833648,0.04897281418752155,0.012996936621785672,0.029667693562998317,0.010272757519427928,3.6142270688899236,0.045664789555853944,0.012634731765727011,0.2583987323880319,0.027636418125991772,9.349935697528418,-0.05652525917233421,0.010104491221808717,-5.59407276739819,-0.040382339974455554,0.008807587188915555,-4.584949215748573,0.1742908014081859,0.02003628797820661,8.698757055087315,0.2879064618311446,0.029846445217547597,9.64625635423665,-0.05251299846696589,0.011968778591597153,-4.38749852920108,-0.02951841026209343,0.010340506144091863,-2.854638820456485,0.5192961371564707,0.055342255076437925,9.38335701064632,0.11682868203862842,0.02414347279940158,4.838934440347958,0.08656406874840467,0.01901611124714369,4.55214358095465
Mmerl,131at7898,Complete,367099,0,59695,-,7342.7,3895,2200,352,43648,35330,30314,8318,4329.272,-1.0,0.06411635472283611,0.005346281237263222,0.07656680541440379,0.006746705233339377,0.06377948945346174,0.006270211021633996,0.021185325810910944,0.004463650631881809,0.010353222241350123,0.003912930225284413,-0.010526226956077162,0.0037449326025566568,0.06770403939636835,0.005356982408027782,0.08128376134769201,0.0069215115967046536,0.0644150013888414,0.006256102189502342,0.02367999538939505,0.004664260002404707,0.009992432504079054,0.004110485201257976,-0.011369316585949172,0.003954754968110712,0.06968863064941437,0.006996586348439519,10.21055659015546,0.06868599374501749,0.006726958823306588,0.088445146256209,0.007425174574794672,11.911524148730843,0.005582152432018385,0.003599102923994396,1.5509843841373505,0.004747223286097282,0.0035651453393975813,1.3315651492905032,0.02120132771607303,0.0031622435210464078,6.704520880497327,0.01701877299285869,0.004384987977253098,3.881144733153821,0.0014337190039474983,0.004016566976155506,0.35695134986141713,0.00018790715548955842,0.0033720795845670207,0.055724413014909886,0.0048750565407231685,0.003680966417275574,1.3243958211200924,-0.01178151741454274,0.003338049035129042,-3.5294620571945226,-0.01093631437565195,0.002965226658874338,-3.6881883355937464
Mmerl,171at7898,Complete,836,37294,77867,-,8587.4,4056,690,129,13671,11065,8984,2606,4879.595,-1.0,-0.02374842352495436,0.005810091710319473,-0.03125094068525204,0.005219672290158124,-0.04305084220476346,0.005563056362668609,0.0012523763870124873,0.005654506252839875,-0.04681098430151481,0.004870092506801133,-0.01653385500447677,0.005897076046569103,-0.03203760371346072,0.0066085633854277796,-0.05017210593355349,0.005806461902206435,-0.07084393329680949,0.006504801346310023,0.01799957996281681,0.006223104824656949,-0.03921522269924119,0.004824986170988194,-0.01908651429474914,0.006362176638458862,-0.027583832576092638,0.003239003360066474,-2.2519191786709603,-0.009872944393068237,0.00438423567176823,-0.02726870652567247,0.003971256055501102,-6.866519344150334,-0.01330507078887141,0.003383168200311321,-3.9327251857141095,0.00420566254181171,0.004850597300139592,0.8670401357974363,-0.01299350605098616,0.003906936117487308,-3.3257533935166452,-0.0029070207611292466,0.004336620520432142,-0.6703424354131783,-0.003214694303307652,0.004194621707814891,-0.7663847963496776,0.014077343898964739,0.004815668159338651,2.9232379460502567,-0.032172117272665716,0.0036945899994582565,-8.707899192436283,-0.013530183000018466,0.0036719634506590013,-3.684727035502008,-0.03250981786173742,0.002968367609014781,-10.952086177940618
Mmerl,301at7898,Complete,350970,330,13290,+,7095.7,3490,84,0,1680,1456,1379,224,2203.9375,-1.0,0.2915301360341574,0.015332718458735552,0.29955947136563865,0.014343988229338505,0.4354403025391679,0.02128549299643218,-0.07535121328224785,0.009327834798017269,0.0015015015015015002,0.009659355127369337,-0.015482695810564679,0.009340962626103972,0.28619302949061665,0.01391959892100294,0.29405286343612336,0.013053202606193384,0.42868719611021056,0.02071116717748191,-0.06896551724137931,0.010680973720783474,0.003378378378378286,0.00945594867764206,-0.014344262295082047,0.00939588814813774,0.31205357142857143,0.021746558816491127,14.794051648245018,0.38526785714285705,0.02604207868833285,0.39419642857142856,0.02594013820932542,15.196388908587844,-0.22613365155131268,0.01906170117411345,-11.86324607052445,-0.05000000000000001,0.007882626732241119,-6.343063257770732,-0.028520286396181392,0.007215466488513085,-3.9526600867158432,-0.020212765957446817,0.011154304652417492,-1.8121045271133123,-0.21595744680851073,0.021064708409783334,-10.25209761309637,-0.04148936170212768,0.004803426138903541,-8.637451790108777,0.3871951219512195,0.11081655697144799,3.494018696601274,0.35060975609756095,0.10226330016302776,3.428500307917114,0.050609756097560986,0.020842106509633012,2.428245728145073
Mmerl,408at7898,Fragmented,1416,526,40242,-,1308.2,688,656,73,13047,11114,10489,1933,1991.6548,-1.0,0.010415281548656626,0.006908898422363117,-0.013386137821714857,0.00702537267961438,-0.0043500370333521415,0.007148849461943548,0.017996841067768575,0.00793348305794265,0.010692322526730792,0.012316894001471606,0.02340195041961667,0.01171400253363179,0.0001809654441970557,0.009026866573272405,-0.020175769573761677,0.008688534903881075,-0.012250860563388977,0.008594080402379075,0.016159755540618534,0.008460886615471652,-0.0029867091592514607,0.00791683719589208,0.014987686847254229,0.006659473224198064,-0.009956993193913617,0.005324021370051011,-0.3858871373366228,-0.002416838880067663,0.006263071883526841,-0.020408484867827873,0.005391101399569533,-3.7855872771113974,0.013265424912689172,0.00853911670158378,1.5534891226195313,0.021123399301513388,0.007223239871065381,2.9243663063342,0.002373399301513382,0.006722092424032743,0.3530744821401196,-0.003039970134817539,0.004761587155407806,-0.6384363103308944,0.008073568465082342,0.007363266471701058,1.0964656102167645,0.01609135182372755,0.005349998062628813,3.0077304020220135,-0.0019216166374808215,0.0066697558823922394,-0.2881089909982726,0.015550178989291636,0.007766406837350654,2.0022359522175446,0.008227889785987697,0.011150126306447555,0.737918975969799
Mmerl,594at7898,Complete,367820,8803,29938,+,2929.9,2076,574,83,11397,9193,8122,2204,3877.5217,-1.0,0.0016929300348323439,0.014011075137560896,0.00894760682256786,0.010635837471059856,0.04412839960291682,0.015903515530794166,0.017271222076764233,0.008481379027463352,0.03946353944144063,0.010601964170705172,-0.0019141409700568711,0.007459799317247587,-0.014026668321730789,0.00680482491343553,0.00313748364349202,0.010127808318586541,0.029867682033768092,0.010980741528886262,0.012792272632155812,0.009204908447516463,0.04357794089741249,0.010727429607117799,-0.005008751489098394,0.007990705537900043,-0.0034087322461862175,0.010548755467810781,0.22635486861021534,0.0031383482377695987,0.013864726025283143,0.027345607574960545,0.012205880432279626,2.240363382771017,-0.0014122377791773635,0.0063916941329430115,-0.22094889864936454,0.005048205028826126,0.007092155901271598,0.7118011926276184,0.028935129111961628,0.007765653950919472,3.726038952397002,0.01270465058948071,0.007892157685245408,1.6097816460550938,-0.019088153830536983,0.006963657583874824,-2.7411103433255923,-0.01232000174016444,0.006861689291184821,-1.7954764806957797,0.04506710682974347,0.01031572920320751,4.3687756766366626,0.01838402424504816,0.008174917512457398,2.2488329964227227,0.011167334127070026,0.007375682485113427,1.5140746838830725
Mmerl,707at7898,Complete,448,84087,115105,+,3502.5,2416,608,50,12110,10101,9457,2009,2607.258,-1.0,-0.0016054829265660304,0.007427713816864234,0.011982805814697354,0.007587215659806297,0.024518940264338162,0.008506692557945887,0.014990371638741746,0.007886812049308394,0.01500143430443395,0.007238106591114259,-0.012292090865084737,0.006336084709673566,0.008604059933381309,0.007719274171881607,0.02034453923267536,0.007905705181462134,0.03785865347635019,0.008129626869591408,0.022274660194257615,0.008113297920313062,0.027392499819507816,0.007173728916540535,-0.001112309171719183,0.006238306693659006,-0.0020872624853565487,0.005114224684646181,0.7781109602085686,0.004390853349506901,0.005642965558960839,0.024548545625244056,0.007342398428982338,3.3433960119005013,-0.006307876998986738,0.005971209889332057,-1.0563817242894373,0.0005621393012908065,0.0066418352136430325,0.08463614094732624,0.021939292479844927,0.007155066558033317,3.0662597338403077,0.014426256754683531,0.0066055460975588415,2.183961256437969,-0.012898568944649946,0.00430953943555846,-2.9930272451442272,-0.006252876600242058,0.004796541023338559,-1.3036220413455026,0.02074573503627193,0.0072778487394995735,2.850531218610956,0.000584692665010265,0.005974049983834157,0.09787207448756699,-0.00589449979641186,0.005752540456498893,-1.0246776777993085
Mmerl,715at7898,Complete,364713,127968,157939,+,4100.6,3106,133,13,2647,2313,2261,334,727.9957,-1.0,-0.002478856809565476,0.012241092467397298,0.0649504364550969,0.025216927866001715,0.022748375116063133,0.01481454291005245,-0.019219977553310872,0.009151366131066041,-0.01723413198823035,0.011655258331172206,0.005340453938584772,0.014574555236920117,0.01082677165354327,0.012125327230929786,0.08288948069241008,0.026933927491510128,0.026810584958217223,0.012686479623054019,0.0025252525252525016,0.008666234790190975,-0.008827238335435087,0.012121106394475448,0.018691588785046703,0.01562337564830625,0.04713322091062395,0.02307250639742946,1.3742475935957055,0.021332209106239456,0.015522828059261097,0.046374367622259695,0.023484038368156986,1.9747186107965438,-0.018350383631713547,0.006085387339536006,-3.0154832565042136,-0.03791560102301789,0.00922706119575003,-4.109174114991429,-0.018925831202046026,0.006781391604153301,-2.7908477060157972,0.0237704918032787,0.012074817784513522,1.9686004565439812,0.024441132637853965,0.01320786885567569,1.850497828599435,0.001639344262295094,0.007426457485553867,0.22074377527697261,0.003059701492537318,0.009673815685730827,0.3162869328852803,-0.019104477611940295,0.011873158978398681,-1.6090475708021634,0.0037313432835820947,0.01103364561316288,0.33817864143929816
Mmerl,832at7898,Complete,368328,7179,38106,-,4514.7,2517,687,136,13604,11326,10343,2278,2773.8396,-1.0,-0.03181638419815622,0.006554782271074877,0.003397844552364601,0.006326134892687064,-0.016970195228783864,0.006692598733364667,0.02437868113883182,0.01209424709673286,0.008192386229505895,0.012291336090586894,-0.0036168786743978067,0.0057494862602333625,-0.024797065910786287,0.007367269071213879,0.012279341611256094,0.006073587778491109,-0.014576319197438238,0.006557208964615904,0.026381687589370033,0.008260535182567514,0.0030827959547299623,0.007604840457516089,0.007898524780616804,0.006092709753072892,-0.020817613970089913,0.004793832259500522,-5.296107200823826,-0.022274431843853065,0.004205812118075746,-0.004650295938191837,0.00448030399153346,-1.0379420563826953,-0.007764236184072286,0.006716824417249663,-1.1559385360934455,-0.009390313090985498,0.005605766442288624,-1.675116719124635,0.020871926875393996,0.012547365760685485,1.6634509006497413,0.02129482560995579,0.005957031101294776,3.5747380276942495,0.00723235631242836,0.004680610603274218,1.5451736804102278,0.0059652038644178815,0.005259341391111613,1.134211191252804,0.0052716407365430784,0.00445529487715448,1.1832304890916634,-0.011953001957638472,0.005405707955737408,-2.2111815983236798,-0.010529206346869989,0.005481740083628631,-1.9207781080893924
Mmerl,1123at7898,Duplicated,363727,2638,38641,-,3498.3,2282,131,20,2600,2162,1762,438,4779.456,-1.0,0.06541361209832112,0.0161650787819175,0.45646595369869464,0.02890095980977058,0.2703399227410609,0.03636130621391402,0.1512252326827767,0.022827926909911717,0.015384485051804061,0.01933168163236029,0.009257334218603601,0.01725079029964816,0.021936711252418768,0.019650151961484404,0.4709189369865811,0.02856078265087824,0.2665013287567356,0.037411725634975364,0.14246592529555938,0.02169932452925025,-0.010662007175647652,0.019397572770312604,0.024541852623670674,0.017695053750748153,0.4743277310924371,0.0995138992597373,4.171747742236078,0.329873949579832,0.07907332129411496,0.8766754201680672,0.19059021528713915,4.599792380984967,-0.11112730517549077,0.012981967445152507,-8.560128165857165,-0.18270969660916123,0.014670639661923321,-12.454105670891243,0.08825141284949431,0.02543878340522218,3.4691679803908264,0.39004347539687767,0.05004730369852793,7.79349628396365,0.16927038732626307,0.025795698683759898,6.561961720882946,0.09000683420064552,0.019558362637065483,4.60196161973557,0.11853523466703586,0.028653833835460087,4.136801914456016,-0.13370656237020628,0.009534863155179771,-14.022913616497034,-0.06706943098435551,0.006744055061935076,-9.944970847422358
