GENE;POP;TOTAL_SITES;N_SITES;NUM_ALL;DENOM_ALL;PI_ALL
100077:7670-8484;Fa;778;31;94;30961;0.30360776460708633
100077:7670-8484;Ga;764;45;39;30494;0.12789401193677444
100077:7670-8484;Li;784;25;113;30773;0.3672050173853703
100077:7670-8484;Mu;770;39;69;30532;0.22599240141490895
100077:7670-8484;all;784;25;1353;529252;0.2556438142888454
100170:4242-5498;Fa;1255;2;50;56475;0.08853474988933156
100170:4242-5498;Ga;1255;2;91;56339;0.16152221374181294
100170:4242-5498;Li;1255;2;84;56248;0.14933864315175652
100170:4242-5498;Mu;1255;2;86;56305;0.15273954355741054
100170:4242-5498;all;1255;2;1389;976459;0.14224867608368605
100202:3406-4887;Fa;1453;21;68;64602;0.10525989907433206
100202:3406-4887;Ga;1453;21;131;65107;0.2012072434607646
100202:3406-4887;Li;1453;21;142;65024;0.21838090551181102
100202:3406-4887;Mu;1453;21;120;65185;0.18409143207793205
100202:3406-4887;all;1453;21;1955;1126010;0.1736219038907292
100240:2356-6367;Fa;3798;174;322;155127;0.2075718604756103
100240:2356-6367;Ga;3792;180;835;148237;0.5632871685206797
100240:2356-6367;Li;3751;221;616;110164;0.5591663338295632
100240:2356-6367;Mu;3599;373;729;121067;0.6021459192017643
100240:2356-6367;all;3800;172;12838;2253895;0.5695917511685327
100244:3462-6354;Fa;2726;115;1829;119146;1.5350914004666543
100244:3462-6354;Ga;2726;115;1878;120550;1.5578598092077975
100244:3462-6354;Li;2726;115;1855;119688;1.5498629770737251
100244:3462-6354;Mu;2726;115;1933;119638;1.615707383941557
100244:3462-6354;all;2726;115;32609;2073818;1.5724137798013134
100244:9553-12227;Fa;2568;94;955;114457;0.8343744812462323
100244:9553-12227;Ga;2568;94;1013;114901;0.881628532388752
100244:9553-12227;Li;2568;94;1035;114585;0.9032595889514334
100244:9553-12227;Mu;2568;94;1067;114067;0.9354151507447377
100244:9553-12227;all;2568;94;17584;1983966;0.8863055112839635
100363:8604-14405;Fa;5584;165;296;244598;0.12101488973744674
100363:8604-14405;Ga;5675;74;792;248474;0.31874562328452877
100363:8604-14405;Li;5716;33;1464;250589;0.584223569270798
100363:8604-14405;Mu;5716;33;1443;253459;0.5693228490604003
100363:8604-14405;all;5716;33;26749;4305500;0.6212751132272675
100537:8651-13465;Fa;4647;136;1109;196884;0.5632758375490137
100537:8651-13465;Ga;4700;83;2107;204877;1.028421931207505
100537:8651-13465;Li;4690;93;2016;200937;1.003299541647382
100537:8651-13465;Mu;4684;99;1971;197853;0.9961941441373141
100537:8651-13465;all;4700;83;33543;3458943;0.9697471163878676
100771:1066-6234;Fa;5042;70;939;219149;0.4284756033566204
100771:1066-6234;Ga;5040;72;941;222247;0.42340279058884933
100771:1066-6234;Li;5038;74;719;217768;0.33016788508871825
100771:1066-6234;Mu;5002;110;790;218663;0.3612865459634232
100771:1066-6234;all;5042;70;16169;3798871;0.4256264558601753
100820:912-4387;Fa;3187;250;763;134830;0.5658977972261366
100820:912-4387;Ga;3194;243;911;136194;0.6688987767449374
100820:912-4387;Li;3187;250;983;132594;0.7413608458904626
100820:912-4387;Mu;3185;252;733;133742;0.5480701649444453
100820:912-4387;all;3200;237;14904;2322460;0.6417333344815411
100874:10371-13167;Fa;2657;104;1710;116661;1.4657854810090776
100874:10371-13167;Ga;2657;104;1507;119157;1.2647179771226198
100874:10371-13167;Li;2657;104;1769;114898;1.5396264512872286
100874:10371-13167;Mu;2657;104;1716;118715;1.4454786673967064
100874:10371-13167;all;2657;104;29026;2032507;1.4280885625486162
100952:754-10837;Fa;9642;345;3348;422671;0.7921054437139051
100952:754-10837;Ga;9638;349;3507;424895;0.8253803880958825
100952:754-10837;Li;9621;366;2970;424116;0.7002801120448179
100952:754-10837;Mu;9636;351;3318;419952;0.7900902960338324
100952:754-10837;all;9642;345;57059;7324518;0.7790137180357807
100958:465-3048;Fa;2107;369;116;81984;0.1414910226385636
100958:465-3048;Ga;2103;373;101;83144;0.12147599345713461
100958:465-3048;Li;2106;370;425;83282;0.5103143536418434
