GENE;POP;TOTAL_SITES;N_SITES;NUM_ALL;DENOM_ALL;PI_ALL
102245:1230-12265;Fa;10883;110;1317;476579;0.276344530497567
102245:1230-12265;Ga;10893;100;1338;485216;0.2757534788630218
102245:1230-12265;Li;10929;64;177;490003;0.03612222782309496
102245:1230-12265;Mu;10929;64;193;490768;0.03932611743226942
102245:1230-12265;all;10929;64;75405;8397698;0.8979246455397658
103:12177-14299;Fa;2081;18;724;93203;0.7767990300741392
103:12177-14299;Ga;2081;18;432;93053;0.46425155556510805
103:12177-14299;Li;2081;18;1504;92965;1.6178131554886248
103:12177-14299;Mu;2081;18;1351;93453;1.4456464746985116
103:12177-14299;all;2081;18;22389;1614554;1.3866987415719758
103:14918-17136;Fa;2030;53;793;91095;0.8705197870355124
103:14918-17136;Ga;2030;53;587;91090;0.6444176089581732
103:14918-17136;Li;2030;53;1030;91034;1.1314453940286047
103:14918-17136;Mu;2030;53;973;90993;1.0693130240787754
103:14918-17136;all;2030;53;20931;1577996;1.3264292178180426
103:38917-58751;Fa;19117;383;4281;846260;0.5058728995816888
103:38917-58751;Ga;19078;422;2564;845267;0.3033361056328947
103:38917-58751;Li;19039;461;5959;837619;0.7114213025253725
103:38917-58751;Mu;19115;385;5989;836685;0.7158010481842031
103:38917-58751;all;19138;362;131221;14553423;0.9016504227218572
10479:1113-5244;Fa;4021;102;666;176880;0.37652645861601086
10479:1113-5244;Ga;4050;73;2442;178932;1.3647642679900744
10479:1113-5244;Li;4050;73;2662;178231;1.49356733677082
10479:1113-5244;Mu;4050;73;2650;177126;1.4961101137043686
10479:1113-5244;all;4050;73;47862;3075485;1.5562423487677552
104:745-1645;Fa;896;5;57;40218;0.14172758466358348
104:745-1645;Ga;896;5;86;39346;0.21857367966248156
104:745-1645;Li;896;5;25;39946;0.06258448906023131
104:745-1645;Mu;896;5;108;39861;0.27094152178821407
104:745-1645;all;896;5;4732;690203;0.6855953972961578
105:6788-10209;Fa;3189;100;853;142262;0.599597924955364
105:6788-10209;Ga;3189;100;820;142565;0.5751762354013958
105:6788-10209;Li;3084;205;1529;135589;1.1276725988096379
105:6788-10209;Mu;3189;100;1891;134222;1.4088599484436233
105:6788-10209;all;3189;100;32163;2380226;1.351258241864428
109059:924-3027;Fa;2095;7;192;93969;0.20432270216773618
109059:924-3027;Ga;2095;7;312;93697;0.3329882493569698
109059:924-3027;Li;2095;7;444;94156;0.4715578401801266
109059:924-3027;Mu;2095;7;298;93918;0.31729806852786474
109059:924-3027;all;2095;7;13700;1627940;0.8415543570401858
109499:5277-7857;Fa;2097;482;146;90800;0.16079295154185022
109499:5277-7857;Ga;2118;461;158;91106;0.17342436283010998
109499:5277-7857;Li;2565;14;16;115119;0.013898661385175341
109499:5277-7857;Mu;2565;14;27;115119;0.023453991087483386
109499:5277-7857;all;2565;14;15003;1687472;0.889081418832431
109563:422-3519;Fa;3078;17;1160;138425;0.8379989163807116
109563:422-3519;Ga;3078;17;598;138357;0.43221521137347585
109563:422-3519;Li;3078;17;33;138139;0.02388898138831177
109563:422-3519;Mu;3078;17;30;138246;0.021700447029208803
109563:422-3519;all;3078;17;32795;2396939;1.3682033627055172
109579:2-2773;Fa;2757;15;317;120608;0.26283496948792784
109579:2-2773;Ga;2757;15;229;121791;0.18802702991189826
109579:2-2773;Li;2757;15;454;122622;0.37024351258338634
109579:2-2773;Mu;2757;15;614;121603;0.5049217535751586
109579:2-2773;all;2757;15;10580;2108032;0.5018899143846014
109964:6669-10413;Fa;3700;19;788;166147;0.4742788013024611
109964:6669-10413;Ga;3700;19;645;165633;0.3894151527775262
109964:6669-10413;Li;3700;19;50;166330;0.03006072265977274
109964:6669-10413;Mu;3700;19;34;165854;0.02049995779420454
109964:6669-10413;all;3700;19;27589;2876764;0.9590289644892664
110138:598-4019;Fa;3291;57;1530;147252;1.0390351234618205
110138:598-4019;Ga;3291;57;755;147728;0.5110744070183039
110138:598-4019;Li;3291;57;808;148027;0.5458463658656867
110138:598-4019;Mu;3291;57;1090;147878;0.7370940910750754
110138:598-4019;all;3291;57;34027;2560109;1.329123095930681
110163:57-1223;Fa;1163;4;126;51672;0.24384579656293545
110163:57-1223;Ga;1163;4;296;52301;0.5659547618592379
110163:57-1223;Li;1163;4;34;52135;0.06521530641603529
110163:57-1223;Mu;1163;4;27;52182;0.05174197999310107
110163:57-1223;all;1163;4;8015;902398;0.888189025241634
110780:3885-10611;Fa;6607;61;1437;293846;0.4890316696500888
110780:3885-10611;Ga;6607;61;724;294094;0.24617979285534558
110780:3885-10611;Li;6607;61;1159;296753;0.39056049980960594
110780:3885-10611;Mu;6607;61;1387;295513;0.46935329410212073
110780:3885-10611;all;6607;61;41513;5111554;0.8121404958257312
111011:1403-5875;Fa;4377;36;627;194290;0.32271346955581864
111011:1403-5875;Ga;4386;27;666;194923;0.3416733787187761
111011:1403-5875;Li;4386;27;301;196188;0.1534242665198687
111011:1403-5875;Mu;4386;27;305;193009;0.15802371910118182
111011:1403-5875;all;4386;27;29861;3369242;0.8862824338530744
111098:1552-2595;Fa;1025;5;161;44429;0.3623759256341579
111098:1552-2595;Ga;1024;6;101;45045;0.22422022422022422
111098:1552-2595;Li;1025;5;46;45745;0.10055743797136299
111098:1552-2595;Mu;1025;5;25;45206;0.05530239348759014
111098:1552-2595;all;1025;5;3509;780541;0.44955998467729436
111191:3282-6457;Fa;3144;12;220;135945;0.1618301518996653
111191:3282-6457;Ga;3135;21;130;137264;0.09470800792633174
111191:3282-6457;Li;3138;18;106;137501;0.07709034843382957
111191:3282-6457;Mu;3139;17;106;134387;0.078876677059537
111191:3282-6457;all;3144;12;17402;2359865;0.7374150639973049
111248:3936-7519;Fa;3443;24;468;154301;0.3033032838413231
111248:3936-7519;Ga;3442;25;462;154327;0.2993643367654396
111248:3936-7519;Li;3443;24;210;154884;0.13558534128767336
111248:3936-7519;Mu;3443;24;157;154850;0.10138844042621892
111248:3936-7519;all;3443;24;21125;2679042;0.7885281380433752
111248:972-2971;Fa;1963;31;257;87723;0.2929676367657285
111248:972-2971;Ga;1963;31;257;88182;0.2914426980562927
111248:972-2971;Li;1963;31;100;87774;0.11392895390434525
111248:972-2971;Mu;1963;31;117;87300;0.13402061855670103
