"SP","CHROM","START","END"
"Aboye","281256",22,38359
"Aboye","277547",139,43569
"Aboye","282337",13604,51289
"Aboye","290196",7436,51679
"Aboye","271684",778,26170
"Aboye","291404",1277,29840
"Aboye","286239",1054,30424
"Aboye","289949",17124,37576
"Aboye","292001",7988,20585
"Aboye","291548",51518,67447
"Aboye","278606",371,34973
"Aboye","279395",0,17043
"Aboye","288182",7019,82426
"Aboye","279681",1361,16647
"Aboye","275072",2394,25730
"Aboye","278386",38527,70305
"Aboye","287329",16622,45713
"Aboye","286134",12575,29189
"Aboye","288777",74,30481
"Aboye","282803",44899,60865
"Aboye","272500",22180,36358
"Aboye","285023",43286,61256
"Aboye","291508",122,17955
"Aboye","290057",32074,46281
"Aboye","287027",6330,33800
"Aboye","292201",29757,35357
"Aboye","288234",120,43578
"Aboye","291408",31289,40321
"Aboye","291725",1970,72619
"Aboye","286053",1619,32784
"Aboye","292140",9,52437
"Aboye","287947",7516,24285
"Aboye","287480",17896,47107
"Aboye","286350",27144,61798
"Aboye","280097",21021,48755
"Aboye","288201",5585,54492
"Aboye","282452",8956,20499
"Aboye","275298",10005,22470
"Aboye","281351",22027,48935
"Aboye","281524",18914,30620
"Aboye","271136",1498,25177
"Aboye","267783",7960,25862
"Aboye","280187",16181,41183
"Aboye","276848",2602,19423
"Aboye","286852",22622,47958
"Aboye","292337",16416,29118
"Aboye","274279",272,7433
"Aboye","270615",7618,27573
"Aboye","289456",16485,30024
"Aboye","271107",15524,26703
"Aboye","277647",137,20749
"Aboye","289351",14547,28461
"Aboye","282813",1167,35959
"Aboye","279076",20601,36460
"Aboye","289877",3986,26019
"Aboye","291744",15152,32485
"Aboye","288812",2914,30673
"Aboye","287856",142,10904
"Aboye","288335",1080,52763
"Aboye","287493",19390,30852
"Aboye","288135",0,21437
"Aboye","291218",4795,38702
"Aboye","281310",34113,47996
"Aboye","290737",25729,39844
"Aboye","280832",1594,21942
"Aboye","287600",19030,43098
"Aboye","285863",74251,84470
"Aboye","280592",2156,15923
"Aboye","286725",2455,19086
"Aboye","287244",139,35337
"Aboye","285041",4610,62898
"Aboye","282524",17031,36867
"Aboye","279194",1038,6554
"Aboye","277221",4391,35160
"Aboye","288829",129,12752
"Aboye","270556",29008,48470
"Aboye","283768",3160,59942
"Aboye","275409",18175,36257
"Aboye","277715",23218,48916
"Aboye","299",10529,35298
"Aboye","283232",15228,31021
"Aboye","281625",6670,26340
"Aboye","271151",35015,49752
"Aboye","290537",16327,23398
"Aboye","285687",16783,28148
"Aboye","264502",2,7043
"Aboye","289546",40727,71673
"Aboye","271062",52846,70095
"Aboye","291706",3595,13020
"Aboye","263071",3500,25196
"Aboye","260817",9980,20799
"Aboye","281943",3646,18060
"Aboye","280069",80,10479
"Aboye","281422",7394,28679
"Aboye","288714",38141,50138
"Aboye","289761",7375,23761
"Aboye","279147",9339,45910
"Aboye","277000",3752,46208
"Aboye","286749",950,12834
"Aboye","286091",12691,22392
"Aboye","282719",1073,21680
"Aboye","279973",3243,14264
"Aboye","287861",1463,20433
"Aboye","288661",6609,19900
"Aboye","289114",35234,55678
"Aboye","275928",32622,43149
"Aboye","283648",8046,21237
"Aboye","287807",27902,36616
"Aboye","285603",31861,39945
"Aboye","292237",1807,21283
"Aboye","271863",11996,24852
"Aboye","287258",12271,56684
"Aboye","280062",17,8432
"Aboye","267554",24468,38217
"Aboye","281971",24736,37574
"Aboye","276682",24259,35468
"Aboye","284496",1609,57451
"Aboye","287663",7433,25954
"Aboye","290320",11369,21468
"Aboye","289508",1104,15024
"Aboye","282052",13312,27715
"Aboye","286774",14674,17942
"Aboye","290809",42794,47963
"Aboye","287095",20752,30019
"Aboye","267074",12672,34555
"Aboye","285472",30369,43519
"Aboye","238561",112,5301
"Aboye","281277",15523,27496
"Aboye","277152",8693,26472
"Aboye","280060",36053,69747
"Aboye","280717",36308,54290
"Aboye","287345",6733,20602
"Aboye","283342",353,17419
"Aboye","273545",12622,23916
"Aboye","289321",12778,26243
"Aboye","282248",3505,17512
"Aboye","290321",1252,25861
"Aboye","277221",36170,52443
"Aboye","287905",46481,58395
"Aboye","277492",26972,35375
"Aboye","289166",899,20446
"Aboye","291259",25324,44019
"Aboye","270555",5627,18109
"Aboye","272444",1316,6491
"Aboye","288988",19415,54585
"Aboye","279000",18562,34334
"Aboye","280164",76923,91576
"Aboye","281947",46685,57045
"Aboye","284179",4640,29073
"Aboye","264609",10160,19598
"Aboye","279061",34794,45843
"Aboye","277937",14782,20171
"Aboye","288519",8282,28284
"Aboye","290520",11563,20464
"Aboye","273212",3982,15447
"Aboye","288566",19604,32487
"Aboye","292316",24698,51690
"Aboye","278483",30313,39893
"Aboye","282709",16775,26686
"Aboye","276938",458,9047
"Aboye","287853",22444,31769
"Aboye","283335",7547,25124
"Aboye","289717",15011,24934
"Aboye","201552",408,6753
"Aboye","284475",2,7784
"Aboye","287514",23168,35502
"Aboye","284452",18423,41038
"Aboye","272327",1685,14656
"Aboye","277308",1493,25628
"Aboye","282556",5296,44241
"Aboye","285886",24697,35855
"Aboye","291802",1785,9089
"Aboye","283268",21209,28050
"Aboye","254706",2254,6290
"Aboye","282815",14753,18853
"Aboye","277306",30604,33657
"Aboye","284360",46267,53313
"Aboye","285846",15729,35438
"Aboye","274229",2195,29268
"Aboye","285216",63476,67687
"Aboye","286737",4394,12996
"Aboye","284757",6781,17101
"Aboye","274205",2746,7944
"Aboye","280089",18843,29739
"Aboye","269128",2453,14111
"Aboye","286715",7346,21981
"Aboye","290231",1174,5678
"Aboye","288352",11385,20798
"Aboye","282682",16121,28699
"Aboye","278582",44186,50635
"Aboye","262088",8150,17660
"Aboye","290457",6179,22210
"Aboye","273201",1633,4659
"Aboye","289510",45657,61244
"Aboye","285488",1668,14049
"Aboye","288278",37017,57139
"Aboye","283366",29583,40810
"Aboye","286255",7322,24992
"Aboye","291117",25171,61493
"Aboye","281516",3662,26523
"Aboye","282261",6357,28360
"Aboye","289664",7086,22514
"Aboye","276822",21918,29472
"Aboye","274638",13505,30520
"Aboye","284661",19202,27382
"Aboye","274107",5759,24551
"Aboye","264927",12008,35017
"Aboye","279650",10014,22142
"Aboye","289328",13749,32266
"Aboye","290705",14969,39048
"Aboye","278794",17933,25876
"Aboye","289946",26437,64629
"Aboye","248847",7559,20371
"Aboye","284576",37622,46355
"Aboye","289281",9,3251
"Aboye","288813",30289,40533
"Aboye","289220",2317,20618
"Aboye","291890",28855,38223
"Aboye","279419",62706,75912
"Aboye","274760",6129,13487
"Aboye","288776",30944,44262
"Aboye","272195",2991,7642
"Aboye","276793",2644,15319
"Aboye","271536",6099,40050
"Aboye","266181",26387,43980
"Aboye","287298",896,41504
"Aboye","286056",33008,47911
"Aboye","275602",10190,26086
"Aboye","282692",36024,54536
"Aboye","282495",324,18836
"Aboye","244867",10478,21453
"Aboye","272080",5263,22247
"Aboye","273256",18891,22286
"Aboye","290388",37103,41170
"Aboye","282341",51,8797
"Aboye","289828",17829,49615
"Aboye","254848",5300,10344
"Aboye","290314",585,10627
"Aboye","277795",29783,40403
"Aboye","283465",7048,15421
"Aboye","290040",8388,32152
"Aboye","291811",25560,44874
"Aboye","267217",625,3147
"Aboye","286159",37764,41843
"Aboye","279515",14020,43595
"Aboye","275592",25803,40591
"Aboye","282670",32407,53455
"Aboye","281424",1093,20336
"Aboye","288162",46984,55194
"Aboye","291937",974,38337
"Aboye","284475",8663,18111
"Aboye","271596",20059,46212
"Aboye","291720",30867,42191
"Aboye","287326",10577,25342
"Aboye","286618",4060,33311
"Aboye","260695",4258,10395
"Aboye","285612",30,14542
"Aboye","279042",4223,14924
"Aboye","291778",21776,31544
"Aboye","290767",1618,56048
"Aboye","282797",21620,27922
"Aboye","290810",19399,23467
"Aboye","291367",11747,21531
"Aboye","285463",15538,30857
"Aboye","277225",8510,64068
"Aboye","291273",3037,21085
"Aboye","277036",19525,29297
"Aboye","276680",1304,37806
"Aboye","274347",39425,50785
"Aboye","291822",40006,54037
"Aboye","262946",25549,32934
