GENE;POP;TOTAL_SITES;N_SITES;NUM_ALL;DENOM_ALL;PI_ALL
100:711255-718601;Fa;7039;58;652;316517;0.20599209521131567
100:711255-718601;Ga;7039;58;746;316086;0.23601171832982162
100:711255-718601;Li;7039;58;585;316500;0.1848341232227488
100:711255-718601;Mu;7039;58;3966;312907;1.2674692480513379
100:711255-718601;all;7039;58;31221;5466482;0.5711351468824007
101:385125-405253;Fa;19554;310;1902;858349;0.22158818848743345
101:385125-405253;Ga;19542;322;1839;850056;0.21633868827465486
101:385125-405253;Li;19554;310;1550;852078;0.18190822905884202
101:385125-405253;Mu;19568;296;9889;816348;1.211370640952143
101:385125-405253;all;19584;280;78182;14586895;0.535974242633542
101:439160-441453;Fa;2266;8;119;101868;0.116817842698394
101:439160-441453;Ga;2266;8;168;101426;0.16563800209019383
101:439160-441453;Li;2266;8;135;101902;0.13248022609958587
101:439160-441453;Mu;2266;8;1089;101936;1.0683173756082247
101:439160-441453;all;2266;8;8153;1764092;0.46216410481993003
102:1070927-1127422;Fa;54973;845;5447;2444178;0.22285610949775345
102:1070927-1127422;Ga;55048;770;4900;2441293;0.20071331052847816
102:1070927-1127422;Li;55025;793;5172;2443994;0.21162081412638492
102:1070927-1127422;Mu;55010;808;30648;2359457;1.2989429347515127
102:1070927-1127422;all;55184;634;242133;41915858;0.5776644247625803
102:1154078-1167114;Fa;12859;92;1015;578213;0.17554084740398435
102:1154078-1167114;Ga;12859;92;889;576666;0.15416202793298026
102:1154078-1167114;Li;12859;92;1037;577847;0.17945926862993145
102:1154078-1167114;Mu;12859;92;5700;559534;1.0187048508222913
102:1154078-1167114;all;12859;92;45167;9920756;0.45527780342546476
102:1171601-1177397;Fa;5691;62;684;253482;0.2698416455606315
102:1171601-1177397;Ga;5693;60;756;254523;0.29702620195424384
102:1171601-1177397;Li;5692;61;568;246812;0.23013467740628493
102:1171601-1177397;Mu;5693;60;3028;253651;1.1937662378622595
102:1171601-1177397;all;5693;60;25744;4367228;0.58948147428987
102:124113-146163;Fa;21718;154;1544;971624;0.1589092076770438
102:124113-146163;Ga;21717;155;1585;971796;0.16310007450123276
102:124113-146163;Li;21723;149;1620;968829;0.16721217056880006
102:124113-146163;Mu;21728;144;10296;942255;1.0926978365729023
102:124113-146163;all;21728;144;78295;16681156;0.4693619554903749
102:1435734-1436858;Fa;1125;0;41;50574;0.0810693241586586
102:1435734-1436858;Ga;1125;0;40;50506;0.07919851106799192
102:1435734-1436858;Li;1125;0;9;50472;0.01783166904422254
102:1435734-1436858;Mu;1125;0;108;50353;0.21448573074096877
102:1435734-1436858;all;1125;0;1024;874809;0.11705412267134883
102:1468267-1471672;Fa;3371;18;137;149984;0.09134307659483679
102:1468267-1471672;Ga;3371;18;173;149995;0.11533717790593019
102:1468267-1471672;Li;3371;18;209;149527;0.1397740876229711
102:1468267-1471672;Mu;3371;18;2038;148250;1.3747048903878583
102:1468267-1471672;all;3371;18;14441;2588152;0.5579656836229093
102:1537520-1545200;Fa;7592;36;520;341397;0.15231533961927024
102:1537520-1545200;Ga;7592;36;568;341198;0.16647225364744225
102:1537520-1545200;Li;7592;36;485;341402;0.14206126501895128
102:1537520-1545200;Mu;7592;36;3306;341244;0.9688082427822907
102:1537520-1545200;all;7592;36;25765;5915753;0.4355320446949019
102:1608547-1621629;Fa;12882;60;713;578767;0.12319292565056404
102:1608547-1621629;Ga;12882;60;640;578213;0.1106858545207389
102:1608547-1621629;Li;12882;60;701;578388;0.12119891837313361
102:1608547-1621629;Mu;12882;60;5340;548633;0.9733282540423197
102:1608547-1621629;all;12882;60;39770;9878153;0.402605628805304
102:1769033-1779774;Fa;10601;44;341;476785;0.07152070639806202
102:1769033-1779774;Ga;10600;45;327;474391;0.06893048139614791
