GENE;POP1;POP2;TOTAL_SITES;N_SITES;NUM_ALL;DENOM_ALL;DXY_ALL
1000:157394-160449;Fa;Ga;2760;219;3098;249224;1.2430584534394762
1000:157394-160449;Fa;Li;2738;241;2580;246084;1.0484224898815038
1000:157394-160449;Fa;Mu;2556;423;2544;248280;1.0246495891735137
1000:157394-160449;Ga;Li;2775;204;2906;247200;1.1755663430420713
1000:157394-160449;Ga;Mu;2556;423;2924;247008;1.1837673273740121
1000:157394-160449;Li;Mu;2556;423;2208;245932;0.8978091504968854
1000:163223-165749;Fa;Ga;2444;73;2256;233376;0.9666803784450844
1000:163223-165749;Fa;Li;2444;73;2254;232572;0.9691622379306193
1000:163223-165749;Fa;Mu;2444;73;2230;236628;0.9424074919282587
1000:163223-165749;Ga;Li;2444;73;1910;234776;0.8135414182028827
1000:163223-165749;Ga;Mu;2444;73;2130;237360;0.89737108190091
1000:163223-165749;Li;Mu;2444;73;2092;236048;0.8862604216091642
1002:12825-18580;Fa;Ga;5429;184;4896;534388;0.9161882377598299
1002:12825-18580;Fa;Li;5429;184;4834;533984;0.9052705699047162
1002:12825-18580;Fa;Mu;5429;184;4962;535772;0.926140223826553
1002:12825-18580;Ga;Li;5429;184;4570;534012;0.855786012299349
1002:12825-18580;Ga;Mu;5429;184;4578;535888;0.8542829845042248
1002:12825-18580;Li;Mu;5429;184;4654;535364;0.8693150828221546
1003:159295-160056;Fa;Ga;762;0;192;76200;0.25196850393700787
1003:159295-160056;Fa;Li;762;0;168;76200;0.2204724409448819
1003:159295-160056;Fa;Mu;762;0;176;76200;0.23097112860892388
1003:159295-160056;Ga;Li;762;0;188;76200;0.24671916010498687
1003:159295-160056;Ga;Mu;762;0;196;76200;0.2572178477690289
1003:159295-160056;Li;Mu;762;0;174;76200;0.2283464566929134
1003:267880-274845;Fa;Ga;6644;197;6502;654928;0.9927808858378325
1003:267880-274845;Fa;Li;6644;197;6292;655252;0.9602412506943894
1003:267880-274845;Fa;Mu;6644;197;6216;654356;0.9499416219916987
1003:267880-274845;Ga;Li;6644;197;5904;653564;0.9033545299312692
1003:267880-274845;Ga;Mu;6644;197;5882;652048;0.9020808284052708
1003:267880-274845;Li;Mu;6644;197;5758;652696;0.8821871131430252
1003:283103-339560;Fa;Ga;54273;1747;43180;5351872;0.8068204919699126
1003:283103-339560;Fa;Li;54171;1849;41048;5346540;0.7677488618807677
1003:283103-339560;Fa;Mu;54280;1740;41606;5361748;0.7759782817096216
1003:283103-339560;Ga;Li;54170;1850;36932;5340184;0.6915866569391617
1003:283103-339560;Ga;Mu;54270;1750;37008;5354572;0.6911476771626192
1003:283103-339560;Li;Mu;54165;1855;35266;5350400;0.6591282894736842
1003:350880-378508;Fa;Ga;27093;403;15438;2681220;0.5757826660997606
1003:350880-378508;Fa;Li;27058;438;15476;2676128;0.578298197993519
1003:350880-378508;Fa;Mu;27064;432;15164;2681440;0.5655170356226505
1003:350880-378508;Ga;Li;27059;437;13198;2671576;0.49401551743240696
1003:350880-378508;Ga;Mu;27064;432;12660;2677132;0.472894126998594
1003:350880-378508;Li;Mu;27056;440;12690;2672704;0.47480005268073083
1003:399881-404460;Fa;Ga;4506;52;2846;446708;0.6371052230987581
1003:399881-404460;Fa;Li;4506;52;2696;447416;0.6025712088973125
1003:399881-404460;Fa;Mu;4506;52;2736;449128;0.6091804563509734
1003:399881-404460;Ga;Li;4506;52;2094;445608;0.46991975009425324
1003:399881-404460;Ga;Mu;4506;52;2154;447300;0.4815560026827633
1003:399881-404460;Li;Mu;4506;52;1902;448056;0.4245005088649633
1003:406920-410930;Fa;Ga;3887;98;3604;379972;0.9484909414377901
1003:406920-410930;Fa;Li;3887;98;3400;377100;0.9016176080615221
1003:406920-410930;Fa;Mu;3887;98;3342;377628;0.8849979344751978
1003:406920-410930;Ga;Li;3887;98;3224;379864;0.8487248067729504
1003:406920-410930;Ga;Mu;3887;98;3090;380420;0.8122601335366174
1003:406920-410930;Li;Mu;3887;98;2862;378052;0.7570387142509496
1003:416835-462526;Fa;Ga;44420;948;29446;4368148;0.6741071960016006
1003:416835-462526;Fa;Li;44433;935;28876;4376640;0.659775535570666
1003:416835-462526;Fa;Mu;44433;935;29030;4363660;0.6652672298025052
1003:416835-462526;Ga;Li;44426;942;25280;4369068;0.5786131046712938
1003:416835-462526;Ga;Mu;44425;943;25944;4356352;0.5955441617206323
1003:416835-462526;Li;Mu;44451;917;24684;4364984;0.5655003546404752
1003:73844-78532;Fa;Ga;4620;60;3842;459340;0.8364174685418209
