GENE;POP1;POP2;TOTAL_SITES;N_SITES;NUM_ALL;DENOM_ALL;DXY_ALL
1002:23060-25005;Fa;Ga;1843;82;1170;178736;0.6545967236594754
1002:23060-25005;Fa;Li;1844;81;1594;179988;0.8856145965286575
1002:23060-25005;Fa;Mu;1846;79;1710;177480;0.9634888438133874
1002:23060-25005;Ga;Li;1858;67;1588;180464;0.8799538966220409
1002:23060-25005;Ga;Mu;1870;55;1710;178460;0.9581979154992716
1002:23060-25005;Li;Mu;1867;58;1406;179300;0.7841606246514222
1002:58824-60466;Fa;Ga;1601;29;1172;156904;0.7469535512160301
1002:58824-60466;Fa;Li;1601;29;1390;153636;0.9047358691973235
1002:58824-60466;Fa;Mu;1601;29;1656;156548;1.0578225208881622
1002:58824-60466;Ga;Li;1601;29;1512;155340;0.9733487833140209
1002:58824-60466;Ga;Mu;1601;29;1926;158820;1.2126936154136758
1002:58824-60466;Li;Mu;1601;29;1682;155084;1.084573521446442
1002:90107-91136;Fa;Ga;1024;4;244;101920;0.239403453689168
1002:90107-91136;Fa;Li;1024;4;386;102320;0.37724784988272086
1002:90107-91136;Fa;Mu;1024;4;402;102340;0.39280828610513974
1002:90107-91136;Ga;Li;1024;4;420;101920;0.41208791208791207
1002:90107-91136;Ga;Mu;1024;4;420;101940;0.4120070629782225
1002:90107-91136;Li;Mu;1024;4;356;102340;0.34786007426226306
1003:139527-142611;Fa;Ga;3054;22;2056;302524;0.6796155015800399
1003:139527-142611;Fa;Li;3054;22;2948;303820;0.9703113685734974
1003:139527-142611;Fa;Mu;3054;22;2958;303820;0.9736027911263248
1003:139527-142611;Ga;Li;3054;22;2924;303060;0.9648254471061836
1003:139527-142611;Ga;Mu;3054;22;2932;303060;0.9674651884115356
1003:139527-142611;Li;Mu;3054;22;812;304364;0.26678582223916103
1004:14349-29960;Fa;Ga;15132;310;11776;1479784;0.7957918182653685
1004:14349-29960;Fa;Li;15128;314;12272;1479532;0.8294514751962107
1004:14349-29960;Fa;Mu;15132;310;12728;1480868;0.859495917259337
1004:14349-29960;Ga;Li;15139;303;12700;1485688;0.8548228160959771
1004:14349-29960;Ga;Mu;15143;299;13244;1486564;0.8909135429083443
1004:14349-29960;Li;Mu;15139;303;12068;1486540;0.8118180472775708
1007:11844-17642;Fa;Ga;5517;115;3216;543668;0.5915374824341326
1007:11844-17642;Fa;Li;5517;115;3850;544240;0.7074084962516537
1007:11844-17642;Fa;Mu;5502;130;3998;544760;0.7339011674865996
1007:11844-17642;Ga;Li;5517;115;3714;545304;0.681087980282558
1007:11844-17642;Ga;Mu;5502;130;3884;545580;0.7119029289929982
1007:11844-17642;Li;Mu;5502;130;2504;546340;0.4583226562214006
1009:13049-14807;Fa;Ga;1754;5;846;175360;0.4824361313868613
1009:13049-14807;Fa;Li;1754;5;848;175020;0.4845160553079648
1009:13049-14807;Fa;Mu;1754;5;806;175320;0.459730778005932
1009:13049-14807;Ga;Li;1754;5;938;175060;0.5358162915571804
1009:13049-14807;Ga;Mu;1754;5;900;175360;0.5132299270072993
1009:13049-14807;Li;Mu;1754;5;580;175020;0.3313906982059193
1009:226893-242603;Fa;Ga;15348;259;8470;1518436;0.5578108000600618
1009:226893-242603;Fa;Li;15348;259;10022;1514540;0.661719069816578
1009:226893-242603;Fa;Mu;15348;259;10068;1520740;0.662046109131081
1009:226893-242603;Ga;Li;15351;256;10114;1517236;0.6666069088790406
1009:226893-242603;Ga;Mu;15351;256;10252;1524256;0.672590431003716
1009:226893-242603;Li;Mu;15351;256;7796;1520992;0.5125602238539059
1009:272089-276682;Fa;Ga;4540;47;2028;448436;0.45223844651187683
1009:272089-276682;Fa;Li;4540;47;2810;449180;0.625584398236787
1009:272089-276682;Fa;Mu;4540;47;2936;450716;0.6514079819664711
1009:272089-276682;Ga;Li;4540;47;3032;447580;0.6774207962822288
1009:272089-276682;Ga;Mu;4540;47;3146;449108;0.7004996570980699
1009:272089-276682;Li;Mu;4540;47;1944;449940;0.43205760768102414
1009:843791-846869;Fa;Ga;2885;117;2024;284888;0.7104546348038527
1009:843791-846869;Fa;Li;2885;117;2116;284340;0.7441795034114089
1009:843791-846869;Fa;Mu;2885;117;2144;286188;0.749157896208087
1009:843791-846869;Ga;Li;2885;117;2320;284468;0.8155574616477073
1009:843791-846869;Ga;Mu;2885;117;2350;286344;0.8206911966026876
1009:843791-846869;Li;Mu;2885;117;2282;285928;0.7981030189418316
1010:144929-154911;Fa;Ga;9774;77;2666;968428;0.27529150334356295
1010:144929-154911;Fa;Li;9774;77;3524;971200;0.3628500823723229
1010:144929-154911;Fa;Mu;9774;77;3548;971292;0.3652866491230238
1010:144929-154911;Ga;Li;9778;73;3808;970504;0.392373447198569
1010:144929-154911;Ga;Mu;9778;73;3836;970684;0.3951852508128289
1010:144929-154911;Li;Mu;9778;73;3024;973480;0.3106381230225582
1010:155760-169662;Fa;Ga;13549;187;5114;1340260;0.3815677555101249
1010:155760-169662;Fa;Li;13552;184;7578;1341924;0.5647115633970329
1010:155760-169662;Fa;Mu;13552;184;7518;1345908;0.5585820130350663
1010:155760-169662;Ga;Li;13559;177;8092;1341104;0.6033834810723105
1010:155760-169662;Ga;Mu;13559;177;8002;1345052;0.5949212372458462
1010:155760-169662;Li;Mu;13573;163;5320;1348984;0.3943708746730873
1010:390305-397688;Fa;Ga;7286;69;3200;719328;0.44485964678144047
1010:390305-397688;Fa;Li;7303;52;5066;722184;0.7014832784996622
1010:390305-397688;Fa;Mu;7303;52;5032;720236;0.6986598837047856
1010:390305-397688;Ga;Li;7286;69;4816;721500;0.6674982674982675
1010:390305-397688;Ga;Mu;7286;69;4760;719592;0.6614859531512302
1010:390305-397688;Li;Mu;7303;52;3320;723204;0.4590682573658332
1010:445058-459358;Fa;Ga;13808;345;8964;1347808;0.6650798926850116
1010:445058-459358;Fa;Li;13880;273;9140;1354680;0.6746980836802787
1010:445058-459358;Fa;Mu;13880;273;9388;1355504;0.6925837179381249
1010:445058-459358;Ga;Li;13845;308;9666;1352400;0.7147293700088732
1010:445058-459358;Ga;Mu;13845;308;9998;1353564;0.7386425761914471
1010:445058-459358;Li;Mu;13917;236;8626;1362784;0.6329689811444807
1010:467173-481803;Fa;Ga;14371;184;7920;1417788;0.5586166620115278
1010:467173-481803;Fa;Li;14389;166;10428;1421904;0.7333828444114371
1010:467173-481803;Fa;Mu;14389;166;10326;1419520;0.7274289900811542
1010:467173-481803;Ga;Li;14372;183;10886;1423112;0.7649433073433434
1010:467173-481803;Ga;Mu;14372;183;10752;1420328;0.7570082403501163
1010:467173-481803;Li;Mu;14390;165;8004;1427164;0.560832532210734
1012:19389-26400;Fa;Ga;6896;79;4586;681028;0.6733937517987513
1012:19389-26400;Fa;Li;6895;80;4738;681484;0.6952474306073216
1012:19389-26400;Fa;Mu;6894;81;4898;681152;0.7190759184440477
1012:19389-26400;Ga;Li;6895;80;4820;683188;0.7055159048461038
1012:19389-26400;Ga;Mu;6894;81;4970;682972;0.7277018677193209
1012:19389-26400;Li;Mu;6894;81;3834;683444;0.5609823189610268
1012:543720-551292;Fa;Ga;7534;37;2848;747868;0.38081586590146926
1012:543720-551292;Fa;Li;7534;37;3808;750496;0.5073977742719481
1012:543720-551292;Fa;Mu;7534;37;3842;750800;0.511720831113479
1012:543720-551292;Ga;Li;7534;37;3712;749164;0.49548563465409445
