GENE;POP;TOTAL_SITES;N_SITES;NUM_ALL;DENOM_ALL;PI_ALL
126027:1658-4733;Fa;3027;41;225;133173;0.16895316618233425
126027:1658-4733;Ga;3027;41;139;132822;0.10465133788077276
126027:1658-4733;Li;3027;41;204;102455;0.19911180518276317
126027:1658-4733;Mu;3027;41;1697;127740;1.3284797244402693
126027:1658-4733;all;3027;41;16299;2141222;0.7612008469929787
126418:2-2983;Fa;2945;32;110;129414;0.08499853184354088
126418:2-2983;Ga;2945;32;147;130005;0.11307257413176416
126418:2-2983;Li;2945;32;70;112502;0.06222111606904766
126418:2-2983;Mu;2945;32;1627;130829;1.2436080685474933
126418:2-2983;all;2945;32;16534;2173486;0.7607134345470824
126419:391-1980;Fa;1557;18;42;68202;0.061581771795548516
126419:391-1980;Ga;1557;18;58;69393;0.0835819174844725
126419:391-1980;Li;1557;18;37;60548;0.061108541983219924
126419:391-1980;Mu;1557;18;839;68896;1.217777519739898
126419:391-1980;all;1557;18;6720;1153891;0.5823773649330829
126470:1361-2746;Fa;1377;9;105;61149;0.17171172055143993
126470:1361-2746;Ga;1377;9;281;61523;0.4567397558636607
126470:1361-2746;Li;1377;9;0;52776;0.0
126470:1361-2746;Mu;1377;9;700;59585;1.1747923135017202
126470:1361-2746;all;1377;9;7000;1016229;0.6888211220108853
126575:123-4752;Fa;4509;94;781;201068;0.3884258061949191
126575:123-4752;Ga;4509;94;660;201341;0.3278020870066206
126575:123-4752;Li;4509;94;1415;171024;0.82736925811582
126575:123-4752;Mu;4509;94;3306;198782;1.6631284522743508
126575:123-4752;all;4509;94;32402;3337027;0.9709840525713457
126923:980-5170;Fa;3960;175;1242;174411;0.7121110480416947
126923:980-5170;Ga;3966;169;1302;173483;0.7505058132497132
126923:980-5170;Li;3966;169;1112;151653;0.7332528865238406
126923:980-5170;Mu;3966;169;2049;148237;1.382245997962722
126923:980-5170;all;3966;169;26699;2793756;0.9556668513642566
126953:147-3430;Fa;3117;69;574;136398;0.4208272848575492
126953:147-3430;Ga;3117;69;520;138149;0.3764051857052892
126953:147-3430;Li;3117;69;992;124570;0.7963394075620134
126953:147-3430;Mu;3117;69;2499;136392;1.8322188984691183
126953:147-3430;all;3117;69;25329;2315801;1.093746828851011
