GENE;POP;TOTAL_SITES;N_SITES;NUM_ALL;DENOM_ALL;PI_ALL
1000:17708-20568;Fa;2844;17;77;127538;0.060374162994558486
1000:17708-20568;Ga;2844;17;141;127912;0.11023203452373506
1000:17708-20568;Li;2844;17;45;127249;0.03536373566786379
1000:17708-20568;Mu;2844;17;77;127759;0.0602697265946039
1000:17708-20568;all;2844;17;1514;2211746;0.06845270659469939
1000:54571-63084;Fa;8137;317;529;345334;0.1531850324613273
1000:54571-63084;Ga;8113;341;714;341010;0.20937802410486497
1000:54571-63084;Li;8132;322;591;340366;0.17363661470299618
1000:54571-63084;Mu;8147;307;641;343962;0.1863577953378571
1000:54571-63084;all;8179;275;11557;5924656;0.19506617768187723
1001:6107-17544;Fa;10176;1202;2697;406580;0.6633380884450785
1001:6107-17544;Ga;10495;883;2439;428503;0.5691908808106361
1001:6107-17544;Li;10011;1367;2052;425192;0.48260550527761575
1001:6107-17544;Mu;10313;1065;2331;426257;0.5468531895077383
1001:6107-17544;all;10561;817;41785;7282652;0.5737607673688101
1006:26388-31396;Fa;4892;85;432;211945;0.2038264644129373
1006:26388-31396;Ga;4893;84;480;212434;0.2259525311390832
1006:26388-31396;Li;4885;92;669;202447;0.3304568603140575
1006:26388-31396;Mu;4903;74;693;208262;0.33275393494732597
1006:26388-31396;all;4905;72;10188;3611048;0.28213416160627053
1007:21950-24655;Fa;2646;44;1298;118338;1.096858152072876
1007:21950-24655;Ga;2646;44;1209;117745;1.026795193001826
1007:21950-24655;Li;2646;44;1390;117367;1.1843192720270603
1007:21950-24655;Mu;2646;44;1224;116173;1.0536010949187848
1007:21950-24655;all;2646;44;21601;2033691;1.0621574270624201
1007:45330-46445;Fa;1116;0;80;50220;0.15929908403026682
1007:45330-46445;Ga;1116;0;59;50156;0.11763298508653003
1007:45330-46445;Li;1116;0;57;49897;0.11423532476902419
1007:45330-46445;Mu;1116;0;76;48746;0.15591022853157183
1007:45330-46445;all;1116;0;1164;861859;0.135056894457214
1008:126980-132624;Fa;5592;44;366;244748;0.14954156928759377
1008:126980-132624;Ga;5580;56;404;244373;0.1653210461057482
1008:126980-132624;Li;5598;38;265;246305;0.10759018290331093
1008:126980-132624;Mu;5592;44;345;245225;0.14068712406973188
1008:126980-132624;all;5598;38;6030;4244023;0.14208217061971626
1009:5509-59813;Fa;52777;1003;7537;2266800;0.3324951473442739
1009:5509-59813;Ga;52691;1089;7455;2275449;0.3276276462359736
1009:5509-59813;Li;52810;970;6734;2258967;0.2981008576043829
1009:5509-59813;Mu;52819;961;7352;2269546;0.3239414402704329
1009:5509-59813;all;52883;897;126146;39229482;0.32155917837508025
1010:1644-4625;Fa;2907;62;569;128998;0.4410921099551931
1010:1644-4625;Ga;2907;62;765;130456;0.5864046115165267
1010:1644-4625;Li;2907;62;771;129809;0.5939495720635704
1010:1644-4625;Mu;2907;62;662;128467;0.5153074330372781
1010:1644-4625;all;2907;62;12181;2242390;0.5432150517974126
1010:8362-15951;Fa;7213;224;1286;306926;0.4189935033200185
1010:8362-15951;Ga;7230;207;1378;304774;0.4521383057609901
1010:8362-15951;Li;7225;212;1214;309524;0.3922151432522195
1010:8362-15951;Mu;7218;219;1117;300635;0.37154689241106326
1010:8362-15951;all;7244;193;21119;5280483;0.3999444747762657
1011:59734-74669;Fa;13976;862;3517;596937;0.5891744019888195
1011:59734-74669;Ga;14024;814;3092;602230;0.5134251033658237
1011:59734-74669;Li;14062;776;2921;596684;0.4895388513853229
1011:59734-74669;Mu;14033;805;3400;603551;0.5633326761118779
1011:59734-74669;all;14083;755;55694;10378454;0.5366309856940157
1013:5883-8215;Fa;2314;18;431;103293;0.41725964005305294
