GENE;POP;TOTAL_SITES;N_SITES;NUM_ALL;DENOM_ALL;PI_ALL
UIGZ01000001.1:1004685-1007029;Fa;2323;21;540;103004;0.5242514853792086
UIGZ01000001.1:1004685-1007029;Ga;2323;21;607;102859;0.5901282337957787
UIGZ01000001.1:1004685-1007029;Li;2323;21;469;102580;0.4572041333593293
UIGZ01000001.1:1004685-1007029;Mu;2323;21;530;103728;0.5109517198827703
UIGZ01000001.1:1004685-1007029;all;2323;21;9390;1785079;0.5260271394151184
UIGZ01000001.1:1097378-1101554;Fa;3643;530;321;150440;0.21337410263227866
UIGZ01000001.1:1097378-1101554;Ga;3670;503;308;153905;0.2001234527793119
UIGZ01000001.1:1097378-1101554;Li;3698;475;219;152981;0.14315503232427557
UIGZ01000001.1:1097378-1101554;Mu;3662;511;327;153478;0.21305985222637772
UIGZ01000001.1:1097378-1101554;all;3707;466;5033;2638436;0.19075694843460292
UIGZ01000001.1:1135011-1152338;Fa;16664;614;1877;739759;0.25373128275560014
UIGZ01000001.1:1135011-1152338;Ga;16664;614;2066;738473;0.27976649112425234
UIGZ01000001.1:1135011-1152338;Li;16660;618;1914;734842;0.260464154199134
UIGZ01000001.1:1135011-1152338;Mu;16664;614;1890;738260;0.25600736867770163
UIGZ01000001.1:1135011-1152338;all;16664;614;33409;12779714;0.2614221257220623
UIGZ01000001.1:1155128-1161575;Fa;6407;34;1062;282445;0.3760024075483723
UIGZ01000001.1:1155128-1161575;Ga;6392;49;1031;284270;0.36268336440707777
UIGZ01000001.1:1155128-1161575;Li;6394;47;992;285995;0.3468592108253641
UIGZ01000001.1:1155128-1161575;Mu;6397;44;986;284707;0.3463209545251785
UIGZ01000001.1:1155128-1161575;all;6407;34;17267;4926381;0.350500702239636
UIGZ01000001.1:1207938-1214950;Fa;6894;80;965;304651;0.3167558944497146
UIGZ01000001.1:1207938-1214950;Ga;6893;81;1052;302104;0.34822445250642164
UIGZ01000001.1:1207938-1214950;Li;6893;81;961;306052;0.3139989282866964
UIGZ01000001.1:1207938-1214950;Mu;6894;80;907;307991;0.2944891246822147
UIGZ01000001.1:1207938-1214950;all;6894;80;16583;5287122;0.31364890010103796
UIGZ01000001.1:1244635-1246977;Fa;2280;48;998;100052;0.9974813097189461
UIGZ01000001.1:1244635-1246977;Ga;2280;48;958;98381;0.9737652595521493
UIGZ01000001.1:1244635-1246977;Li;2280;48;928;102284;0.9072777756051777
UIGZ01000001.1:1244635-1246977;Mu;2280;48;975;98460;0.9902498476538696
UIGZ01000001.1:1244635-1246977;all;2280;48;16141;1728077;0.9340440269733351
UIGZ01000001.1:1503902-1512353;Fa;7590;774;2368;312838;0.7569412922982502
UIGZ01000001.1:1503902-1512353;Ga;7407;957;2012;319120;0.6304838305339684
UIGZ01000001.1:1503902-1512353;Li;7675;689;1496;314420;0.4757967050442084
UIGZ01000001.1:1503902-1512353;Mu;7626;738;1950;312615;0.6237704524734897
UIGZ01000001.1:1503902-1512353;all;7834;530;38230;5417349;0.7056957194376807
UIGZ01000001.1:1521661-1527195;Fa;5486;46;468;238529;0.19620255817950857
UIGZ01000001.1:1521661-1527195;Ga;5457;75;317;241102;0.13147962273228758
UIGZ01000001.1:1521661-1527195;Li;5444;88;415;240397;0.17263110604541654
UIGZ01000001.1:1521661-1527195;Mu;5484;48;419;242060;0.1730975791126167
