GENE;POP1;POP2;TOTAL_SITES;N_SITES;NUM_ALL;DENOM_ALL;DXY_ALL
100:1002760-1006951;Fa;Ga;4105;49;2228;385828;0.5774593860476689
100:1002760-1006951;Fa;Li;4114;40;2492;390848;0.6375880137547077
100:1002760-1006951;Fa;Mu;4106;48;2616;389764;0.6711753779209984
100:1002760-1006951;Ga;Li;4105;49;2476;402404;0.6153020347710262
100:1002760-1006951;Ga;Mu;4105;49;2710;400768;0.6762016927499201
100:1002760-1006951;Li;Mu;4106;48;3032;406044;0.7467171045502458
100:1154745-1159094;Fa;Ga;4168;87;3660;383172;0.9551846168300397
100:1154745-1159094;Fa;Li;4165;90;3302;384556;0.8586525759577279
100:1154745-1159094;Fa;Mu;4170;85;3546;385388;0.9201116796579032
100:1154745-1159094;Ga;Li;4163;92;3568;406380;0.8779959643683252
100:1154745-1159094;Ga;Mu;4167;88;3906;406896;0.9599504541701074
100:1154745-1159094;Li;Mu;4162;93;3026;408464;0.7408241607583532
100:1163550-1166443;Fa;Ga;2874;16;1450;258272;0.5614236154132077
100:1163550-1166443;Fa;Li;2874;16;966;259180;0.37271394397715873
100:1163550-1166443;Fa;Mu;2874;16;1114;259108;0.42993655155379223
100:1163550-1166443;Ga;Li;2874;16;1570;286280;0.5484141400027944
100:1163550-1166443;Ga;Mu;2874;16;1678;286200;0.5863032844164919
100:1163550-1166443;Li;Mu;2874;16;1078;287160;0.37540047360356593
100:1211319-1214793;Fa;Ga;3403;71;3046;318120;0.9575003143467874
100:1211319-1214793;Fa;Li;3403;71;2494;326788;0.7631859186995851
100:1211319-1214793;Fa;Mu;3401;73;3200;325236;0.9839009211772375
100:1211319-1214793;Ga;Li;3418;56;1912;327360;0.5840664711632454
100:1211319-1214793;Ga;Mu;3406;68;2756;325988;0.8454298931249004
100:1211319-1214793;Li;Mu;3405;69;1966;334844;0.5871390856637718
100:1284624-1286750;Fa;Ga;2124;3;1082;211280;0.5121166224914805
100:1284624-1286750;Fa;Li;2124;3;898;212020;0.42354494858975567
100:1284624-1286750;Fa;Mu;2124;3;930;211940;0.4388034349344154
100:1284624-1286750;Ga;Li;2124;3;1038;211660;0.49040914674477937
100:1284624-1286750;Ga;Mu;2124;3;1026;211580;0.4849229605822857
100:1284624-1286750;Li;Mu;2124;3;738;212320;0.3475885455915599
100:1301610-1303872;Fa;Ga;2229;27;1908;204264;0.9340853013746916
100:1301610-1303872;Fa;Li;2229;27;1962;204216;0.9607474438829474
100:1301610-1303872;Fa;Mu;2229;27;1892;204732;0.9241349666881582
100:1301610-1303872;Ga;Li;2229;27;2112;220732;0.956816410851168
100:1301610-1303872;Ga;Mu;2229;27;2100;221436;0.9483552809841218
100:1301610-1303872;Li;Mu;2229;27;1904;221220;0.8606816743513245
100:1305792-1308923;Fa;Ga;3007;72;4130;274420;1.504992347496538
100:1305792-1308923;Fa;Li;3015;64;3956;273800;1.4448502556610665
100:1305792-1308923;Fa;Mu;3015;64;4008;273468;1.4656193777699766
100:1305792-1308923;Ga;Li;3018;61;4478;292960;1.5285363189513927
