GENE;POP1;POP2;TOTAL_SITES;N_SITES;NUM_ALL;DENOM_ALL;DXY_ALL
0:1178782-1180602;Fa;Ga;1621;80;1580;151544;1.042601488676556
0:1178782-1180602;Fa;Li;1620;81;1676;150208;1.1157861099275672
0:1178782-1180602;Fa;Mu;1594;107;1776;145200;1.2231404958677685
0:1178782-1180602;Ga;Li;1655;46;2070;158340;1.3073133762788935
0:1178782-1180602;Ga;Mu;1605;96;2078;150940;1.3767059758844573
0:1178782-1180602;Li;Mu;1605;96;1700;150000;1.1333333333333333
0:1183370-1185891;Fa;Ga;2474;42;1654;229812;0.7197187266113171
0:1183370-1185891;Fa;Li;2456;60;1552;217496;0.7135763416338692
0:1183370-1185891;Fa;Mu;2474;42;1694;221236;0.7656981684716773
0:1183370-1185891;Ga;Li;2456;60;1418;223272;0.6350997885986599
0:1183370-1185891;Ga;Mu;2500;16;1644;231160;0.7111957086001038
0:1183370-1185891;Li;Mu;2456;60;1488;217280;0.6848306332842415
0:1186351-1187177;Fa;Ga;806;6;830;80600;1.0297766749379653
0:1186351-1187177;Fa;Li;806;6;602;80600;0.7468982630272953
0:1186351-1187177;Fa;Mu;806;6;630;80600;0.7816377171215881
0:1186351-1187177;Ga;Li;806;6;972;80600;1.205955334987593
0:1186351-1187177;Ga;Mu;806;6;1034;80600;1.28287841191067
0:1186351-1187177;Li;Mu;806;6;662;80600;0.8213399503722084
0:1392064-1394384;Fa;Ga;2204;59;1898;220300;0.861552428506582
0:1392064-1394384;Fa;Li;2204;59;2402;219160;1.0960029202409198
0:1392064-1394384;Fa;Mu;2204;59;1550;220040;0.7044173786584257
0:1392064-1394384;Ga;Li;2204;59;2606;219260;1.1885432819483719
0:1392064-1394384;Ga;Mu;2204;59;1620;220140;0.7358953393295176
0:1392064-1394384;Li;Mu;2204;59;2364;219000;1.0794520547945206
0:1398632-1399624;Fa;Ga;992;1;390;99200;0.39314516129032256
0:1398632-1399624;Fa;Li;992;1;940;99200;0.9475806451612904
0:1398632-1399624;Fa;Mu;992;1;422;99200;0.4254032258064516
0:1398632-1399624;Ga;Li;992;1;670;99200;0.6754032258064516
0:1398632-1399624;Ga;Mu;992;1;420;99200;0.42338709677419356
0:1398632-1399624;Li;Mu;992;1;950;99200;0.9576612903225806
0:1401398-1404687;Fa;Ga;3256;22;1090;324820;0.33557046979865773
0:1401398-1404687;Fa;Li;3256;22;2610;322880;0.8083498513379583
0:1401398-1404687;Fa;Mu;3256;22;1490;325600;0.45761670761670764
0:1401398-1404687;Ga;Li;3256;22;2420;322100;0.7513194660043465
0:1401398-1404687;Ga;Mu;3256;22;1360;324820;0.41869343020749955
0:1401398-1404687;Li;Mu;3256;22;2428;322880;0.751982160555005
0:1405472-1413961;Fa;Ga;8156;265;5212;814964;0.6395374519610683
0:1405472-1413961;Fa;Li;8156;265;6134;814312;0.7532739294029807
0:1405472-1413961;Fa;Mu;8156;265;6130;814448;0.7526570143213563
0:1405472-1413961;Ga;Li;8156;265;5714;814556;0.7014864539700155
0:1405472-1413961;Ga;Mu;8156;265;5520;814672;0.6775733055757409
0:1405472-1413961;Li;Mu;8156;265;6154;814088;0.7559379329998722
0:1481829-1486124;Fa;Ga;4193;67;1814;416220;0.4358272067656528
0:1481829-1486124;Fa;Li;4192;68;2084;415276;0.5018349242431539
0:1481829-1486124;Fa;Mu;4193;67;2174;414584;0.5243810663219034
0:1481829-1486124;Ga;Li;4192;68;2186;416924;0.5243161823257956
0:1481829-1486124;Ga;Mu;4193;67;2140;415724;0.51476460343882
0:1481829-1486124;Li;Mu;4192;68;2290;414760;0.5521265310058829
0:1500918-1502445;Fa;Ga;1499;22;962;149880;0.6418468107819589
0:1500918-1502445;Fa;Li;1499;22;674;149880;0.4496930878035762
0:1500918-1502445;Fa;Mu;1499;22;792;149880;0.5284227381905524
0:1500918-1502445;Ga;Li;1499;22;1014;149900;0.676450967311541
0:1500918-1502445;Ga;Mu;1499;22;1102;149900;0.7351567711807871
0:1500918-1502445;Li;Mu;1499;22;700;149900;0.466977985323549
0:1565769-1570545;Fa;Ga;4250;508;2086;417884;0.49918159106354876
0:1565769-1570545;Fa;Li;4245;513;2586;420896;0.614403558123622
0:1565769-1570545;Fa;Mu;4250;508;3248;421204;0.771122781360101
0:1565769-1570545;Ga;Li;4249;509;2888;417336;0.6920083577740718
0:1565769-1570545;Ga;Mu;4261;497;3538;418004;0.8464033836996775
0:1565769-1570545;Li;Mu;4247;511;3446;420788;0.8189397036037149
0:1676914-1681574;Fa;Ga;4565;53;2930;455360;0.6434469430780042
0:1676914-1681574;Fa;Li;4565;53;3928;454460;0.8643224926286142
0:1676914-1681574;Fa;Mu;4565;53;3888;454716;0.8550391892961761
0:1676914-1681574;Ga;Li;4565;53;3650;455288;0.8016903586301418
0:1676914-1681574;Ga;Mu;4565;53;3890;455588;0.8538416288400924
0:1676914-1681574;Li;Mu;4565;53;3908;454672;0.8595207094344934
0:1683232-1687086;Fa;Ga;3681;108;1794;364336;0.4924026173641913
0:1683232-1687086;Fa;Li;3677;112;2808;361704;0.7763253931391414
0:1683232-1687086;Fa;Mu;3682;107;3058;363628;0.8409693422948727
0:1683232-1687086;Ga;Li;3680;109;2768;361960;0.7647253840203337
